Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""4p6""","=""1S""","=""0""","=""""","=""0.00000""","=""""","=""0.00024""","=""""","=""                                                ""","=""L4594"""
"=""4p5.4d""","=""3P*""","=""0""","=""""","=""29.92747""","=""""","=""0.00007""","=""29.9275""","="" 100     or  :   100  4p5.(2P*<3/2>).4d 2[1/2]* ""","=""L4594"""
"=""4p5.4d""","=""3P*""","=""1""","=""""","=""30.19769""","=""""","=""0.00005""","=""0.27022""","=""  98     or  :    67  4p5.(2P*<3/2>).4d 2[1/2]* ""","=""L4594"""
"=""4p5.4d""","=""3P*""","=""2""","=""""","=""30.74341""","=""""","=""0.00004""","=""0.54572""","=""  92     or  :    78  4p5.(2P*<3/2>).4d 2[3/2]* ""","=""L4594"""
"=""4p5.4d""","=""3F*""","=""4""","=""""","=""31.15516""","=""""","=""0.00009""","=""0.41175""","="" 100     or  :   100  4p5.(2P*<3/2>).4d 2[7/2]* ""","=""L4594"""
"=""4p5.4d""","=""3F*""","=""3""","=""""","=""31.46141""","=""""","=""0.00005""","=""0.3063""","=""  87     or  :    68  4p5.(2P*<3/2>).4d 2[7/2]* ""","=""L4594"""
"=""4p5.4d""","=""3F*""","=""2""","=""""","=""31.90873""","=""""","=""0.00004""","=""0.44732""","=""  74     or  :    73  4p5.(2P*<3/2>).4d 2[5/2]* ""","=""L4594"""
"=""4p5.4d""","=""3D*""","=""3""","=""""","=""32.96064""","=""""","=""0.00005""","=""1.05191""","=""  66     or  :    79  4p5.(2P*<3/2>).4d 2[5/2]* ""","=""L4594"""
"=""4p5.4d""","=""3D*""","=""1""","=""""","=""33.674307""","=""""","=""0.000025""","=""0.71367""","=""  97     or  :    49  4p5.(2P*<1/2>).4d 2[3/2]* ""","=""L4594"""
"=""4p5.4d""","=""3D*""","=""2""","=""""","=""34.052830""","=""""","=""0.000025""","=""0.37852""","=""  56     or  :    78  4p5.(2P*<1/2>).4d 2[3/2]* ""","=""L4594"""
"=""4p5.4d""","=""1D*""","=""2""","=""""","=""33.545264""","=""""","=""0.000025""","=""-0.50757""","=""  47     or  :    73  4p5.(2P*<1/2>).4d 2[5/2]* ""","=""L4594"""
"=""4p5.4d""","=""1F*""","=""3""","=""""","=""34.36166""","=""""","=""0.00004""","=""0.81640""","=""  58     or  :    87  4p5.(2P*<1/2>).4d 2[5/2]* ""","=""L4594"""
"=""4p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""2""","=""""","=""40.296708""","=""""","=""0.000012""","=""5.93505""","="" 100     or  :   100  4p5.5s            3P*     ""","=""L4594"""
"=""4p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""1""","=""""","=""40.619330""","=""""","=""0.000015""","=""0.32262""","=""  84     or  :    45  4p5.5s            1P*     ""","=""L4594"""
"=""4p5.4d""","=""1P*""","=""1""","=""""","=""40.783455""","=""""","=""0.000011""","=""0.16412""","=""  85     or  :    37  4p5.(2P*<1/2>).4d 2[3/2]* ""","=""L4594"""
"=""4p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""0""","=""""","=""42.193743""","=""""","=""0.000016""","=""1.41029""","="" 100     or  :   100  4p5.5s            3P*     ""","=""L4594"""
"=""4p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""","=""""","=""42.433053""","=""""","=""0.000009""","=""0.23931""","=""  97     or  :    51  4p5.5s            3P*     ""","=""L4594"""
"=""4p5.(2P*<3/2>).5p""","=""2[1/2]""","=""1""","=""""","=""46.109123""","=""""","=""0.000015""","=""3.67607""","=""  91     or  :    85  4p5.5p            3S      ""","=""L4594"""
"=""4p5.(2P*<3/2>).5p""","=""2[1/2]""","=""0""","=""""","=""48.211621""","=""""","=""0.000012""","=""2.10250""","=""  78     or  :    79  4p5.5p            3P      ""","=""L4594"""
"=""4p5.(2P*<3/2>).5p""","=""2[5/2]""","=""2""","=""""","=""46.729357""","=""""","=""0.000011""","=""-1.48226""","=""  87     or  :    58  4p5.5p            3D      ""","=""L4594"""
"=""4p5.(2P*<3/2>).5p""","=""2[5/2]""","=""3""","=""""","=""46.959432""","=""""","=""0.000015""","=""0.23007""","="" 100     or  :   100  4p5.5p            3D      ""","=""L4594"""
"=""4p5.(2P*<3/2>).5p""","=""2[3/2]""","=""1""","=""""","=""47.220068""","=""""","=""0.000014""","=""0.26064""","=""  94     or  :    46  4p5.5p            1P      ""","=""L4594"""
"=""4p5.(2P*<3/2>).5p""","=""2[3/2]""","=""2""","=""""","=""47.484098""","=""""","=""0.000010""","=""0.26403""","=""  87     or  :    68  4p5.5p            3P      ""","=""L4594"""
"=""4p5.(2P*<1/2>).5p""","=""2[3/2]""","=""1""","=""""","=""48.601609""","=""""","=""0.000012""","=""1.11751""","=""  92     or  :    64  4p5.5p            3D      ""","=""L4594"""
"=""4p5.(2P*<1/2>).5p""","=""2[3/2]""","=""2""","=""""","=""49.097120""","=""""","=""0.000016""","=""0.49551""","=""  99     or  :    40  4p5.5p            3D      ""","=""L4594"""
"=""4p5.(2P*<1/2>).5p""","=""2[1/2]""","=""1""","=""""","=""49.134981""","=""""","=""0.000014""","=""0.03786""","=""  89     or  :    64  4p5.5p            3P      ""","=""L4594"""
"=""4p5.(2P*<1/2>).5p""","=""2[1/2]""","=""0""","=""""","=""49.926998""","=""""","=""0.000017""","=""0.79202""","=""  78     or  :    79  4p5.5p            1S      ""","=""L4594"""
"=""4s.4p6.4d""","=""3D""","=""1""","=""""","=""53.89774""","=""""","=""0.00006""","=""3.97074""","=""  64         :    36  4p5.4f            3D      ""","=""L4594"""
"=""4s.4p6.4d""","=""3D""","=""2""","=""""","=""54.02724""","=""""","=""0.00004""","=""0.12950""","=""  66         :    33  4p5.4f            3D      ""","=""L4594"""
"=""4s.4p6.4d""","=""3D""","=""3""","=""""","=""54.26517""","=""""","=""0.00004""","=""0.23793""","=""  71         :    27  4p5.4f            3D      ""","=""L4594"""
"=""4s.4p6.4d""","=""1D""","=""2""","=""""","=""55.80947""","=""""","=""0.00004""","=""1.54430""","=""  76         :    21  4p5.4f            1D      ""","=""L4594"""
