Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""6d.7s2""","=""2D""","=""3/2""","=""""","=""0.0000000""","=""""","=""0.0000000""","=""""","=""  94                                     ""","=""L7344"""
"=""6d.7s2""","=""2D""","=""5/2""","=""""","=""0.2766623""","=""""","=""0.0000010""","=""0.2766623""","=""  93                                     ""","=""L22136,L7344"""
"=""7s2.7p""","=""2P*""","=""1/2""","=""""","=""0.927074""","=""""","=""0.000005""","=""0.650412""","=""  90         :     6  6d.7s.(3D).7p 2P*  ""","=""L21471"""
"=""7s2.7p""","=""2P*""","=""3/2""","=""""","=""1.5221033""","=""""","=""0.0000025""","=""0.595029""","=""  84         :    10  6d.7s.(3D).7p 2P*  ""","=""L21471"""
"=""6d2.(3F).7s""","=""4F""","=""3/2""","=""""","=""1.1427981""","=""""","=""0.0000016""","=""-0.379305""","=""  93         :     5  6d2.(1D).7s   2D   ""","=""L22136,L7344"""
"=""6d2.(3F).7s""","=""4F""","=""5/2""","=""""","=""1.2229292""","=""""","=""0.0000015""","=""0.080131""","=""  91                                     ""","=""L22136,L7344"""
"=""6d2.(3F).7s""","=""4F""","=""7/2""","=""""","=""1.3521750""","=""""","=""0.0000017""","=""0.129246""","=""  98                                     ""","=""L22136,L7344"""
"=""6d2.(3F).7s""","=""4F""","=""9/2""","=""""","=""1.4974895""","=""""","=""0.0000024""","=""0.145315""","=""  93         :     6  6d2.(1G).7s   2G   ""","=""L22136,L7344"""
"=""6d.7s.(3D).7p""","=""4F*""","=""3/2""","=""""","=""1.7001832""","=""""","=""0.0000015""","=""0.202694""","=""  84         :    10  6d.7s.(3D).7p 2D*  ""","=""L22136,L7344,L21471"""
"=""6d.7s.(3D).7p""","=""4F*""","=""5/2""","=""""","=""1.8524124""","=""""","=""0.0000011""","=""0.152229""","=""  73         :    11  6d.7s.(3D).7p 2D*  ""","=""L22136,L7344"""
"=""6d.7s.(3D).7p""","=""4F*""","=""7/2""","=""""","=""2.1925203""","=""""","=""0.0000019""","=""0.340108""","=""  87         :     8  6d.7s.(3D).7p 4D*  ""","=""L22136,L7344"""
"=""6d2.(3P).7s""","=""4P""","=""5/2""","=""""","=""1.720602""","=""""","=""0.000005""","=""-0.471918""","=""  59         :    28  6d2.(1D).7s   2D   ""","=""L22136"""
"=""6d.7s.(3D).7p""","=""4D*""","=""1/2""","=""""","=""2.1324923""","=""""","=""0.0000022""","=""0.411890""","=""  87         :     6  6d.7s.(3D).7p 2P*  ""","=""L22136,L7344"""
"=""6d.7s.(3D).7p""","=""4D*""","=""3/2""","=""""","=""2.1990166""","=""""","=""0.0000016""","=""0.066524""","=""  76         :    12  6d.7s.(3D).7p 4P*  ""","=""L22136,L7344"""
"=""6d.7s.(3D).7p""","=""4D*""","=""5/2""","=""""","=""2.370742""","=""?""","=""0.000006""","=""0.171725""","=""  64         :    14  6d.7s.(3D).7p 4F*  ""","=""L22136"""
"=""6d.7s.(3D).7p""","=""4D*""","=""7/2""","=""""","=""2.632471""","=""?""","=""0.000006""","=""0.261729""","=""  81         :     9  6d.7s.(3D).7p 4F*  ""","=""L22136"""
"=""6d.7s.(3D).7p""","=""2D*""","=""5/2""","=""""","=""2.2256043""","=""""","=""0.0000016""","=""-0.406867""","=""  28         :    29  6d.7s.(3D).7p 4P*  ""","=""L22136,L7344"""
"=""6d.7s.(3D).7p""","=""2D*""","=""3/2""","=""""","=""2.3572434""","=""""","=""0.0000025""","=""0.131639""","=""  44         :    23  6d.7s.(1D).7p 2D*  ""","=""L22136,L7344"""
"=""6d.7s.(1D).7p""","=""2F*""","=""5/2""","=""""","=""2.6279530""","=""""","=""0.0000022""","=""0.270710""","=""  41         :    29  6d.7s.(3D).7p 4P*  ""","=""L22136,L7344"""
"=""6d.7s.(1D).7p""","=""2F*""","=""7/2""","=""""","=""3.054097""","=""""","=""0.000004""","=""0.426144""","=""  66         :    19  6d2.(1D).7p   2F*  ""","=""L22136,L7344"""
"=""6d.7s.(3D).7p""","=""4P*""","=""5/2""","=""""","=""2.826977""","=""""","=""0.000005""","=""-0.227120""","=""  37         :    20  6d.7s.(3D).7p 2D*  ""","=""L22136,L7344,L21172"""
"=""6d.7s.(3D).7p""","=""2F*""","=""5/2""","=""""","=""2.9630819""","=""""","=""0.0000022""","=""0.136105""","=""  64         :    13  6d.7s.(1D).7p 2D*  ""","=""L22136,L7344"""
"=""6d.7s.(3D).7p""","=""2F*""","=""7/2""","=""""","=""3.0957979""","=""""","=""0.0000021""","=""0.132716""","=""  77         :     8  6d.7s.(3D).7p 4D*  ""","=""L22136,L7344"""
"=""6d.7s.(1D).7p""","=""2D*""","=""3/2""","=""""","=""2.965310""","=""""","=""0.000003""","=""-0.130488""","=""  31         :    29  6d.7s.(3D).7p 2D*  ""","=""L22136,L7344"""
"=""6d.7s.(1D).7p""","=""2D*""","=""5/2""","=""""","=""3.3272640""","=""""","=""0.0000017""","=""0.361954""","=""  31         :    16  6d.7s.(3D).7p 2F*  ""","=""L22136,L7344"""
"=""6d.7s.(3D).7p""","=""2P*""","=""1/2""","=""""","=""3.189993""","=""""","=""0.000004""","=""-0.137271""","=""  57         :    16  6d.7s.(1D).7p 2P*  ""","=""L22136,L7344"""
"=""6d.7s.(3D).7p""","=""2P*""","=""3/2""","=""""","=""3.501949""","=""""","=""0.000011""","=""0.31196""","=""  67         :     7  7s2.7p        2P*  ""","=""L22136,L7344"""
"=""6d.7s.(1D).7p""","=""2P*""","=""3/2""","=""""","=""3.2317777""","=""""","=""0.0000022""","=""-0.270171""","=""  51         :    17  6d2.(1D).7p   2P*  ""","=""L22136,L7344"""
"=""7s2.8s""","=""2S""","=""1/2""","=""""","=""3.281527""","=""?""","=""0.000007""","=""0.049749""","=""  91                                     ""","=""L22136"""
"=""6d2.(3F).7p""","=""4G*""","=""5/2""","=""""","=""3.3487955""","=""""","=""0.0000019""","=""0.067268""","=""  88                                     ""","=""L22136,L7344"""
"=""6d2.(3F).7p""","=""4G*""","=""7/2""","=""""","=""3.5420272""","=""""","=""0.0000022""","=""0.193232""","=""  89                                     ""","=""L22136,L7344"""
"=""6d2.(3F).7p""","=""4G*""","=""9/2""","=""""","=""3.779777""","=""""","=""0.000006""","=""0.237750""","=""  84         :     7  6d2.(3F).7p   4F*  ""","=""L22136"""
"=""6d2.(3F).7p""","=""4G*""","=""11/2""","=""""","=""4.131473""","=""""","=""0.000004""","=""0.351696""","=""  98                                     ""","=""L22136,L7344"""
"=""6d2.(3F).7p""","=""4F*""","=""3/2""","=""""","=""3.768695""","=""""","=""0.000004""","=""-0.362778""","=""  76         :     9  6d2.(3F).7p   2D*  ""","=""L22136,L7344"""
"=""6d2.(3F).7p""","=""4F*""","=""5/2""","=""""","=""3.9048425""","=""""","=""0.0000025""","=""0.136147""","=""  63         :    11  6d2.(3F).7p   4D*  ""","=""L22136,L7344"""
"=""6d2.(3F).7p""","=""4F*""","=""7/2""","=""""","=""3.994724""","=""""","=""0.000003""","=""0.089882""","=""  66         :    11  6d2.(3F).7p   4D*  ""","=""L22136,L7344"""
"=""6d2.(3F).7p""","=""4F*""","=""9/2""","=""""","=""4.313173""","=""""","=""0.000005""","=""0.318449""","=""  46         :    38  6d2.(1G).7p   2H*  ""","=""L22136,L7344"""
"=""5f.7s2""","=""2F*""","=""7/2""","=""""","=""3.873287""","=""""","=""0.000014""","=""-0.43989""","=""  94                                     ""","=""L22136"""
"=""5f.7s2""","=""2F*""","=""5/2""","=""""","=""3.9427409""","=""""","=""0.0000022""","=""0.069454""","=""  92                                     ""","=""L22136,L7344"""
"=""7s2.7d""","=""2D""","=""3/2""","=""""","=""3.909279""","=""""","=""0.000005""","=""-0.033462""","=""  46         :    28  6d.7s.(3D).8s 2D   ""","=""L22136"""
"=""6d2.(3F).7p""","=""2F*""","=""5/2""","=""""","=""4.0289507""","=""""","=""0.0000024""","=""0.119672""","=""  18         :    22  6d2.(3F).7p   4F*  ""","=""L22136,L7344"""
"=""6d2.(3F).7p""","=""2F*""","=""7/2""","=""""","=""4.185267""","=""""","=""0.000003""","=""0.156316""","=""  25         :    29  6d2.(3F).7p   4D*  ""","=""L22136,L7344"""
"=""6d2.(1G).7p""","=""2G*""","=""9/2""","=""""","=""4.075038""","=""""","=""0.000003""","=""-0.110229""","=""  21         :    33  6d2.(3F).7p   4F*  ""","=""L22136,L7344"""
"=""6d2.(1G).7p""","=""2G*""","=""7/2""","=""""","=""4.2601277""","=""""","=""0.0000024""","=""0.185090""","=""  27         :    25  6d2.(3F).7p   4F*  ""","=""L22136,L7344"""
"=""6d2.(3F).7p""","=""4D*""","=""1/2""","=""""","=""4.075822""","=""?""","=""0.000009""","=""-0.184306""","=""  93                                     ""","=""L22136"""
"=""6d2.(3F).7p""","=""4D*""","=""5/2""","=""""","=""4.2971029""","=""""","=""0.0000021""","=""0.221281""","=""  59         :    10  6d2.(3F).7p   2F*  ""","=""L22136,L7344"""
"=""6d2.(3F).7p""","=""4D*""","=""7/2""","=""""","=""4.447314""","=""""","=""0.000003""","=""0.150211""","=""  32         :    24  6d2.(3F).7p   2F*  ""","=""L22136,L7344"""
"=""6d2.(3P).7p""","=""2D*""","=""3/2""","=""""","=""4.0813634""","=""""","=""0.0000022""","=""-0.365951""","=""  20         :    38  6d2.(3P).7p   4D*  ""","=""L22136,L7344"""
"=""6d.7s.(3D).8s""","=""4D""","=""5/2""","=""""","=""4.147534""","=""""","=""0.000004""","=""0.066171""","=""  68         :    22  7s2.7d        2D   ""","=""L22136"""
"=""6d.7s.(3D).8s""","=""4D""","=""7/2""","=""""","=""4.206547""","=""""","=""0.000003""","=""0.059013""","=""  98                                     ""","=""L22136"""
"=""6d2.(3P).7p""","=""4D*""","=""3/2""","=""""","=""4.1750005""","=""""","=""0.0000021""","=""-0.031546""","=""  26         :    28  7s2.8p        2P*  ""","=""L22136,L7344"""
"=""6d2.(3P).7p""","=""4P*""","=""3/2""","=""""","=""4.309916""","=""""","=""0.000007""","=""0.134915""","=""  35         :    28  6d2.(3P).7p   4S*  ""","=""L22136"""
"=""Ac II (6p6.7s2 1S<0>)""","=""Limit""","=""---""","=""""","=""5.380235""","=""""","=""0.000012""","=""""","=""                                         ""","=""L22136,L17893"""
