Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Reference
"=""3s2.3p6""","=""1S""","=""0""","=""""","=""0.00000000""","=""""","=""0""","=""""","=""""","=""L2131"""
"=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""2""","=""""","=""11.54835442""","=""""","=""""","=""11.54835442""","=""1.506""","="""""
"=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""1""","=""""","=""11.62359272""","=""""","=""""","=""0.0752383""","=""1.404""","="""""
"=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""0""","=""""","=""11.72316039""","=""""","=""""","=""0.0995677""","=""""","="""""
"=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""","=""""","=""11.82807116""","=""""","=""""","=""0.1049108""","=""1.102""","="""""
"=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""""","=""12.90701530""","=""""","=""""","=""1.0789441""","=""1.985""","="""""
"=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""0""","=""""","=""13.27303810""","=""""","=""""","=""0.3660228""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""3""","=""""","=""13.07571571""","=""""","=""""","=""-0.1973224""","=""1.338""","="""""
"=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""2""","=""""","=""13.09487256""","=""""","=""""","=""0.0191568""","=""1.112""","="""""
"=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""1""","=""""","=""13.15314387""","=""""","=""""","=""0.0582713""","=""0.838""","="""""
"=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""2""","=""""","=""13.17177770""","=""""","=""""","=""0.0186338""","=""1.305""","="""""
"=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""1""","=""""","=""13.28263902""","=""""","=""""","=""0.1108613""","=""0.819""","="""""
"=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""2""","=""""","=""13.30222747""","=""""","=""""","=""0.0195885""","=""1.260""","="""""
"=""3s2.3p5.(2P*<1/2>).4p""","=""2[1/2]""","=""1""","=""""","=""13.32785705""","=""""","=""""","=""0.0256296""","=""1.380""","="""""
"=""3s2.3p5.(2P*<1/2>).4p""","=""2[1/2]""","=""0""","=""""","=""13.47988682""","=""""","=""""","=""0.1520298""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).3d""","=""2[1/2]*""","=""0""","=""""","=""13.8450385""","=""""","=""""","=""0.3651517""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).3d""","=""2[1/2]*""","=""1""","=""""","=""13.8636686""","=""""","=""""","=""0.018630""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).3d""","=""2[3/2]*""","=""2""","=""""","=""13.9034546""","=""""","=""""","=""0.039786""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).3d""","=""2[3/2]*""","=""1""","=""""","=""14.1525151""","=""""","=""""","=""0.249061""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).3d""","=""2[7/2]*""","=""4""","=""""","=""13.9792373""","=""""","=""""","=""-0.173278""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).3d""","=""2[7/2]*""","=""3""","=""""","=""14.0127381""","=""""","=""""","=""0.033501""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).3d""","=""2[5/2]*""","=""2""","=""""","=""14.0630272""","=""""","=""""","=""0.050289""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).3d""","=""2[5/2]*""","=""3""","=""""","=""14.0990559""","=""""","=""""","=""0.036029""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""2""","=""""","=""14.0682977""","=""""","=""""","=""-0.030758""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""1""","=""""","=""14.0899685""","=""""","=""""","=""0.021671""","=""""","="""""
"=""3s2.3p5.(2P*<1/2>).3d""","=""2[5/2]*""","=""2""","=""""","=""14.2136715""","=""""","=""""","=""0.123703""","=""""","="""""
