Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""2s2.2p""","=""2P*""","=""1/2""","=""""","=""0.00000000""","=""""","=""0.00000000""","=""""","=""  95         :     4  2p3            2P*  ""","=""L12312"""
"=""2s2.2p""","=""2P*""","=""3/2""","=""""","=""0.0018953""","=""""","=""0.0000004""","=""0.0018953""","=""  95         :     4  2p3            2P*  ""","=""L12312"""
"=""2s.2p2""","=""4P""","=""1/2""","=""""","=""3.55183""","=""+x""","=""0.00022""","=""3.54993""","="" 100                                      ""","=""L12312"""
"=""2s.2p2""","=""4P""","=""3/2""","=""""","=""3.55240""","=""+x""","=""0.00022""","=""0.0006""","="" 100                                      ""","=""L12312"""
"=""2s.2p2""","=""4P""","=""5/2""","=""""","=""3.55319""","=""+x""","=""0.00022""","=""0.0008""","="" 100                                      ""","=""L12312"""
"=""2s2.3s""","=""2S""","=""1/2""","=""""","=""4.9642890""","=""""","=""0.0000003""","=""1.41110""","=""  95         :     5  2p2.(1S).3s    2S   ""","=""L12312"""
"=""2s.2p2""","=""2D""","=""5/2""","=""""","=""5.9334881""","=""""","=""0.0000005""","=""0.9691991""","=""  79         :     7  2s2.3d         2D   ""","=""L12312"""
"=""2s.2p2""","=""2D""","=""3/2""","=""""","=""5.9335273""","=""""","=""0.0000005""","=""0.0000392""","=""  79         :     7  2s2.3d         2D   ""","=""L12312"""
"=""2s2.3p""","=""2P*""","=""1/2""","=""""","=""6.0271033""","=""""","=""0.0000004""","=""0.0935760""","=""  91         :     7  2p2.(1S).3p    2P*  ""","=""L12312"""
"=""2s2.3p""","=""2P*""","=""3/2""","=""""","=""6.0273243""","=""""","=""0.0000003""","=""0.0002210""","=""  91         :     7  2p2.(1S).3p    2P*  ""","=""L12312"""
"=""2s2.3d""","=""2D""","=""3/2""","=""""","=""6.79032869""","=""""","=""0.00000025""","=""0.7630044""","=""  88         :     7  2s.2p2         2D   ""","=""L12312"""
"=""2s2.3d""","=""2D""","=""5/2""","=""""","=""6.7903466""","=""""","=""0.0000004""","=""0.0000179""","=""  88         :     7  2s.2p2         2D   ""","=""L12312"""
"=""2s2.4s""","=""2S""","=""1/2""","=""""","=""6.8203997""","=""""","=""0.0000003""","=""0.0300531""","=""  95         :     5  2p2.(1S).4s    2S   ""","=""L12312"""
