Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Reference
"=""6s2""","=""1S""","=""0""","=""""","=""0.0000000""","=""""","=""0""","=""""","=""""","=""L9224"""
"=""6s.5d""","=""3D""","=""1""","=""""","=""1.1200690""","=""""","=""""","=""1.1200690""","=""0.53""","=""L9224"""
"=""6s.5d""","=""3D""","=""2""","=""""","=""1.1425765""","=""""","=""""","=""0.022508""","=""1.18""","=""L9224"""
"=""6s.5d""","=""3D""","=""3""","=""""","=""1.1898185""","=""""","=""""","=""0.047242""","=""1.38""","=""L9224"""
"=""6s.5d""","=""1D""","=""2""","=""""","=""1.4128433""","=""""","=""""","=""0.223025""","=""1""","=""L9224"""
"=""6s.6p""","=""3P*""","=""0""","=""""","=""1.5207932""","=""""","=""""","=""0.107950""","=""""","=""L9224"""
"=""6s.6p""","=""3P*""","=""1""","=""""","=""1.5667416""","=""""","=""""","=""0.045948""","=""1.45""","=""L9224"""
"=""6s.6p""","=""3P*""","=""2""","=""""","=""1.6756148""","=""""","=""""","=""0.108873""","=""1.52""","=""L9224"""
"=""6s.6p""","=""1P*""","=""1""","=""""","=""2.2391870""","=""""","=""""","=""0.563572""","=""1.02""","=""L9224"""
"=""5d2""","=""3F""","=""2""","=""""","=""2.5954895""","=""""","=""""","=""0.356302""","=""""","=""L9224"""
"=""5d2""","=""3F""","=""3""","=""""","=""2.6346884""","=""""","=""""","=""0.039199""","=""""","=""L9224"""
"=""5d2""","=""3F""","=""4""","=""""","=""2.6810062""","=""""","=""""","=""0.046318""","=""""","=""L9224"""
"=""5d.6p""","=""3F*""","=""2""","=""""","=""2.7356673""","=""""","=""""","=""0.054661""","=""""","=""L9224"""
"=""5d.6p""","=""3F*""","=""3""","=""""","=""2.8451178""","=""""","=""""","=""0.109451""","=""""","=""L9224"""
"=""5d.6p""","=""3F*""","=""4""","=""""","=""2.9454987""","=""""","=""""","=""0.100381""","=""""","=""L9224"""
"=""5d2""","=""1D""","=""2""","=""""","=""2.8593299""","=""""","=""""","=""-0.086169""","=""""","=""L9224"""
"=""5d.6p""","=""1D*""","=""2""","=""""","=""2.8608594""","=""""","=""""","=""0.001529""","=""""","=""L9224"""
"=""5d2""","=""3P""","=""0""","=""""","=""2.8775552""","=""""","=""""","=""0.016696""","=""""","=""L9224"""
"=""5d2""","=""3P""","=""1""","=""""","=""2.9111460""","=""""","=""""","=""0.033591""","=""""","=""L9224"""
"=""5d2""","=""3P""","=""2""","=""""","=""2.9655675""","=""""","=""""","=""0.054422""","=""""","=""L9224"""
"=""5d.6p""","=""3D*""","=""1""","=""""","=""2.9994298""","=""""","=""""","=""0.033862""","=""0.54""","=""L9224"""
"=""5d.6p""","=""3D*""","=""2""","=""""","=""3.0415200""","=""""","=""""","=""0.042090""","=""1.16""","=""L9224"""
"=""5d.6p""","=""3D*""","=""3""","=""""","=""3.0971047""","=""""","=""""","=""0.055585""","=""1.32""","=""L9224"""
"=""5d.6p""","=""3P*""","=""0""","=""""","=""3.1792184""","=""""","=""""","=""0.082114""","=""""","=""L9224"""
"=""5d.6p""","=""3P*""","=""1""","=""""","=""3.1869035""","=""""","=""""","=""0.007685""","=""1.52""","=""L9224"""
"=""5d.6p""","=""3P*""","=""2""","=""""","=""3.2181982""","=""""","=""""","=""0.031295""","=""1.52""","=""L9224"""
"=""6s.7s""","=""3S""","=""1""","=""""","=""3.2434630""","=""""","=""""","=""0.025265""","=""""","=""L9224"""
"=""5d2""","=""1S""","=""0""","=""""","=""3.31748""","=""""","=""""","=""0.07402""","=""""","=""L3701,L862"""
"=""5d.6p""","=""1F*""","=""3""","=""""","=""3.3247932""","=""""","=""""","=""0.00731""","=""1.09""","=""L9224"""
"=""6s.7s""","=""1S""","=""0""","=""""","=""3.5001026""","=""""","=""""","=""0.175309""","=""""","=""L9224"""
"=""5d.6p""","=""1P*""","=""1""","=""""","=""3.5402722""","=""""","=""""","=""0.040170""","=""1.02""","=""L9224"""
"=""6s.6d""","=""1D""","=""2""","=""""","=""3.7488886""","=""""","=""""","=""0.208616""","=""""","=""L9224"""
"=""6s.6d""","=""3D""","=""1""","=""""","=""3.8057715""","=""""","=""""","=""0.056883""","=""""","=""L9224"""
"=""6s.6d""","=""3D""","=""2""","=""""","=""3.8125974""","=""""","=""""","=""0.006826""","=""1.11""","=""L9224"""
"=""6s.6d""","=""3D""","=""3""","=""""","=""3.8209593""","=""""","=""""","=""0.008362""","=""1.32""","=""L9224"""
"=""6s.7p""","=""3P*""","=""0""","=""""","=""3.8117070""","=""""","=""""","=""-0.009252""","=""""","=""L9224"""
