Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Leading percentages,Reference
"=""6p3""","=""4S*""","=""3/2""","=""""","=""0.0000000""","=""""","=""0""","=""""","=""""","=""                                    ""","=""L6416"""
"=""6p3""","=""2D*""","=""3/2""","=""""","=""1.4157804""","=""""","=""""","=""1.4157804""","=""1.225""","=""                                    ""","=""L6416"""
"=""6p3""","=""2D*""","=""5/2""","=""""","=""1.9140062""","=""""","=""""","=""0.498226""","=""1.20""","=""                                    ""","=""L6416"""
"=""6p3""","=""2P*""","=""1/2""","=""""","=""2.6856111""","=""""","=""""","=""0.771605""","=""0.667""","=""                                    ""","=""L6416"""
"=""6p3""","=""2P*""","=""3/2""","=""""","=""4.1119118""","=""""","=""""","=""1.426301""","=""""","=""                                    ""","=""L6416"""
"=""6p2.(3P<0>).7s""","=""2[0]""","=""1/2""","=""""","=""4.0404245""","=""""","=""""","=""-0.071487""","=""2.088""","=""         or  :        6p2.7s   4P   ""","=""L6416"""
"=""6p2.(3P<0>).7p""","=""2[1]*""","=""1/2""","=""""","=""5.0988483""","=""""","=""""","=""1.058424""","=""""","=""                                    ""","=""L6416"""
"=""6p2.(3P<0>).7p""","=""2[1]*""","=""3/2""","=""""","=""5.3239458""","=""""","=""""","=""0.225097""","=""""","=""                                    ""","=""L6416"""
"=""6p2.(3P<0>).6d""","=""2[2]""","=""3/2""","=""""","=""5.4444405""","=""""","=""""","=""0.120495""","=""0.79""","=""                                    ""","=""L6416"""
"=""6p2.(3P<0>).6d""","=""2[2]""","=""5/2""","=""""","=""5.5565801""","=""""","=""""","=""0.112140""","=""1.20""","=""                                    ""","=""L6416"""
"=""6p2.(3P<1>).7s""","=""2[1]""","=""3/2""","=""""","=""5.5625605""","=""""","=""""","=""0.005980""","=""1.676""","=""         or  :        6p2.7s   4P   ""","=""L6416"""
"=""6p2.(3P<1>).7s""","=""2[1]""","=""1/2""","=""""","=""5.6928439""","=""""","=""""","=""0.130283""","=""1.30""","=""         or  :        6p2.7s   2P   ""","=""L6416"""
"=""6p2.(3P<0>).8s""","=""2[0]""","=""1/2""","=""""","=""5.8735626""","=""""","=""""","=""0.180719""","=""""","=""         or  :        6p2.8s   4P   ""","=""L6416"""
"=""6p2.(3P<2>).7s""","=""2[2]""","=""5/2""","=""""","=""6.0119775""","=""""","=""""","=""0.138415""","=""1.41""","=""         or  :        6p2.7s   4P   ""","=""L6416"""
"=""6p2.(3P<2>).7s""","=""2[2]""","=""3/2""","=""""","=""6.1323713""","=""""","=""""","=""0.120394""","=""0.98""","=""         or  :        6p2.7s   2P   ""","=""L6416"""
"=""6p2.(3P<0>).8p""","=""2[1]*""","=""1/2""","=""""","=""6.1989414""","=""""","=""""","=""0.066570""","=""""","=""                                    ""","=""L6416"""
"=""6p2.(3P<0>).8p""","=""2[1]*""","=""3/2""","=""""","=""6.2729294""","=""""","=""""","=""0.073988""","=""""","=""                                    ""","=""L6416"""
"=""6p2.(3P<0>).7d""","=""2[2]""","=""3/2""","=""""","=""6.3255610""","=""""","=""""","=""0.052632""","=""""","=""                                    ""","=""L6416"""
"=""6p2.(3P<0>).7d""","=""2[2]""","=""5/2""","=""""","=""6.3428449""","=""""","=""""","=""0.017284""","=""""","=""                                    ""","=""L6416"""
"=""6p2.(3P<0>).9s""","=""2[0]""","=""1/2""","=""""","=""6.4788832""","=""""","=""""","=""0.136038""","=""""","=""         or  :        6p2.9s   4P   ""","=""L6416"""
"=""6p2.(3P<0>).9p""","=""2[1]*""","=""1/2""","=""""","=""6.6292554""","=""""","=""""","=""0.150372""","=""""","=""                                    ""","=""L6416"""
"=""6p2.(3P<0>).8d""","=""2[2]""","=""3/2""","=""""","=""6.6801236""","=""""","=""""","=""0.050868""","=""""","=""                                    ""","=""L6416"""
"=""6p2.(3P<0>).8d""","=""2[2]""","=""5/2""","=""""","=""6.6923014""","=""""","=""""","=""0.012178""","=""""","=""                                    ""","=""L6416"""
"=""6p2.(3P<1>).7p""","=""2[0]*""","=""1/2""","=""""","=""6.6819784""","=""""","=""""","=""-0.010323""","=""""","=""                                    ""","=""L6416"""
"=""6p2.(3P<0>).10s""","=""2[0]""","=""1/2""","=""""","=""6.7646568""","=""""","=""""","=""0.082678""","=""""","=""         or  :        6p2.10s  4P   ""","=""L6416"""
"=""6p2.(3P<1>).7p""","=""2[2]*""","=""3/2""","=""""","=""6.7658859""","=""""","=""""","=""0.001229""","=""""","=""                                    ""","=""L6416"""
