Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Leading percentages,Reference
"=""4s2.4p5""","=""2P*""","=""3/2""","=""""","=""0.000000""","=""""","=""0""","=""""","=""1.333921""","=""                                            ""","=""L351,L20600"""
"=""4s2.4p5""","=""2P*""","=""1/2""","=""""","=""0.456912""","=""""","=""""","=""0.456912""","=""0.6655""","=""                                            ""","=""L351,L6406"""
"=""4s2.4p4.(3P<2>).5s""","=""2[2]""","=""5/2""","=""""","=""7.865117""","=""""","=""""","=""7.40820""","=""1.595""","=""         or  :        4s2.4p4.(3P).5s  4P   ""","=""L351"""
"=""4s2.4p4.(3P<2>).5s""","=""2[2]""","=""3/2""","=""""","=""8.047466""","=""""","=""""","=""0.18235""","=""1.532""","=""         or  :        4s2.4p4.(3P).5s  4P   ""","=""L351"""
"=""4s2.4p4.(3P<1>).5s""","=""2[1]""","=""1/2""","=""""","=""8.292543""","=""""","=""""","=""0.24508""","=""2.608""","=""         or  :        4s2.4p4.(3P).5s  4P   ""","=""L351"""
"=""4s2.4p4.(3P<1>).5s""","=""2[1]""","=""3/2""","=""""","=""8.329702""","=""""","=""""","=""0.03716""","=""1.522""","=""         or  :        4s2.4p4.(3P).5s  2P   ""","=""L351"""
"=""4s2.4p4.(3P<0>).5s""","=""2[0]""","=""1/2""","=""""","=""8.551216""","=""""","=""""","=""0.22151""","=""0.734""","=""         or  :        4s2.4p4.(3P).5s  2P   ""","=""L351"""
"=""4s2.4p4.(3P<2>).5p""","=""2[2]*""","=""5/2""","=""""","=""9.258188""","=""""","=""""","=""0.70697""","=""""","=""         or  :        4s2.4p4.(3P).5p  4P*  ""","=""L351"""
"=""4s2.4p4.(3P<2>).5p""","=""2[2]*""","=""3/2""","=""""","=""9.299947""","=""""","=""""","=""0.04176""","=""0.826""","=""         or  :        4s2.4p4.(3P).5p  4P*  ""","=""L351"""
"=""4s2.4p4.(3P<2>).5p""","=""2[3]*""","=""7/2""","=""""","=""9.363473""","=""""","=""""","=""0.06353""","=""""","=""         or  :        4s2.4p4.(3P).5p  4D*  ""","=""L351"""
