Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""3p6.4s2""","=""1S""","=""0""","=""""","=""0.0000000""","=""""","=""0""","=""""","=""L7185"""
"=""3p6.4s.4p""","=""3P*""","=""0""","=""""","=""1.8793402""","=""""","=""""","=""1.8793402""","=""L7185"""
"=""3p6.4s.4p""","=""3P*""","=""1""","=""""","=""1.8858075""","=""""","=""""","=""0.006467""","=""L7185"""
"=""3p6.4s.4p""","=""3P*""","=""2""","=""""","=""1.8989349""","=""""","=""""","=""0.013127""","=""L7185"""
"=""3p6.3d.4s""","=""3D""","=""1""","=""""","=""2.5212633""","=""""","=""""","=""0.622328""","=""L7185"""
"=""3p6.3d.4s""","=""3D""","=""2""","=""""","=""2.5229867""","=""""","=""""","=""0.001723""","=""L7185"""
"=""3p6.3d.4s""","=""3D""","=""3""","=""""","=""2.5256821""","=""""","=""""","=""0.002695""","=""L7185"""
"=""3p6.3d.4s""","=""1D""","=""2""","=""""","=""2.7090094""","=""""","=""""","=""0.183327""","=""L7185"""
"=""3p6.4s.4p""","=""1P*""","=""1""","=""""","=""2.9325120""","=""""","=""""","=""0.223503""","=""L7185"""
"=""3p6.4s.5s""","=""3S""","=""1""","=""""","=""3.9103990""","=""""","=""""","=""0.977887""","=""L7185"""
"=""3p6.4s.5s""","=""1S""","=""0""","=""""","=""4.1308143""","=""""","=""""","=""0.220415""","=""L7185"""
"=""3p6.3d.4p""","=""3F*""","=""2""","=""""","=""4.4300117""","=""""","=""""","=""0.299197""","=""L7185"""
"=""3p6.3d.4p""","=""3F*""","=""3""","=""""","=""4.4409544""","=""""","=""""","=""0.010943""","=""L7185"""
"=""3p6.3d.4p""","=""3F*""","=""4""","=""""","=""4.4506470""","=""""","=""""","=""0.009693""","=""L7185"""
"=""3p6.3d.4p""","=""1D*""","=""2""","=""""","=""4.4430250""","=""""","=""""","=""-0.007622""","=""L7185"""
"=""3p6.4s.5p""","=""3P*""","=""0""","=""""","=""4.5313358""","=""""","=""""","=""0.088311""","=""L7185"""
"=""3p6.4s.5p""","=""3P*""","=""1""","=""""","=""4.5322113""","=""""","=""""","=""0.000876""","=""L7185"""
"=""3p6.4s.5p""","=""3P*""","=""2""","=""""","=""4.5347368""","=""""","=""""","=""0.002525""","=""L7185"""
"=""3p6.4s.5p""","=""1P*""","=""1""","=""""","=""4.5541398""","=""""","=""""","=""0.019403""","=""L7185"""
"=""3p6.4s.4d""","=""1D""","=""2""","=""""","=""4.6243982""","=""""","=""""","=""0.070258""","=""L7185"""
"=""3p6.4s.4d""","=""3D""","=""1""","=""""","=""4.6801799""","=""""","=""""","=""0.055782""","=""L7185"""
"=""3p6.4s.4d""","=""3D""","=""2""","=""""","=""4.6806350""","=""""","=""""","=""0.000455""","=""L7185"""
"=""3p6.4s.4d""","=""3D""","=""3""","=""""","=""4.6813270""","=""""","=""""","=""0.000692""","=""L7185"""
"=""3p6.3d.4p""","=""3D*""","=""1""","=""""","=""4.7352531""","=""""","=""""","=""0.053926""","=""L7185"""
"=""3p6.3d.4p""","=""3D*""","=""2""","=""""","=""4.7385667""","=""""","=""""","=""0.003314""","=""L7185"""
"=""3p6.3d.4p""","=""3D*""","=""3""","=""""","=""4.7435268""","=""""","=""""","=""0.004960""","=""L7185"""
"=""3p6.4p2""","=""3P""","=""0""","=""""","=""4.7631683""","=""""","=""""","=""0.019642""","=""L7185"""
"=""3p6.4p2""","=""3P""","=""1""","=""""","=""4.7690284""","=""""","=""""","=""0.005860""","=""L7185"""
"=""3p6.4p2""","=""3P""","=""2""","=""""","=""4.7797840""","=""""","=""""","=""0.010756""","=""L7185"""
"=""3p6.3d.4p""","=""3P*""","=""0""","=""""","=""4.8767178""","=""""","=""""","=""0.096934""","=""L7185"""
"=""3p6.3d.4p""","=""3P*""","=""1""","=""""","=""4.8769584""","=""""","=""""","=""0.000241""","=""L7185"""
"=""3p6.3d.4p""","=""3P*""","=""2""","=""""","=""4.8775483""","=""""","=""""","=""0.000590""","=""L7185"""
"=""3p6.4s.6s""","=""3S""","=""1""","=""""","=""5.0181663""","=""""","=""""","=""0.140618""","=""L7185"""
"=""3p6.3d.4p""","=""1F*""","=""3""","=""""","=""5.0260582""","=""""","=""""","=""0.007892""","=""L7185"""
"=""3p6.4s.6s""","=""1S""","=""0""","=""""","=""5.0449710""","=""""","=""""","=""0.018913""","=""L7185"""
"=""3p6.4p2""","=""1D""","=""2""","=""""","=""5.0486176""","=""""","=""""","=""0.003647""","=""L7185"""
"=""3p6.4s.6p""","=""1P*""","=""1""","=""""","=""5.1675384""","=""""","=""""","=""0.118921""","=""L7185"""
"=""3p6.4p2""","=""1S""","=""0""","=""""","=""5.1808379""","=""""","=""""","=""0.013300""","=""L7185"""
"=""3p6.4s.4f""","=""3F*""","=""2""","=""""","=""5.2284402""","=""""","=""""","=""0.047602""","=""L7185"""
"=""3p6.4s.4f""","=""3F*""","=""3""","=""""","=""5.2284828""","=""""","=""""","=""0.000043""","=""L7185"""
"=""3p6.4s.4f""","=""3F*""","=""4""","=""""","=""5.2285409""","=""""","=""""","=""0.000058""","=""L7185"""
"=""3p6.4s.4f""","=""1F*""","=""3""","=""""","=""5.2499357""","=""""","=""""","=""0.021395""","=""L7185"""
"=""3p6.4s.6p""","=""3P*""","=""0""","=""""","=""5.2711690""","=""""","=""""","=""0.021233""","=""L7185"""
