Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Leading percentages,Reference
"=""3s2.3p5""","=""2P*""","=""3/2""","=""""","=""0.00000000""","=""""","=""0""","=""""","=""1.333925""","=""  95                      :     1  3s.3p5.(1P*).nd    2P*  ""","=""L298"""
"=""3s2.3p5""","=""2P*""","=""1/2""","=""""","=""0.10939764""","=""""","=""""","=""0.10939764""","=""0.665662""","=""  95                      :     1  3s.3p5.(1P*).nd    2P*  ""","="""""
"=""3s2.3p4.(3P).4s""","=""4P""","=""5/2""","=""""","=""8.9217000""","=""""","=""""","=""8.8123024""","=""1.599""","="" 100                                                       ""","="""""
"=""3s2.3p4.(3P).4s""","=""4P""","=""3/2""","=""""","=""8.9874370""","=""""","=""""","=""0.065737""","=""1.722""","=""  98                      :     2  3s2.3p4.(3P).4s    2P   ""","="""""
"=""3s2.3p4.(3P).4s""","=""4P""","=""1/2""","=""""","=""9.0294019""","=""""","=""""","=""0.041965""","=""2.652""","=""  99                      :     1  3s2.3p4.(3P).4s    2P   ""","="""""
"=""3s2.3p4.(3P).4s""","=""2P""","=""3/2""","=""""","=""9.2028320""","=""""","=""""","=""0.173430""","=""1.340""","=""  98                      :     2  3s2.3p4.(3P).4s    4P   ""","="""""
"=""3s2.3p4.(3P).4s""","=""2P""","=""1/2""","=""""","=""9.2821597""","=""""","=""""","=""0.079328""","=""0.663""","=""  99                      :     1  3s2.3p4.(3P).4s    4P   ""","="""""
"=""3s2.3p4.(3P).4p""","=""4P*""","=""5/2""","=""""","=""10.2806325""","=""""","=""""","=""0.998473""","=""1.591""","=""  96                      :     4  3s2.3p4.(3P).4p    4D*  ""","="""""
"=""3s2.3p4.(3P).4p""","=""4P*""","=""3/2""","=""""","=""10.3069180""","=""""","=""""","=""0.026286""","=""1.723""","=""  94                      :     3  3s2.3p4.(3P).4p    4D*  ""","="""""
"=""3s2.3p4.(3P).4p""","=""4P*""","=""1/2""","=""""","=""10.3359337""","=""""","=""""","=""0.029016""","=""2.617""","=""  97                      :     1  3s2.3p4.(3P).4p    4D*  ""","="""""
"=""3s2.3p4.(3P).4p""","=""4D*""","=""7/2""","=""""","=""10.4015349""","=""""","=""""","=""0.065601""","=""1.422""","="" 100                                                       ""","="""""
"=""3s2.3p4.(3P).4p""","=""4D*""","=""5/2""","=""""","=""10.4310711""","=""""","=""""","=""0.029536""","=""1.308""","=""  66                      :    32  3s2.3p4.(3P).4p    2D*  ""","="""""
