Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Leading percentages,Reference
"=""3p6.3d7.4s2""","=""a 4F""","=""9/2""","=""""","=""0.000000""","=""""","=""0""","=""""","=""1.33289""","=""                                                      ""","=""L7185"""
"=""3p6.3d7.4s2""","=""a 4F""","=""7/2""","=""""","=""0.101171""","=""""","=""""","=""0.101171""","=""1.23778""","=""                                                      ""","="""""
"=""3p6.3d7.4s2""","=""a 4F""","=""5/2""","=""""","=""0.174426""","=""""","=""""","=""0.07326""","=""1.02826""","=""                                                      ""","="""""
"=""3p6.3d7.4s2""","=""a 4F""","=""3/2""","=""""","=""0.224328""","=""""","=""""","=""0.04990""","=""0.39940""","=""                                                      ""","="""""
"=""3p6.3d8.(3F).4s""","=""b 4F""","=""9/2""","=""""","=""0.431815""","=""""","=""""","=""0.20749""","=""1.33343""","="" 100                                                  ""","="""""
"=""3p6.3d8.(3F).4s""","=""b 4F""","=""7/2""","=""""","=""0.513624""","=""""","=""""","=""0.08181""","=""1.23661""","=""  98                                                  ""","="""""
"=""3p6.3d8.(3F).4s""","=""b 4F""","=""5/2""","=""""","=""0.581508""","=""""","=""""","=""0.06788""","=""1.02709""","="" 100                                                  ""","="""""
"=""3p6.3d8.(3F).4s""","=""b 4F""","=""3/2""","=""""","=""0.629323""","=""""","=""""","=""0.04781""","=""0.404""","="" 100                                                  ""","="""""
"=""3p6.3d8.(3F).4s""","=""a 2F""","=""7/2""","=""""","=""0.922741""","=""""","=""""","=""0.29342""","=""1.147""","=""  98                                                  ""","="""""
"=""3p6.3d8.(3F).4s""","=""a 2F""","=""5/2""","=""""","=""1.049007""","=""""","=""""","=""0.12627""","=""0.862""","="" 100                                                  ""","="""""
"=""3p6.3d7.4s2""","=""a 4P""","=""5/2""","=""""","=""1.710426""","=""""","=""""","=""0.66142""","=""1.604""","=""                                                      ""","="""""
"=""3p6.3d7.4s2""","=""a 4P""","=""3/2""","=""""","=""1.740277""","=""""","=""""","=""0.02985""","=""1.722""","=""                                                      ""","="""""
"=""3p6.3d7.4s2""","=""a 4P""","=""1/2""","=""""","=""1.785283""","=""""","=""""","=""0.04501""","=""2.651""","=""                                                      ""","="""""
"=""3p6.3d8.(3P).4s""","=""b 4P""","=""5/2""","=""""","=""1.882581""","=""""","=""""","=""0.09730""","=""1.515""","=""  84             :    16  3d8.(1D).4s            2D   ""","="""""
"=""3p6.3d8.(3P).4s""","=""b 4P""","=""3/2""","=""""","=""1.955732""","=""""","=""""","=""0.07315""","=""1.476""","=""  98                                                  ""","="""""
"=""3p6.3d8.(3P).4s""","=""b 4P""","=""1/2""","=""""","=""2.008008""","=""""","=""""","=""0.05228""","=""2.682""","="" 100                                                  ""","="""""
"=""3p6.3d7.4s2""","=""a 2G""","=""9/2""","=""""","=""2.041759""","=""""","=""""","=""0.03375""","=""1.109""","=""                                                      ""","="""""
"=""3p6.3d7.4s2""","=""a 2G""","=""7/2""","=""""","=""2.136704""","=""""","=""""","=""0.09495""","=""0.883""","=""                                                      ""","="""""
"=""3p6.3d8.(1D).4s""","=""a 2D""","=""3/2""","=""""","=""2.042094""","=""""","=""""","=""-0.09461""","=""1.101""","=""  96                                                  ""","="""""
"=""3p6.3d8.(1D).4s""","=""a 2D""","=""5/2""","=""""","=""2.080227""","=""""","=""""","=""0.03813""","=""1.296""","=""  83             :    16  3d8.(3P).4s            4P   ""","="""""
"=""3p6.3d8.(3P).4s""","=""a 2P""","=""3/2""","=""""","=""2.280016""","=""""","=""""","=""0.19979""","=""1.300""","=""  98                                                  ""","="""""
"=""3p6.3d8.(3P).4s""","=""a 2P""","=""1/2""","=""""","=""2.327805""","=""""","=""""","=""0.04779""","=""0.695""","="" 100                                                  ""","="""""
"=""3p6.3d7.4s2""","=""b 2P""","=""3/2""","=""""","=""2.541764""","=""""","=""""","=""0.21396""","=""1.284""","=""                                                      ""","="""""
"=""3p6.3d7.4s2""","=""b 2P""","=""1/2""","=""""","=""2.630436""","=""""","=""""","=""0.08867""","=""0.680""","=""                                                      ""","="""""
"=""3p6.3d7.4s2""","=""a 2H""","=""11/2""","=""""","=""2.700434""","=""""","=""""","=""0.07000""","=""1.100""","=""                                                      ""","="""""
"=""3p6.3d7.4s2""","=""a 2H""","=""9/2""","=""""","=""2.786589""","=""""","=""""","=""0.08616""","=""0.921""","=""                                                      ""","="""""
"=""3p6.3d7.4s2""","=""b 2D""","=""5/2""","=""""","=""2.717745""","=""""","=""""","=""-0.06884""","=""1.180""","=""                                                      ""","="""""
"=""3p6.3d7.4s2""","=""b 2D""","=""3/2""","=""""","=""2.870553""","=""""","=""""","=""0.15281""","=""0.955""","=""                                                      ""","="""""
"=""3p6.3d8.(1G).4s""","=""b 2G""","=""9/2""","=""""","=""2.874478""","=""""","=""""","=""0.00392""","=""1.098""","="" 100                                                  ""","="""""
"=""3p6.3d8.(1G).4s""","=""b 2G""","=""7/2""","=""""","=""2.877396""","=""""","=""""","=""0.00292""","=""0.883""","="" 100                                                  ""","="""""
"=""3p6.3d7.(4F).4s.4p.(3P*)""","=""z 6F*""","=""11/2""","=""""","=""2.927488""","=""""","=""""","=""0.05009""","=""1.466""","=""  97                                                  ""","="""""
"=""3p6.3d7.(4F).4s.4p.(3P*)""","=""z 6F*""","=""9/2""","=""""","=""2.957720""","=""""","=""""","=""0.03023""","=""1.481""","=""  78             :    18  3d7.(4F).4s.4p.(3P*)   6D*  ""","="""""
"=""3p6.3d7.(4F).4s.4p.(3P*)""","=""z 6F*""","=""7/2""","=""""","=""3.016053""","=""""","=""""","=""0.05833""","=""1.436""","=""  84             :    12  3d7.(4F).4s.4p.(3P*)   6D*  ""","="""""
"=""3p6.3d7.(4F).4s.4p.(3P*)""","=""z 6F*""","=""5/2""","=""""","=""3.066536""","=""""","=""""","=""0.05048""","=""1.336""","=""  90             :     7  3d7.(4F).4s.4p.(3P*)   6D*  ""","="""""
"=""3p6.3d7.(4F).4s.4p.(3P*)""","=""z 6F*""","=""3/2""","=""""","=""3.104708""","=""""","=""""","=""0.03817""","=""1.118""","=""  95                                                  ""","="""""
"=""3p6.3d7.(4F).4s.4p.(3P*)""","=""z 6F*""","=""1/2""","=""""","=""3.128467""","=""""","=""""","=""0.02376""","=""-0.622""","=""  99                                                  ""","="""""
"=""3p6.3d7.(4F).4s.4p.(3P*)""","=""z 6D*""","=""9/2""","=""""","=""3.053457""","=""""","=""""","=""-0.07501""","=""1.569""","=""  78             :    17  3d7.(4F).4s.4p.(3P*)   6F*  ""","="""""
"=""3p6.3d7.(4F).4s.4p.(3P*)""","=""z 6D*""","=""7/2""","=""""","=""3.132988""","=""""","=""""","=""0.07953""","=""1.550""","=""  83             :    11  3d7.(4F).4s.4p.(3P*)   6F*  ""","="""""
"=""3p6.3d7.(4F).4s.4p.(3P*)""","=""z 6D*""","=""5/2""","=""""","=""3.191345""","=""""","=""""","=""0.05836""","=""1.612""","=""  87             :     6  3d7.(4F).4s.4p.(3P*)   6F*  ""","="""""
"=""3p6.3d7.(4F).4s.4p.(3P*)""","=""z 6D*""","=""3/2""","=""""","=""3.231414""","=""""","=""""","=""0.04007""","=""1.812""","=""  91                                                  ""","="""""
"=""3p6.3d7.(4F).4s.4p.(3P*)""","=""z 6D*""","=""1/2""","=""""","=""3.254646""","=""""","=""""","=""0.02323""","=""3.286""","=""  94                                                  ""","="""""
"=""3p6.3d7.(4F).4s.4p.(3P*)""","=""z 6G*""","=""13/2""","=""""","=""3.116824""","=""""","=""""","=""-0.13782""","=""1.40""","="" 100                                                  ""","="""""
"=""3p6.3d7.(4F).4s.4p.(3P*)""","=""z 6G*""","=""11/2""","=""""","=""3.170112""","=""""","=""""","=""0.05329""","=""1.354""","=""  96                                                  ""","="""""
"=""3p6.3d7.(4F).4s.4p.(3P*)""","=""z 6G*""","=""9/2""","=""""","=""3.215851""","=""""","=""""","=""0.04574""","=""1.281""","=""  94                                                  ""","="""""
"=""3p6.3d7.(4F).4s.4p.(3P*)""","=""z 6G*""","=""7/2""","=""""","=""3.252360""","=""""","=""""","=""0.03651""","=""1.150""","=""  94                                                  ""","="""""
"=""3p6.3d7.(4F).4s.4p.(3P*)""","=""z 6G*""","=""5/2""","=""""","=""3.279385""","=""""","=""""","=""0.02703""","=""0.876""","=""  95                                                  ""","="""""
"=""3p6.3d7.(4F).4s.4p.(3P*)""","=""z 6G*""","=""3/2""","=""""","=""3.297687""","=""""","=""""","=""0.01830""","=""0.006""","=""  97                                                  ""","="""""
"=""3p6.3d9""","=""c 2D""","=""5/2""","=""""","=""3.409201""","=""""","=""""","=""0.11151""","=""1.200""","=""                                                      ""","="""""
"=""3p6.3d9""","=""c 2D""","=""3/2""","=""""","=""3.529893""","=""""","=""""","=""0.12069""","=""0.907""","=""                                                      ""","="""""
"=""3p6.3d7.(4F).4s.4p.(3P*)""","=""z 4F*""","=""9/2""","=""""","=""3.514439""","=""""","=""""","=""-0.01545""","=""1.330""","=""  82             :    15  3d8.(3F).4p            4F*  ""","="""""
"=""3p6.3d7.(4F).4s.4p.(3P*)""","=""z 4F*""","=""7/2""","=""""","=""3.567927""","=""""","=""""","=""0.05349""","=""1.247""","=""  80             :    13  3d8.(3F).4p            4F*  ""","="""""
"=""3p6.3d7.(4F).4s.4p.(3P*)""","=""z 4F*""","=""5/2""","=""""","=""3.622368""","=""""","=""""","=""0.05444""","=""1.033""","=""  82             :    13  3d8.(3F).4p            4F*  ""","="""""
"=""3p6.3d7.(4F).4s.4p.(3P*)""","=""z 4F*""","=""3/2""","=""""","=""3.665366""","=""""","=""""","=""0.04300""","=""0.410""","=""  85             :    13  3d8.(3F).4p            4F*  ""","="""""
"=""3p6.3d7.(4F).4s.4p.(3P*)""","=""z 4G*""","=""11/2""","=""""","=""3.576351""","=""""","=""""","=""-0.08902""","=""1.276""","=""  95                                                  ""","="""""
"=""3p6.3d7.(4F).4s.4p.(3P*)""","=""z 4G*""","=""9/2""","=""""","=""3.628984""","=""""","=""""","=""0.05263""","=""1.175""","=""  90                                                  ""","="""""
"=""3p6.3d7.(4F).4s.4p.(3P*)""","=""z 4G*""","=""7/2""","=""""","=""3.686692""","=""""","=""""","=""0.05771""","=""0.995""","=""  91                                                  ""","="""""
"=""3p6.3d7.(4F).4s.4p.(3P*)""","=""z 4G*""","=""5/2""","=""""","=""3.732291""","=""""","=""""","=""0.04560""","=""0.577""","=""  94                                                  ""","="""""
"=""3p6.3d7.(4F).4s.4p.(3P*)""","=""z 4D*""","=""7/2""","=""""","=""3.632058""","=""""","=""""","=""-0.10023""","=""1.425""","=""  53             :    42  3d8.(3F).4p            4D*  ""","="""""
"=""3p6.3d7.(4F).4s.4p.(3P*)""","=""z 4D*""","=""5/2""","=""""","=""3.713173""","=""""","=""""","=""0.08112""","=""1.359""","=""  57             :    36  3d8.(3F).4p            4D*  ""","="""""
"=""3p6.3d7.(4F).4s.4p.(3P*)""","=""z 4D*""","=""3/2""","=""""","=""3.774529""","=""""","=""""","=""0.06136""","=""1.192""","=""  62             :    33  3d8.(3F).4p            4D*  ""","="""""
"=""3p6.3d7.(4F).4s.4p.(3P*)""","=""z 4D*""","=""1/2""","=""""","=""3.811603""","=""""","=""""","=""0.03707""","=""-0.006""","=""  65             :    31  3d8.(3F).4p            4D*  ""","="""""
