Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Leading percentages,Reference
"=""4f10.6s2""","=""5I""","=""8""","=""""","=""0.0000000""","=""""","=""0""","=""""","=""1.24159""","=""  94                                           ""","=""L3974"""
"=""4f10.6s2""","=""5I""","=""7""","=""""","=""0.5125782""","=""""","=""""","=""0.5125782""","=""1.17346""","=""  97                                           ""","=""L11757"""
"=""4f10.6s2""","=""5I""","=""6""","=""""","=""0.8741634""","=""""","=""""","=""0.361585""","=""1.07155""","=""  96                                           ""","=""L11757"""
"=""4f10.6s2""","=""5I""","=""5""","=""""","=""1.1420917""","=""""","=""""","=""0.267928""","=""0.911""","=""  93                                           ""","=""L11757"""
"=""4f10.6s2""","=""5I""","=""4""","=""""","=""1.3545617""","=""""","=""""","=""0.212470""","=""0.618""","=""  91                                           ""","=""L11757"""
"=""4f9.(6H*).5d.6s2""","=""7H*""","=""2""","=""""","=""""","=""""","=""""","=""""","=""""","=""  82                                           ""","=""L3974"""
"=""4f9.(6H*).5d.6s2""","=""7H*""","=""8""","=""""","=""0.9380161""","=""""","=""""","=""""","=""1.35246""","=""  81                                           ""","=""L11757"""
"=""4f9.(6H*).5d.6s2""","=""7H*""","=""7""","=""""","=""1.0562474""","=""""","=""""","=""0.118231""","=""1.336""","=""  60                                           ""","=""L11757"""
"=""4f9.(6H*).5d.6s2""","=""7H*""","=""6""","=""""","=""1.2508520""","=""""","=""""","=""0.194605""","=""1.36""","=""  33                                           ""","=""L11757"""
"=""4f9.(6H*).5d.6s2""","=""7H*""","=""5""","=""""","=""1.5248260""","=""""","=""""","=""0.273974""","=""1.24""","=""  56                                           ""","=""L11757"""
"=""4f9.(6H*).5d.6s2""","=""7H*""","=""4""","=""""","=""1.7298277""","=""""","=""""","=""0.205002""","=""1.082""","=""  66                                           ""","=""L11757"""
"=""4f9.(6H*).5d.6s2""","=""7H*""","=""3""","=""""","=""1.8913710""","=""""","=""""","=""0.161543""","=""0.77""","=""  75                                           ""","=""L11757"""
"=""4f9.(6H*).5d.6s2""","=""7I*""","=""3""","=""""","=""""","=""""","=""""","=""""","=""""","=""  76                                           ""","=""L3974"""
"=""4f9.(6H*).5d.6s2""","=""7I*""","=""4""","=""""","=""""","=""""","=""""","=""""","=""""","=""  79                                           ""","=""L3974"""
"=""4f9.(6H*).5d.6s2""","=""7I*""","=""9""","=""""","=""1.2387229""","=""""","=""""","=""""","=""1.32""","=""  89                                           ""","=""L11757"""
"=""4f9.(6H*).5d.6s2""","=""7I*""","=""8""","=""""","=""1.4886933""","=""""","=""""","=""0.249970""","=""1.28""","=""  50                                           ""","=""L11757"""
