Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Leading percentages,Reference
"=""3d6.4s2""","=""a 5D""","=""4""","=""""","=""0.0000000""","=""""","=""0.0000000""","=""""","=""1.50020""","="" 100                                                 ""","=""L11631"""
"=""3d6.4s2""","=""a 5D""","=""3""","=""""","=""0.05156912""","=""""","=""0.00000012""","=""0.05156912""","=""1.50034""","="" 100                                                 ""","="""""
"=""3d6.4s2""","=""a 5D""","=""2""","=""""","=""0.08728574""","=""""","=""0.00000012""","=""0.0357166""","=""1.50041""","="" 100                                                 ""","="""""
"=""3d6.4s2""","=""a 5D""","=""1""","=""""","=""0.11011433""","=""""","=""0.00000012""","=""0.0228286""","=""1.50022""","="" 100                                                 ""","="""""
"=""3d6.4s2""","=""a 5D""","=""0""","=""""","=""0.12126572""","=""""","=""0.00000012""","=""0.0111514""","=""""","="" 100                                                 ""","="""""
"=""3d7.(4F).4s""","=""a 5F""","=""5""","=""""","=""0.85899575""","=""""","=""0.00000012""","=""0.7377300""","=""1.40021""","="" 100                                                 ""","="""""
"=""3d7.(4F).4s""","=""a 5F""","=""4""","=""""","=""0.91460217""","=""""","=""0.00000012""","=""0.0556064""","=""1.35004""","="" 100                                                 ""","="""""
"=""3d7.(4F).4s""","=""a 5F""","=""3""","=""""","=""0.95815732""","=""""","=""0.00000012""","=""0.0435551""","=""1.24988""","="" 100                                                 ""","="""""
"=""3d7.(4F).4s""","=""a 5F""","=""2""","=""""","=""0.99011115""","=""""","=""0.00000012""","=""0.0319538""","=""0.99953""","="" 100                                                 ""","="""""
"=""3d7.(4F).4s""","=""a 5F""","=""1""","=""""","=""1.01105568""","=""""","=""0.00000012""","=""0.0209445""","=""-0.014""","="" 100                                                 ""","="""""
"=""3d7.(4F).4s""","=""a 3F""","=""4""","=""""","=""1.48486439""","=""""","=""0.00000012""","=""0.4738087""","=""1.254""","=""  98             :     1  3d6.4s2               3F2  ""","="""""
"=""3d7.(4F).4s""","=""a 3F""","=""3""","=""""","=""1.55735733""","=""""","=""0.00000012""","=""0.0724929""","=""1.086""","=""  98             :     1  3d6.4s2               3F2  ""","="""""
"=""3d7.(4F).4s""","=""a 3F""","=""2""","=""""","=""1.60789577""","=""""","=""0.00000012""","=""0.0505384""","=""0.670""","=""  98             :     1  3d6.4s2               3F2  ""","="""""
"=""3d7.(4P).4s""","=""a 5P""","=""3""","=""""","=""2.17594512""","=""""","=""0.00000012""","=""0.5680494""","=""1.666""","=""  99                                                 ""","="""""
"=""3d7.(4P).4s""","=""a 5P""","=""2""","=""""","=""2.19786640""","=""""","=""0.00000012""","=""0.0219213""","=""1.820""","=""  99                                                 ""","="""""
"=""3d7.(4P).4s""","=""a 5P""","=""1""","=""""","=""2.22271209""","=""""","=""0.00000012""","=""0.0248457""","=""2.499""","=""  99                                                 ""","="""""
"=""3d6.4s2""","=""a 3P2""","=""2""","=""""","=""2.27860466""","=""""","=""0.00000012""","=""0.0558926""","=""1.506""","=""  55             :    32  3d6.4s2               3P1  ""","="""""
"=""3d6.4s2""","=""a 3P2""","=""1""","=""""","=""2.42419831""","=""""","=""0.00000012""","=""0.1455936""","=""1.500""","=""  55             :    32  3d6.4s2               3P1  ""","="""""
"=""3d6.4s2""","=""a 3P2""","=""0""","=""""","=""2.48437256""","=""""","=""0.00000025""","=""0.0601743""","=""""","=""  55             :    32  3d6.4s2               3P1  ""","="""""
"=""3d6.(5D).4s.4p.(3P*)""","=""z 7D*""","=""5""","=""""","=""2.39920471""","=""""","=""0.00000012""","=""-0.0851679""","=""1.597""","=""  99                                                 ""","="""""
"=""3d6.(5D).4s.4p.(3P*)""","=""z 7D*""","=""4""","=""""","=""2.42543332""","=""""","=""0.00000012""","=""0.0262286""","=""1.642""","=""  98                                                 ""","="""""
