Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""1s2""","=""1S""","=""0""","=""[""","=""0.00000000""","=""]""","=""0.00000015""","=""""","=""L22715"""
"=""1s.2s""","=""3S""","=""1""","=""[""","=""19.819614525""","=""]""","=""0.000000005""","=""19.8196145""","=""L22715c200,L20736"""
"=""1s.2s""","=""1S""","=""0""","=""[""","=""20.615774823""","=""]""","=""0.000000008""","=""0.796160298""","=""L22715c200,L20736"""
"=""1s.2p""","=""3P*""","=""2""","=""[""","=""20.96408688908""","=""]""","=""0.000000003""","=""0.3483120661""","=""L22715c200,L20736"""
"=""1s.2p""","=""3P*""","=""1""","=""[""","=""20.96409636464""","=""]""","=""0.000000003""","=""0.0000094756""","=""L22715c200,L20736"""
"=""1s.2p""","=""3P*""","=""0""","=""[""","=""20.96421885051""","=""]""","=""0.000000003""","=""0.0001224859""","=""L22715c200,L20736"""
"=""1s.2p""","=""1P*""","=""1""","=""[""","=""21.2180227112""","=""]""","=""0.0000000016""","=""0.2538038607""","=""L22715c200,L20736"""
"=""1s.3s""","=""3S""","=""1""","=""[""","=""22.718466419""","=""]""","=""0.000000008""","=""1.500443708""","=""L22715c200"""
"=""1s.3s""","=""1S""","=""0""","=""[""","=""22.920317359""","=""]""","=""0.000000004""","=""0.201850940""","=""L22715c200"""
"=""1s.3p""","=""3P*""","=""2""","=""[""","=""23.00707314571""","=""]""","=""0.00000000004""","=""0.086755787""","=""L22715c200"""
"=""1s.3p""","=""3P*""","=""1""","=""[""","=""23.0070758719""","=""]""","=""0.0000000004""","=""0.0000027262""","=""L22715c200"""
"=""1s.3p""","=""3P*""","=""0""","=""[""","=""23.0071094335""","=""]""","=""0.0000000004""","=""0.0000335616""","=""L22715c200"""
"=""1s.3d""","=""3D""","=""3""","=""[""","=""23.07365070854""","=""]""","=""0.00000000010""","=""0.0665412750""","=""L22715c200,L21466"""
"=""1s.3d""","=""3D""","=""2""","=""[""","=""23.07365101981""","=""]""","=""0.00000000010""","=""0.0000003113""","=""L22715c200,L21466"""
"=""1s.3d""","=""3D""","=""1""","=""[""","=""23.07365649967""","=""]""","=""0.00000000010""","=""0.0000054799""","=""L22715c200,L21466"""
"=""1s.3d""","=""1D""","=""2""","=""[""","=""23.07407479777""","=""]""","=""0.00000000008""","=""0.0004182981""","=""L22715c200,L21466"""
"=""1s.3p""","=""1P*""","=""1""","=""[""","=""23.08701852960""","=""]""","=""0.00000000021""","=""0.0129437318""","=""L22715c200"""
"=""1s.4s""","=""3S""","=""1""","=""[""","=""23.593958713""","=""]""","=""0.000000003""","=""0.506940183""","=""L22715c200"""
"=""1s.4s""","=""1S""","=""0""","=""[""","=""23.673570590""","=""]""","=""0.000000003""","=""0.079611877""","=""L22715c200"""
"=""1s.4p""","=""3P*""","=""2""","=""[""","=""23.7078912279""","=""]""","=""0.0000000008""","=""0.034320638""","=""L22715c200"""
"=""1s.4p""","=""3P*""","=""1""","=""[""","=""23.7078923433""","=""]""","=""0.0000000008""","=""0.000001115""","=""L22715c200"""
"=""1s.4p""","=""3P*""","=""0""","=""[""","=""23.7079060221""","=""]""","=""0.0000000008""","=""0.000013679""","=""L22715c200"""
"=""1s.4d""","=""3D""","=""3""","=""[""","=""23.73609019010""","=""]""","=""0.00000000005""","=""0.0281841680""","=""L22715c200,L21466"""
"=""1s.4d""","=""3D""","=""2""","=""[""","=""23.73609033897""","=""]""","=""0.00000000005""","=""0.00000014887""","=""L22715c200,L21466"""
"=""1s.4d""","=""3D""","=""1""","=""[""","=""23.73609263507""","=""]""","=""0.00000000005""","=""0.00000229610""","=""L22715c200,L21466"""
"=""1s.4d""","=""1D""","=""2""","=""[""","=""23.73633503536""","=""]""","=""0.00000000004""","=""0.00024240029""","=""L22715c200,L21466"""
"=""1s.4f""","=""3F*""","=""3""","=""[""","=""23.737006806968""","=""]""","=""0.000000000008""","=""0.00067177161""","=""L22715c200"""
"=""1s.4f""","=""3F*""","=""4""","=""[""","=""23.737007692183""","=""]""","=""0.000000000006""","=""0.00000088521""","=""L22715c200"""
"=""1s.4f""","=""3F*""","=""2""","=""[""","=""23.737008760725""","=""]""","=""0.000000000008""","=""0.00000106854""","=""L22715c200"""
"=""1s.4f""","=""1F*""","=""3""","=""[""","=""23.737009722091""","=""]""","=""0.000000000006""","=""0.00000096137""","=""L22715c200"""
"=""1s.4p""","=""1P*""","=""1""","=""[""","=""23.74207006880""","=""]""","=""0.00000000016""","=""0.0050603467""","=""L22715c200"""
"=""1s.5s""","=""3S""","=""1""","=""[""","=""23.9719714182""","=""]""","=""0.0000000016""","=""0.229901349""","=""L22715c200"""
"=""1s.5s""","=""1S""","=""0""","=""[""","=""24.0112149898""","=""]""","=""0.0000000012""","=""0.039243572""","=""L22715c200"""
"=""1s.5p""","=""3P*""","=""2""","=""[""","=""24.0282250640""","=""]""","=""0.0000000005""","=""0.017010074""","=""L22715c200"""
"=""1s.5p""","=""3P*""","=""1""","=""[""","=""24.0282256244""","=""]""","=""0.0000000005""","=""0.0000005604""","=""L22715c200"""
"=""1s.5p""","=""3P*""","=""0""","=""[""","=""24.0282324989""","=""]""","=""0.0000000005""","=""0.0000068745""","=""L22715c200"""
"=""1s.5d""","=""3D""","=""3""","=""[""","=""24.042662242088""","=""]""","=""0.000000000025""","=""0.0144297432""","=""L22715c200,L21466"""
"=""1s.5d""","=""3D""","=""2""","=""[""","=""24.042662321526""","=""]""","=""0.000000000025""","=""0.00000007944""","=""L22715c200,L21466"""
"=""1s.5d""","=""3D""","=""1""","=""[""","=""24.042663494166""","=""]""","=""0.000000000025""","=""0.00000117264""","=""L22715c200,L21466"""
"=""1s.5d""","=""1D""","=""2""","=""[""","=""24.042803412125""","=""]""","=""0.000000000021""","=""0.00013991796""","=""L22715c200,L21466"""
"=""1s.5f""","=""3F*""","=""3""","=""[""","=""24.043154084167""","=""]""","=""0.000000000005""","=""0.00035067204""","=""L22715c200"""
"=""1s.5f""","=""3F*""","=""4""","=""[""","=""24.043154465835""","=""]""","=""0.000000000004""","=""0.000000381668""","=""L22715c200"""
"=""1s.5f""","=""3F*""","=""2""","=""[""","=""24.043155012649""","=""]""","=""0.000000000005""","=""0.000000546814""","=""L22715c200"""
"=""1s.5f""","=""1F*""","=""3""","=""[""","=""24.043155648442""","=""]""","=""0.000000000004""","=""0.000000635793""","=""L22715c200"""
"=""1s.5g""","=""3G""","=""4""","=""[""","=""24.0432156651818""","=""]""","=""0.0000000000012""","=""0.000060016740""","=""L22715c200"""
"=""1s.5g""","=""3G""","=""5""","=""[""","=""24.0432160086825""","=""]""","=""0.0000000000009""","=""0.000000343501""","=""L22715c200"""
"=""1s.5g""","=""3G""","=""3""","=""[""","=""24.0432163209841""","=""]""","=""0.0000000000012""","=""0.000000312302""","=""L22715c200"""
"=""1s.5g""","=""1G""","=""4""","=""[""","=""24.0432165311324""","=""]""","=""0.0000000000009""","=""0.000000210148""","=""L22715c200"""
"=""1s.5p""","=""1P*""","=""1""","=""[""","=""24.04580040653""","=""]""","=""0.00000000008""","=""0.00258387540""","=""L22715c200"""
"=""1s.6s""","=""3S""","=""1""","=""[""","=""24.1689982232""","=""]""","=""0.0000000008""","=""0.1231978167""","=""L22715c200"""
"=""1s.6s""","=""1S""","=""0""","=""[""","=""24.1911602752""","=""]""","=""0.0000000007""","=""0.022162052""","=""L22715c200"""
"=""1s.6p""","=""3P*""","=""2""","=""[""","=""24.20081545451""","=""]""","=""0.00000000025""","=""0.0096551793""","=""L22715c200"""
"=""1s.6p""","=""3P*""","=""1""","=""[""","=""24.20081577498""","=""]""","=""0.00000000025""","=""0.0000003205""","=""L22715c200"""
"=""1s.6p""","=""3P*""","=""0""","=""[""","=""24.20081970804""","=""]""","=""0.00000000025""","=""0.0000039331""","=""L22715c200"""
"=""1s.6d""","=""3D""","=""3""","=""[""","=""24.209163110443""","=""]""","=""0.000000000016""","=""0.0083434024""","=""L22715c200,L21466"""
"=""1s.6d""","=""3D""","=""2""","=""[""","=""24.209163157329""","=""]""","=""0.000000000016""","=""0.00000004689""","=""L22715c200,L21466"""
"=""1s.6d""","=""3D""","=""1""","=""[""","=""24.209163835045""","=""]""","=""0.000000000016""","=""0.00000067772""","=""L22715c200,L21466"""
"=""1s.6d""","=""1D""","=""2""","=""[""","=""24.209249793955""","=""]""","=""0.000000000012""","=""0.00008595891""","=""L22715c200,L21466"""
"=""1s.6f""","=""3F*""","=""3""","=""[""","=""24.209454827529""","=""]""","=""0.000000000003""","=""0.00020503357""","=""L22715c200"""
"=""1s.6f""","=""3F*""","=""4""","=""[""","=""24.2094550264796""","=""]""","=""0.0000000000021""","=""0.000000198951""","=""L22715c200"""
"=""1s.6f""","=""3F*""","=""2""","=""[""","=""24.209455342828""","=""]""","=""0.000000000003""","=""0.000000316348""","=""L22715c200"""
"=""1s.6f""","=""1F*""","=""3""","=""[""","=""24.2094557657828""","=""]""","=""0.0000000000021""","=""0.000000422955""","=""L22715c200"""
"=""1s.6g""","=""3G""","=""4""","=""[""","=""24.2094918821374""","=""]""","=""0.0000000000009""","=""0.000036116355""","=""L22715c200"""
"=""1s.6g""","=""3G""","=""5""","=""[""","=""24.2094920807421""","=""]""","=""0.0000000000006""","=""0.000000198605""","=""L22715c200"""
"=""1s.6g""","=""3G""","=""3""","=""[""","=""24.2094922614541""","=""]""","=""0.0000000000009""","=""0.000000180712""","=""L22715c200"""
"=""1s.6g""","=""1G""","=""4""","=""[""","=""24.2094923832773""","=""]""","=""0.0000000000006""","=""0.000000121823""","=""L22715c200"""
"=""1s.6h""","=""3H*""","=""5""","=""[""","=""24.2095005571382""","=""]""","=""0.0000000000004""","=""0.0000081738609""","=""L22715c200"""
"=""1s.6h""","=""3H*""","=""6""","=""[""","=""24.20950068659936""","=""]""","=""0.00000000000025""","=""0.0000001294612""","=""L22715c200"""
