Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Reference
"=""5d10.6s2""","=""1S""","=""0""","=""""","=""0.0000000""","=""""","=""0.0000007""","=""""","=""""","=""L9019"""
"=""5d10.6s.6p""","=""3P*""","=""0""","=""""","=""4.6673829""","=""""","=""0.0000011""","=""4.667383""","=""""","="""""
"=""5d10.6s.6p""","=""3P*""","=""1""","=""""","=""4.8864946""","=""""","=""0.0000009""","=""0.219112""","=""1.486094""","="""""
"=""5d10.6s.6p""","=""3P*""","=""2""","=""""","=""5.4606248""","=""""","=""0.0000009""","=""0.574130""","=""1.50100""","="""""
"=""5d10.6s.6p""","=""1P*""","=""1""","=""""","=""6.7036623""","=""""","=""0.0000006""","=""1.243038""","=""1.01453""","="""""
"=""5d10.6s.7s""","=""3S""","=""1""","=""""","=""7.7304551""","=""""","=""0.0000009""","=""1.026793""","=""2.00285""","="""""
"=""5d10.6s.7s""","=""1S""","=""0""","=""""","=""7.9260767""","=""""","=""0.0000010""","=""0.195622""","=""""","="""""
"=""5d9.6s2.(2D<5/2>).6p""","=""2[3/2]*""","=""2""","=""""","=""8.540829""","=""""","=""0.000006""","=""0.614752""","=""""","="""""
"=""5d9.6s2.(2D<5/2>).6p""","=""2[3/2]*""","=""1""","=""""","=""9.771569""","=""""","=""0.000020""","=""1.23074""","=""1.2103""","="""""
"=""5d10.6s.7p""","=""3P*""","=""0""","=""""","=""8.6189570""","=""""","=""0.0000016""","=""-1.15261""","=""""","="""""
"=""5d10.6s.7p""","=""3P*""","=""1""","=""""","=""8.6369628""","=""""","=""0.0000025""","=""0.018006""","=""""","="""""
"=""5d10.6s.7p""","=""3P*""","=""2""","=""""","=""8.8285795""","=""""","=""0.0000014""","=""0.191617""","=""""","="""""
"=""5d9.6s2.(2D<5/2>).6p""","=""2[7/2]*""","=""3""","=""""","=""8.794472""","=""""","=""0.000025""","=""-0.03411""","=""1.0867""","="""""
"=""5d9.6s2.(2D<5/2>).6p""","=""2[7/2]*""","=""4""","=""""","=""9.539998""","=""""","=""0.000007""","=""0.74553""","=""""","="""""
"=""5d10.6s.7p""","=""1P*""","=""1""","=""""","=""8.839436""","=""""","=""0.000006""","=""-0.700562""","=""""","="""""
"=""5d10.6s.6d""","=""1D""","=""2""","=""""","=""8.8441714""","=""""","=""0.0000007""","=""0.004735""","=""1.05803""","="""""
"=""5d10.6s.6d""","=""3D""","=""1""","=""""","=""8.8445374""","=""""","=""0.0000011""","=""0.000366""","=""0.49864""","="""""
"=""5d10.6s.6d""","=""3D""","=""2""","=""""","=""8.8519849""","=""""","=""0.0000007""","=""0.007447""","=""1.10908""","="""""
"=""5d10.6s.6d""","=""3D""","=""3""","=""""","=""8.8563376""","=""""","=""0.0000012""","=""0.004353""","=""1.33430""","="""""
"=""5d10.6s.8s""","=""3S""","=""1""","=""""","=""9.1700120""","=""""","=""0.0000011""","=""0.313674""","=""2.00375""","="""""
