Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Leading percentages,Reference
"=""4f11.6s2""","=""4I*""","=""15/2""","=""""","=""0.000000""","=""""","=""0""","=""""","=""1.19514""","=""  97             :     3                   2K*                  ""","=""L3974"""
"=""4f11.6s2""","=""4I*""","=""13/2""","=""""","=""0.671957""","=""""","=""""","=""0.671957""","=""""","=""  99             :     1                   2K*                  ""","=""L3974"""
"=""4f11.6s2""","=""4I*""","=""11/2""","=""""","=""1.066904""","=""""","=""""","=""0.39495""","=""1.012""","=""  86             :    12                   2H2*                 ""","=""L3974"""
"=""4f11.6s2""","=""4I*""","=""9/2""","=""""","=""1.326104""","=""""","=""""","=""0.25920""","=""0.866""","=""  61             :    16                   2H2*                 ""","=""L3974"""
"=""4f10.(5I<8>).5d<3/2>.6s2""","=""(8,3/2)""","=""17/2""","=""""","=""1.038852""","=""""","=""""","=""-0.28725""","=""""","=""             or  :    73                   (5I) 6I              ""","=""L3974"""
"=""4f10.(5I<8>).5d<3/2>.6s2""","=""(8,3/2)""","=""15/2""","=""""","=""1.044828""","=""""","=""""","=""0.00598""","=""""","=""             or  :    53                   (5I) 6H              ""","=""L3974"""
"=""4f10.(5I<8>).5d<3/2>.6s2""","=""(8,3/2)""","=""13/2""","=""""","=""1.134093""","=""""","=""""","=""0.08926""","=""""","=""             or  :    67                   (5I) 6G              ""","=""L3974"""
"=""4f10.(5I<8>).5d<3/2>.6s2""","=""(8,3/2)""","=""19/2""","=""""","=""1.207792""","=""""","=""""","=""0.07370""","=""""","=""             or  :    66                   (5I) 6K              ""","=""L3974"""
"=""4f10.(5I<8>).5d<5/2>.6s2""","=""(8,5/2)""","=""21/2""","=""""","=""1.403788""","=""""","=""""","=""0.19600""","=""""","=""             or  :    93                   (5I) 6L              ""","=""L3974"""
"=""4f10.(5I<8>).5d<5/2>.6s2""","=""(8,5/2)""","=""17/2""","=""""","=""1.429607""","=""""","=""""","=""0.02582""","=""""","=""             or  :    52                   (5I) 4K              ""","=""L3974"""
"=""4f10.(5I<8>).5d<5/2>.6s2""","=""(8,5/2)""","=""19/2""","=""""","=""1.449347""","=""""","=""""","=""0.01974""","=""""","=""             or  :    56                   (5I) 4L              ""","=""L3974"""
"=""4f10.(5I<8>).5d<5/2>.6s2""","=""(8,5/2)""","=""15/2""","=""""","=""1.529846""","=""""","=""""","=""0.08050""","=""""","=""             or  :    35                   (5I) 6H              ""","=""L3974"""
