Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""5s2.5p""","=""2P*""","=""1/2""","=""""","=""0.0000000""","=""""","=""0""","=""""","=""L4218"""
"=""5s2.5p""","=""2P*""","=""3/2""","=""""","=""0.2743273""","=""""","=""0.0000010""","=""0.2743273""","=""L15947"""
"=""5s2.6s""","=""2S""","=""1/2""","=""""","=""3.0218615""","=""""","=""0.0000007""","=""2.747534""","=""L15947"""
"=""5s2.6p""","=""2P*""","=""1/2""","=""""","=""3.9448030""","=""""","=""0.0000006""","=""0.9229415""","=""L10358"""
"=""5s2.6p""","=""2P*""","=""3/2""","=""""","=""3.9817837""","=""""","=""0.0000006""","=""0.0369807""","=""L10358"""
"=""5s2.5d""","=""2D""","=""3/2""","=""""","=""4.0781168""","=""""","=""0.0000006""","=""0.0963331""","=""L10358"""
"=""5s2.5d""","=""2D""","=""5/2""","=""""","=""4.0810067""","=""""","=""0.0000006""","=""0.0028899""","=""L10358"""
"=""5s.5p2""","=""4P""","=""1/2""","=""""","=""4.33667937""","=""""","=""0.00000025""","=""0.2556727""","=""L9805"""
"=""5s.5p2""","=""4P""","=""3/2""","=""""","=""4.46600754""","=""""","=""0.00000025""","=""0.1293282""","=""L9805"""
"=""5s.5p2""","=""4P""","=""5/2""","=""""","=""4.64345149""","=""""","=""0.00000025""","=""0.1774440""","=""L9805"""
"=""5s2.7s""","=""2S""","=""1/2""","=""""","=""4.5008575""","=""""","=""0.0000006""","=""-0.1425940""","=""L10358"""
"=""5s2.7p""","=""2P*""","=""1/2""","=""""","=""4.818203""","=""""","=""0.000004""","=""0.317345""","=""L4218"""
"=""5s2.7p""","=""2P*""","=""3/2""","=""""","=""4.832024""","=""""","=""0.000004""","=""0.013821""","=""L4218"""
"=""5s2.6d""","=""2D""","=""3/2""","=""""","=""4.841401""","=""""","=""0.000004""","=""0.009377""","=""L4218"""
"=""5s2.6d""","=""2D""","=""5/2""","=""""","=""4.847581""","=""""","=""0.000004""","=""0.006180""","=""L4218"""
"=""5s2.4f""","=""2F*""","=""7/2""","=""""","=""4.923114""","=""""","=""0.000004""","=""0.075533""","=""L4218"""
"=""5s2.4f""","=""2F*""","=""5/2""","=""""","=""4.923114""","=""""","=""0.000004""","=""0.000000""","=""L4218"""
"=""5s2.8s""","=""2S""","=""1/2""","=""""","=""5.038343""","=""""","=""0.000004""","=""0.115229""","=""L10358"""
"=""5s2.8p""","=""2P*""","=""1/2""","=""""","=""5.18590""","=""""","=""0.00003""","=""0.14756""","=""L3466"""
"=""5s2.8p""","=""2P*""","=""3/2""","=""""","=""5.19264""","=""""","=""0.00003""","=""0.00674""","=""L3466"""
"=""5s2.7d""","=""2D""","=""3/2""","=""""","=""5.187054""","=""""","=""0.000010""","=""-0.00559""","=""L4218"""
"=""5s2.7d""","=""2D""","=""5/2""","=""""","=""5.190222""","=""""","=""0.000010""","=""0.00317""","=""L4218"""
"=""5s2.5f""","=""2F*""","=""5/2,7/2""","=""""","=""5.234644""","=""""","=""0.000005""","=""0.04442""","=""L4218"""
"=""5s2.9s""","=""2S""","=""1/2""","=""""","=""5.296483""","=""""","=""0.000012""","=""0.06184""","=""L4218"""
"=""5s2.8d""","=""2D""","=""3/2""","=""""","=""5.372971""","=""""","=""0.000005""","=""0.07649""","=""L4218"""
