Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""2p6.3s2""","=""1S""","=""0""","=""""","=""0.0000000""","=""""","=""0""","=""""","=""  93         :     7  3p2   1S   ""","=""L4995"""
"=""3s.3p""","=""3P*""","=""0""","=""""","=""2.7091049""","=""""","=""""","=""2.7091049""","=""  98         :     1  3p.3d 3P*  ""","="""""
"=""3s.3p""","=""3P*""","=""1""","=""""","=""2.7115919""","=""""","=""""","=""0.002487""","=""  98         :     1  3p.3d 3P*  ""","="""""
"=""3s.3p""","=""3P*""","=""2""","=""""","=""2.7166398""","=""""","=""""","=""0.005048""","=""  98         :     1  3p.3d 3P*  ""","="""""
"=""3s.3p""","=""1P*""","=""1""","=""""","=""4.3458029""","=""""","=""""","=""1.629163""","=""  94         :     6  3p.3d 1P*  ""","="""""
"=""3s.4s""","=""3S""","=""1""","=""""","=""5.1078270""","=""""","=""""","=""0.762024""","=""  98         :     2  3d2   3S   ""","="""""
"=""3s.4s""","=""1S""","=""0""","=""""","=""5.3937259""","=""""","=""""","=""0.285899""","=""  96         :     2  3d2   1S   ""","="""""
"=""3s.3d""","=""1D""","=""2""","=""""","=""5.7532468""","=""""","=""""","=""0.359521""","=""  77         :    22  3p2   1D   ""","="""""
"=""3s.4p""","=""3P*""","=""0""","=""""","=""5.9315428""","=""""","=""""","=""0.178296""","=""  99         :     1  3p.3d 3P*  ""","="""""
"=""3s.4p""","=""3P*""","=""1""","=""""","=""5.9319513""","=""""","=""""","=""0.000408""","=""  99         :     1  3p.3d 3P*  ""","="""""
"=""3s.4p""","=""3P*""","=""2""","=""""","=""5.9327880""","=""""","=""""","=""0.000837""","=""  99         :     1  3p.3d 3P*  ""","="""""
"=""3s.3d""","=""3D""","=""2""","=""""","=""5.9459136""","=""""","=""""","=""0.013126""","=""  98         :     1  3p.4f 3D   ""","="""""
"=""3s.3d""","=""3D""","=""3""","=""""","=""5.9459158""","=""""","=""""","=""0.000002""","=""  98         :     1  3p.4f 3D   ""","="""""
"=""3s.3d""","=""3D""","=""1""","=""""","=""5.9459174""","=""""","=""""","=""0.000002""","=""  98         :     1  3p.4f 3D   ""","="""""
"=""3s.4p""","=""1P*""","=""1""","=""""","=""6.1182146""","=""""","=""""","=""0.172297""","=""  97         :     2  3p.3d 1P*  ""","="""""
"=""3s.5s""","=""3S""","=""1""","=""""","=""6.4313736""","=""""","=""""","=""0.313159""","="" 100                             ""","="""""
"=""3s.5s""","=""1S""","=""0""","=""""","=""6.5161391""","=""""","=""""","=""0.084766""","=""  99         :     1  3d2   1S   ""","="""""
"=""3s.4d""","=""1D""","=""2""","=""""","=""6.5878560""","=""""","=""""","=""0.071717""","=""  87         :    13  3p2   1D   ""","="""""
"=""3s.4d""","=""3D""","=""3""","=""""","=""6.7189834""","=""""","=""""","=""0.131127""","="" 100                             ""","="""""
"=""3s.4d""","=""3D""","=""2""","=""""","=""6.7189881""","=""""","=""""","=""0.000005""","="" 100                             ""","="""""
"=""3s.4d""","=""3D""","=""1""","=""""","=""6.7189932""","=""""","=""""","=""0.000005""","="" 100                             ""","="""""
"=""3s.5p""","=""3P*""","=""0""","=""""","=""6.7259951""","=""""","=""""","=""0.007002""","="" 100                             ""","="""""
"=""3s.5p""","=""3P*""","=""1""","=""""","=""6.7261534""","=""""","=""""","=""0.000158""","="" 100                             ""","="""""
"=""3s.5p""","=""3P*""","=""2""","=""""","=""6.7264807""","=""""","=""""","=""0.000327""","="" 100                             ""","="""""
"=""3s.4f""","=""1F*""","=""3""","=""""","=""6.7790143""","=""""","=""""","=""0.052534""","=""                                 ""","="""""
"=""3s.4f""","=""3F*""","=""2""","=""""","=""6.7790411""","=""""","=""""","=""0.000027""","=""                                 ""","="""""
"=""3s.4f""","=""3F*""","=""3""","=""""","=""6.7790469""","=""""","=""""","=""0.000006""","=""                                 ""","="""""
"=""3s.4f""","=""3F*""","=""4""","=""""","=""6.7790536""","=""""","=""""","=""0.000007""","=""                                 ""","="""""
"=""3s.5p""","=""1P*""","=""1""","=""""","=""6.7827460""","=""""","=""""","=""0.003692""","=""  99         :     1  3p.3d 1P*  ""","="""""
"=""3s.6s""","=""3S""","=""1""","=""""","=""6.929700""","=""""","=""""","=""0.146954""","="" 100                             ""","="""""
"=""3s.6s""","=""1S""","=""0""","=""""","=""6.9662844""","=""""","=""""","=""0.036584""","=""  99                             ""","="""""
"=""3s.5d""","=""1D""","=""2""","=""""","=""6.9813495""","=""""","=""""","=""0.015065""","=""  93         :     7  3p2   1D   ""","="""""
"=""3s.5d""","=""3D""","=""3""","=""""","=""7.0631588""","=""""","=""""","=""0.081809""","="" 100                             ""","="""""
"=""3s.5d""","=""3D""","=""2""","=""""","=""7.0631626""","=""""","=""""","=""0.000004""","="" 100                             ""","="""""
"=""3s.5d""","=""3D""","=""1""","=""""","=""7.0631654""","=""""","=""""","=""0.000003""","="" 100                             ""","="""""
"=""3s.6p""","=""3P*""","=""0""","=""""","=""7.0692167""","=""""","=""""","=""0.006051""","="" 100                             ""","="""""
"=""3s.6p""","=""3P*""","=""1""","=""""","=""7.0692968""","=""""","=""""","=""0.000080""","="" 100                             ""","="""""
"=""3s.6p""","=""3P*""","=""2""","=""""","=""7.0694581""","=""""","=""""","=""0.000161""","="" 100                             ""","="""""
"=""3s.5f""","=""1F*""","=""3""","=""""","=""7.0924123""","=""""","=""""","=""0.022954""","=""                                 ""","="""""
"=""3s.5f""","=""3F*""","=""2""","=""""","=""7.0924204""","=""""","=""""","=""0.000008""","=""                                 ""","="""""
"=""3s.5f""","=""3F*""","=""3""","=""""","=""7.0924252""","=""""","=""""","=""0.000005""","=""                                 ""","="""""
"=""3s.5f""","=""3F*""","=""4""","=""""","=""7.0924299""","=""""","=""""","=""0.000005""","=""                                 ""","="""""
"=""3s.6p""","=""1P*""","=""1""","=""""","=""7.0937549""","=""""","=""""","=""0.001325""","=""  99                             ""","="""""
"=""3s.5g""","=""1G""","=""4""","=""""","=""7.0996774""","=""""","=""""","=""0.005922""","=""                                 ""","="""""
"=""3s.5g""","=""3G""","=""3""","=""""","=""7.0996774""","=""""","=""""","=""0.000000""","=""                                 ""","="""""
"=""3s.5g""","=""3G""","=""4""","=""""","=""7.0996774""","=""""","=""""","=""0.000000""","=""                                 ""","="""""
"=""3p2""","=""3P""","=""0""","=""""","=""7.167870""","=""""","=""""","=""0.068193""","=""                                 ""","="""""
"=""3p2""","=""3P""","=""1""","=""""","=""7.170428""","=""""","=""""","=""0.00256""","=""                                 ""","="""""
"=""3p2""","=""3P""","=""2""","=""""","=""7.175454""","=""""","=""""","=""0.00503""","=""                                 ""","="""""
