Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Leading percentages,Reference
"=""4f4.6s2""","=""5I""","=""4""","=""""","=""0.0000000""","=""""","=""0""","=""""","=""0.60329""","=""  98             :     1                         3H4                  ""","=""L3974"""
"=""4f4.6s2""","=""5I""","=""5""","=""""","=""0.1398611""","=""""","=""""","=""0.1398611""","=""0.90047""","=""  99             :     1                         3H4                  ""","="""""
"=""4f4.6s2""","=""5I""","=""6""","=""""","=""0.2934206""","=""""","=""""","=""0.153559""","=""1.06991""","=""  99                                                                  ""","="""""
"=""4f4.6s2""","=""5I""","=""7""","=""""","=""0.4564721""","=""""","=""""","=""0.163052""","=""1.17538""","=""  98             :     1                         3K2                  ""","="""""
"=""4f4.6s2""","=""5I""","=""8""","=""""","=""0.6259469""","=""""","=""""","=""0.169475""","=""1.24527""","=""  96             :     3                         3K2                  ""","="""""
"=""4f3.(4I*).5d.6s2""","=""5L*""","=""10""","=""""","=""""","=""""","=""""","=""""","=""""","=""  99             :     1                         (2K*) 3M*            ""","="""""
"=""4f3.(4I*).5d.6s2""","=""5L*""","=""6""","=""""","=""0.8386553""","=""""","=""""","=""""","=""0.715""","=""  92             :     4                         (2H*) 3K*            ""","="""""
"=""4f3.(4I*).5d.6s2""","=""5L*""","=""7""","=""""","=""1.0417756""","=""""","=""""","=""0.203120""","=""0.905""","=""  95             :     2                         (2H*) 3K*            ""","="""""
"=""4f3.(4I*).5d.6s2""","=""5L*""","=""8""","=""""","=""1.2597553""","=""""","=""""","=""0.217980""","=""1.035""","=""  97             :     2                         (4I*) 5K*            ""","="""""
"=""4f3.(4I*).5d.6s2""","=""5L*""","=""9""","=""""","=""1.5079134""","=""""","=""""","=""0.248158""","=""1.113""","=""  98             :     1                         (4I*) 5K*            ""","="""""
"=""4f3.(4I*).5d.6s2""","=""5K*""","=""9""","=""""","=""""","=""""","=""""","=""""","=""""","=""  93             :     3                         (4I*) 3L*            ""","="""""
"=""4f3.(4I*).5d.6s2""","=""5K*""","=""5""","=""""","=""0.8497870""","=""""","=""""","=""""","=""0.675""","=""  87             :     8                         (4I*) 3I*            ""","="""""
"=""4f3.(4I*).5d.6s2""","=""5K*""","=""6""","=""""","=""1.0429427""","=""""","=""""","=""0.193156""","=""0.905""","=""  94             :     2                         (4I*) 3I*            ""","="""""
"=""4f3.(4I*).5d.6s2""","=""5K*""","=""7""","=""""","=""1.2420477""","=""""","=""""","=""0.199105""","=""1.045""","=""  94             :     1                         (4I*) 3K*            ""","="""""
"=""4f3.(4I*).5d.6s2""","=""5K*""","=""8""","=""""","=""1.4511904""","=""""","=""""","=""0.209143""","=""1.160""","=""  94             :     2                         (4I*) 3L*            ""","="""""
"=""4f4.(5I).5d.6s.(3D)""","=""7L""","=""5""","=""""","=""1.0508101""","=""""","=""""","=""-0.400380""","=""0.505""","=""  99             :     1                         (5I)(3D) 5K          ""","="""""
"=""4f4.(5I).5d.6s.(3D)""","=""7L""","=""6""","=""""","=""1.1301274""","=""""","=""""","=""0.079317""","=""0.785""","=""  94             :     3                         (5I)(3D) 5L          ""","="""""
"=""4f4.(5I).5d.6s.(3D)""","=""7L""","=""7""","=""""","=""1.2323662""","=""""","=""""","=""0.102239""","=""0.965""","=""  93             :     4                         (5I)(3D) 5L          ""","="""""
"=""4f4.(5I).5d.6s.(3D)""","=""7L""","=""8""","=""""","=""1.3511795""","=""""","=""""","=""0.118813""","=""1.085""","=""  93             :     4                         (5I)(3D) 5L          ""","="""""
"=""4f4.(5I).5d.6s.(3D)""","=""7L""","=""9""","=""""","=""1.4828214""","=""""","=""""","=""0.131642""","=""1.170""","=""  95             :     3                         (5I)(3D) 5L          ""","="""""
