Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Leading percentages,Reference
"=""5d9.6s""","=""3D""","=""3""","=""""","=""0.00000000""","=""""","=""0.00000000""","=""""","=""1.333924""","="" 100                    ""","=""L10982"""
"=""5d9.6s""","=""3D""","=""2""","=""""","=""0.81426023""","=""""","=""0.00000017""","=""0.81426023""","=""1.11691""","=""  42                    ""","=""L10982"""
"=""5d9.6s""","=""3D""","=""1""","=""""","=""1.25619158""","=""""","=""0.00000024""","=""0.4419314""","=""""","="" 100                    ""","=""L10982"""
"=""5d9.6s""","=""a 1D""","=""2""","=""""","=""0.09619638""","=""""","=""0.00000011""","=""-1.1599952""","=""1.066574""","=""  42                    ""","=""L10982"""
"=""5d8.6s2""","=""3F""","=""4""","=""""","=""0.10212092""","=""""","=""0.00000010""","=""0.0059245""","=""1.23948""","=""  96                    ""","=""L10982"""
"=""5d8.6s2""","=""3F""","=""3""","=""""","=""1.25431290""","=""""","=""0.00000017""","=""1.1521920""","=""""","="" 100                    ""","=""L10982"""
"=""5d8.6s2""","=""3F""","=""2""","=""""","=""1.92198251""","=""""","=""0.00000024""","=""0.6676696""","=""0.92""","=""  60                    ""","=""L10982"""
"=""5d10""","=""1S""","=""0""","=""""","=""0.7612841""","=""""","=""0.0000007""","=""-1.1606984""","=""""","=""  90                    ""","=""L10982"""
"=""5d9.6s""","=""b 1D""","=""2""","=""""","=""1.6733229""","=""""","=""0.0000003""","=""0.9120388""","=""1.17""","=""  44                    ""","=""L10982"""
"=""5d8.6s2""","=""3P""","=""0""","=""""","=""2.1056776""","=""""","=""0.0000021""","=""0.432355""","=""""","=""  83                    ""","=""L10982"""
"=""5d8.6s2""","=""3P""","=""1""","=""""","=""2.3019582""","=""""","=""0.0000003""","=""0.196281""","=""""","="" 100                    ""","=""L10982"""
"=""5d8.6s2""","=""1G""","=""4""","=""""","=""2.7235734""","=""""","=""0.0000004""","=""0.4216152""","=""""","=""  96                    ""","=""L10982"""
"=""5d8.6s2""","=""1D""","=""2""","=""""","=""3.3027625""","=""""","=""0.0000005""","=""0.5791891""","=""0.97""","=""  54                    ""","=""L10982"""
"=""5d8.6s.(4F).6p""","=""5D*""","=""4""","=""""","=""3.7389724""","=""""","=""0.0000005""","=""0.4362099""","=""1.46""","=""  74                    ""","=""L10982"""
"=""5d8.6s.(4F).6p""","=""5D*""","=""2""","=""""","=""5.0233722""","=""""","=""0.0000004""","=""1.2843998""","=""1.38""","=""  18                    ""","=""L10982"""
"=""5d8.6s.(4F).6p""","=""5D*""","=""1""","=""""","=""5.3546084""","=""""","=""0.0000007""","=""0.3312362""","=""1.39""","=""  25                    ""","=""L10982"""
"=""5d9.6p""","=""a 3P*""","=""2""","=""""","=""4.04436514""","=""""","=""0.00000020""","=""-1.3102433""","=""1.39""","=""  55                    ""","=""L10982"""
"=""5d8.6s.(4F).6p""","=""a 5F*""","=""5""","=""""","=""4.1758362""","=""""","=""0.0000006""","=""0.1314711""","=""1.32""","=""  43                    ""","=""L10982"""
"=""5d9.6p""","=""3F*""","=""3""","=""""","=""4.2306068""","=""""","=""0.0000004""","=""0.0547706""","=""1.21""","=""  30                    ""","=""L10982"""
"=""5d9.6p""","=""3F*""","=""4""","=""""","=""4.66063603""","=""""","=""0.00000019""","=""0.4300292""","=""1.25""","=""  68                    ""","=""L10982"""
"=""5d9.6p""","=""3F*""","=""2""","=""""","=""5.72439702""","=""""","=""0.00000012""","=""1.0637610""","=""1.01""","=""  36                    ""","=""L10982"""
"=""5d8.6s.(4F).6p""","=""a 5D*""","=""3""","=""""","=""4.37932485""","=""""","=""0.00000016""","=""-1.3450722""","=""1.33""","=""  42                    ""","=""L10982"""
"=""5d8.6s.(4F).6p""","=""a 5G*""","=""4""","=""""","=""4.5001669""","=""""","=""0.0000005""","=""0.1208421""","=""""","=""  35                    ""","=""L10982"""
