Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""7s2""","=""1S""","=""0""","=""""","=""0.00000000""","=""""","=""0""","=""""","=""                                   ""","=""L19486"""
"=""7s.7p""","=""3P*""","=""0""","=""""","=""1.621515""","=""""","=""0.000005""","=""1.621515""","=""                                   ""","=""L19486"""
"=""7s.7p""","=""3P*""","=""1""","=""""","=""1.73569904""","=""""","=""0.00000012""","=""0.114184""","=""                                   ""","=""L19486"""
"=""7s.7p""","=""3P*""","=""2""","=""""","=""2.069115""","=""""","=""0.000005""","=""0.333416""","=""                                   ""","=""L19486"""
"=""7s.6d""","=""3D""","=""1""","=""""","=""1.7005399""","=""""","=""0.0000025""","=""-0.368575""","=""                                   ""","=""L19486"""
"=""7s.6d""","=""3D""","=""2""","=""""","=""1.735027""","=""""","=""0.000005""","=""0.034487""","=""                                   ""","=""L19486"""
"=""7s.6d""","=""3D""","=""3""","=""""","=""1.823472""","=""""","=""0.000006""","=""0.088445""","=""                                   ""","=""L19486"""
"=""7s.6d""","=""1D""","=""2""","=""""","=""2.117813""","=""""","=""0.000007""","=""0.294341""","=""                                   ""","=""L19486"""
"=""7s.7p""","=""1P*""","=""1""","=""""","=""2.56840882""","=""""","=""0.00000006""","=""0.450596""","=""                                   ""","=""L19486"""
"=""7s.8s""","=""3S""","=""1""","=""""","=""3.317076""","=""""","=""0.000004""","=""0.748667""","=""                                   ""","=""L19486"""
"=""6d.7p""","=""3F*""","=""2""","=""""","=""3.476269""","=""""","=""0.000005""","=""0.159193""","=""                                   ""","=""L19486"""
"=""6d.7p""","=""3F*""","=""3""","=""""","=""3.734121""","=""""","=""0.000007""","=""0.257852""","=""                                   ""","=""L19486"""
"=""6d.7p""","=""3F*""","=""4""","=""""","=""4.013083""","=""""","=""0.000010""","=""0.27896""","=""                                   ""","=""L19486"""
"=""6d.7p""","=""1D*""","=""2""","=""""","=""3.833345""","=""""","=""0.000009""","=""-0.17974""","=""                                   ""","=""L19486"""
"=""7s.8p""","=""3P*""","=""0""","=""""","=""3.854148""","=""""","=""0.000019""","=""0.02080""","=""                                   ""","=""L19486"""
"=""7s.8p""","=""3P*""","=""1""","=""""","=""3.913363""","=""""","=""0.000016""","=""0.05922""","=""                                   ""","=""L19486"""
"=""7s.8p""","=""3P*""","=""2""","=""""","=""3.951903""","=""""","=""0.000014""","=""0.03854""","=""                                   ""","=""L19486"""
"=""7p2?""","=""3P""","=""1""","=""""","=""3.874334""","=""""","=""0.000009""","=""-0.07757""","=""      6d2                          ""","=""L19486"""
"=""7p2?""","=""3P""","=""2""","=""""","=""4.084188""","=""""","=""0.000004""","=""0.209854""","=""      6d2                          ""","=""L19486"""
"=""7s.7d""","=""3D""","=""2""","=""""","=""3.966676""","=""""","=""0.000007""","=""-0.117512""","=""                                   ""","=""L19486"""
"=""7s.7d""","=""3D""","=""1""","=""""","=""3.967591""","=""""","=""0.000006""","=""0.000915""","=""                                   ""","=""L19486"""
"=""7s.7d""","=""3D""","=""3""","=""""","=""3.991953""","=""""","=""0.000009""","=""0.02436""","=""                                   ""","=""L19486"""
"=""7p2?""","=""1D""","=""2""","=""""","=""3.994121""","=""""","=""0.000007""","=""0.00217""","=""      7s.7d(6d2?)                  ""","=""L19486"""
"=""6d.7p""","=""3D*""","=""1""","=""""","=""3.995997""","=""""","=""0.000007""","=""0.001876""","=""                                   ""","=""L19486"""
"=""6d.7p""","=""3D*""","=""2""","=""""","=""4.030295""","=""""","=""0.000006""","=""0.034298""","=""                                   ""","=""L19486"""
"=""6d.7p""","=""3D*""","=""3""","=""""","=""4.115952""","=""""","=""0.000009""","=""0.08566""","=""                                   ""","=""L19486"""
"=""7s.8p""","=""1P*""","=""1""","=""""","=""4.073815""","=""""","=""0.000010""","=""-0.04214""","=""                                   ""","=""L19486"""
"=""6d.7p""","=""3P*""","=""0""","=""""","=""4.188474""","=""""","=""0.000025""","=""0.11466""","=""                                   ""","=""L19486"""
"=""6d.7p""","=""3P*""","=""1""","=""""","=""4.193596""","=""""","=""0.000017""","=""0.00512""","=""                                   ""","=""L19486"""
"=""6d.7p""","=""3P*""","=""2""","=""""","=""4.262928""","=""""","=""0.000010""","=""0.06933""","=""                                   ""","=""L19486"""
"=""7s.9s""","=""3S""","=""1""","=""""","=""4.274447""","=""""","=""0.000014""","=""0.01152""","=""                                   ""","=""L19486"""
"=""7s.5f""","=""3F*""","=""2""","=""""","=""4.371126""","=""""","=""0.000011""","=""0.09668""","=""                                   ""","=""L19486"""
"=""7s.5f""","=""3F*""","=""3""","=""""","=""4.372660""","=""""","=""0.000011""","=""0.00153""","=""                                   ""","=""L19486"""
"=""7s.5f""","=""3F*""","=""4""","=""""","=""4.375938""","=""""","=""0.000012""","=""0.00328""","=""                                   ""","=""L19486"""
"=""7s.6f""","=""3F*""","=""3""","=""""","=""4.70175""","=""""","=""0.00004""","=""0.32581""","=""                                   ""","=""L19486"""
"=""7s.6f""","=""3F*""","=""4""","=""""","=""4.70267""","=""""","=""0.00003""","=""0.00092""","=""                                   ""","=""L19486"""
"=""7s.7f""","=""3F*""","=""3""","=""""","=""4.88013""","=""""","=""0.00004""","=""0.17746""","=""                                   ""","=""L19486"""
"=""7s.7f""","=""3F*""","=""4""","=""""","=""4.88087""","=""""","=""0.00004""","=""0.00074""","=""                                   ""","=""L19486"""
"=""7s.8f""","=""3F*""","=""2""","=""""","=""4.98657""","=""""","=""0.00005""","=""0.10570""","=""                                   ""","=""L19486"""
"=""7s.8f""","=""3F*""","=""3""","=""""","=""4.98658""","=""""","=""0.00004""","=""0.00001""","=""                                   ""","=""L19486"""
"=""7s.8f""","=""3F*""","=""4""","=""""","=""4.98807""","=""""","=""0.00004""","=""0.00149""","=""                                   ""","=""L19486"""
"=""7s.13p""","=""1P*""","=""1""","=""""","=""5.0876172""","=""""","=""0.0000021""","=""0.09955""","=""                                   ""","=""L19486"""
"=""7s.14p""","=""1P*""","=""1""","=""""","=""5.1253753""","=""""","=""0.0000021""","=""0.037758""","=""                                   ""","=""L19486"""
"=""7s.15p""","=""1P*""","=""1""","=""""","=""5.1530680""","=""""","=""0.0000021""","=""0.027693""","=""                                   ""","=""L19486"""
"=""7s.16p""","=""1P*""","=""1""","=""""","=""5.1739325""","=""""","=""0.0000021""","=""0.020865""","=""                                   ""","=""L19486"""
"=""7s.17p""","=""1P*""","=""1""","=""""","=""5.1900083""","=""""","=""0.0000022""","=""0.016076""","=""                                   ""","=""L19486"""
"=""7s.18p""","=""1P*""","=""1""","=""""","=""5.2026598""","=""""","=""0.0000022""","=""0.012652""","=""                                   ""","=""L19486"""
"=""7s.19p""","=""1P*""","=""1""","=""""","=""5.2127753""","=""""","=""0.0000022""","=""0.010115""","=""                                   ""","=""L19486"""
"=""7s.20p""","=""1P*""","=""1""","=""""","=""5.2210176""","=""""","=""0.0000022""","=""0.008242""","=""                                   ""","=""L19486"""
"=""7s.21p""","=""1P*""","=""1""","=""""","=""5.2277901""","=""""","=""0.0000022""","=""0.006773""","=""                                   ""","=""L19486"""
"=""7s.22p""","=""1P*""","=""1""","=""""","=""5.2334375""","=""""","=""0.0000022""","=""0.005647""","=""                                   ""","=""L19486"""
"=""7s.23p""","=""1P*""","=""1""","=""""","=""5.2381872""","=""""","=""0.0000022""","=""0.004750""","=""                                   ""","=""L19486"""
"=""7s.24p""","=""1P*""","=""1""","=""""","=""5.2422234""","=""""","=""0.0000022""","=""0.004036""","=""                                   ""","=""L19486"""
"=""7s.25p""","=""1P*""","=""1""","=""""","=""5.2456871""","=""""","=""0.0000022""","=""0.003464""","=""                                   ""","=""L19486"""
"=""7s.26p""","=""1P*""","=""1""","=""""","=""5.2486646""","=""""","=""0.0000022""","=""0.002978""","=""                                   ""","=""L19486"""
"=""7s.27p""","=""1P*""","=""1""","=""""","=""5.2512710""","=""""","=""0.0000022""","=""0.002606""","=""                                   ""","=""L19486"""
"=""7s.28p""","=""1P*""","=""1""","=""""","=""5.2535543""","=""""","=""0.0000022""","=""0.002283""","=""                                   ""","=""L19486"""
"=""7s.29p""","=""1P*""","=""1""","=""""","=""5.2555380""","=""""","=""0.0000022""","=""0.001984""","=""                                   ""","=""L19486"""
"=""7s.30p""","=""1P*""","=""1""","=""""","=""5.2573139""","=""""","=""0.0000022""","=""0.001776""","=""                                   ""","=""L19486"""
"=""7s.31p""","=""1P*""","=""1""","=""""","=""5.2588876""","=""""","=""0.0000022""","=""0.001574""","=""                                   ""","=""L19486"""
"=""7s.32p""","=""1P*""","=""1""","=""""","=""5.2602838""","=""""","=""0.0000022""","=""0.001396""","=""                                   ""","=""L19486"""
"=""7s.33p""","=""1P*""","=""1""","=""""","=""5.2615295""","=""""","=""0.0000022""","=""0.001246""","=""                                   ""","=""L19486"""
"=""7s.34p""","=""1P*""","=""1""","=""""","=""5.2626585""","=""""","=""0.0000022""","=""0.001129""","=""                                   ""","=""L19486"""
"=""7s.35p""","=""1P*""","=""1""","=""""","=""5.2636891""","=""""","=""0.0000022""","=""0.001031""","=""                                   ""","=""L19486"""
"=""7s.36p""","=""1P*""","=""1""","=""""","=""5.2646000""","=""""","=""0.0000022""","=""0.000911""","=""                                   ""","=""L19486"""
"=""7s.37p""","=""1P*""","=""1""","=""""","=""5.2654586""","=""""","=""0.0000022""","=""0.000859""","=""                                   ""","=""L19486"""
"=""7s.38p""","=""1P*""","=""1""","=""""","=""5.2662185""","=""""","=""0.0000022""","=""0.000760""","=""                                   ""","=""L19486"""
"=""7s.39p""","=""1P*""","=""1""","=""""","=""5.2669109""","=""""","=""0.0000022""","=""0.000692""","=""                                   ""","=""L19486"""
"=""7s.40p""","=""1P*""","=""1""","=""""","=""5.2675507""","=""""","=""0.0000022""","=""0.000640""","=""                                   ""","=""L19486"""
"=""7s.41p""","=""1P*""","=""1""","=""""","=""5.2681351""","=""""","=""0.0000022""","=""0.000584""","=""                                   ""","=""L19486"""
"=""7s.42p""","=""1P*""","=""1""","=""""","=""5.2686794""","=""""","=""0.0000022""","=""0.000544""","=""                                   ""","=""L19486"""
"=""7s.43p""","=""1P*""","=""1""","=""""","=""5.2691898""","=""""","=""0.0000022""","=""0.000510""","=""                                   ""","=""L19486"""
"=""7s.44p""","=""1P*""","=""1""","=""""","=""5.2696477""","=""""","=""0.0000022""","=""0.000458""","=""                                   ""","=""L19486"""
"=""7s.45p""","=""1P*""","=""1""","=""""","=""5.2700870""","=""""","=""0.0000022""","=""0.000439""","=""                                   ""","=""L19486"""
"=""7s.46p""","=""1P*""","=""1""","=""""","=""5.2704800""","=""""","=""0.0000022""","=""0.000393""","=""                                   ""","=""L19486"""
"=""7s.47p""","=""1P*""","=""1""","=""""","=""5.2708485""","=""""","=""0.0000022""","=""0.000368""","=""                                   ""","=""L19486"""
