Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Reference
"=""5d5.6s2""","=""a 6S""","=""5/2""","=""""","=""0.000000""","=""""","=""0""","=""""","=""1.950""","=""L3466"""
"=""5d5.6s2""","=""a 4P""","=""5/2""","=""""","=""1.436228""","=""""","=""""","=""1.436228""","=""1.278""","="""""
"=""5d5.6s2""","=""a 4P""","=""3/2""","=""""","=""1.714220""","=""""","=""""","=""0.27799""","=""1.485""","="""""
"=""5d5.6s2""","=""a 4P""","=""1/2""","=""""","=""1.880331""","=""""","=""""","=""0.16611""","=""2.368""","="""""
"=""5d6.(5D).6s""","=""a 6D""","=""9/2""","=""""","=""1.457375""","=""""","=""""","=""-0.42296""","=""1.545""","="""""
"=""5d6.(5D).6s""","=""a 6D""","=""7/2""","=""""","=""1.762666""","=""""","=""""","=""0.30529""","=""1.567""","="""""
"=""5d6.(5D).6s""","=""a 6D""","=""5/2""","=""""","=""1.955283""","=""""","=""""","=""0.19262""","=""1.309""","="""""
"=""5d6.(5D).6s""","=""a 6D""","=""3/2""","=""""","=""2.024353""","=""""","=""""","=""0.06907""","=""1.706""","="""""
"=""5d6.(5D).6s""","=""a 6D""","=""1/2""","=""""","=""2.137277""","=""""","=""""","=""0.11292""","=""2.521""","="""""
"=""5d5.6s2""","=""a 4G""","=""5/2""","=""""","=""1.812830""","=""""","=""""","=""-0.32445""","=""1.151""","="""""
"=""5d5.6s2""","=""a 4G""","=""7/2""","=""""","=""1.866978""","=""""","=""""","=""0.05415""","=""1.153""","="""""
"=""5d5.6s2""","=""a 4G""","=""11/2""","=""""","=""2.021829""","=""""","=""""","=""0.15485""","=""1.242""","="""""
"=""5d5.6s2""","=""a 4G""","=""9/2""","=""""","=""2.060528""","=""""","=""""","=""0.03870""","=""1.175""","="""""
"=""5d5.6s2""","=""a 4D""","=""7/2""","=""""","=""2.148748""","=""""","=""""","=""0.08822""","=""1.255""","="""""
"=""5d5.6s2""","=""a 4D""","=""5/2""","=""""","=""2.412471""","=""""","=""""","=""0.26372""","=""1.361""","="""""
"=""5d5.6s2""","=""a 4D""","=""1/2""","=""""","=""2.449669""","=""""","=""""","=""0.03720""","=""0.983""","="""""
"=""5d5.6s2""","=""a 4D""","=""3/2""","=""""","=""2.539411""","=""""","=""""","=""0.08974""","=""1.451""","="""""
"=""5d5.6s.(7S).6p""","=""z 8P*""","=""5/2""","=""""","=""2.34951""","=""""","=""""","=""-0.18990""","=""2.274""","="""""
