Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""6p6""","=""1S""","=""0""","=""""","=""0.00000""","=""""","=""0""","=""""","=""L3466"""
"=""6p5.(2P*<3/2>).7s""","=""2[3/2]*""","=""2""","=""""","=""6.772060""","=""""","=""""","=""6.772060""","=""L3466"""
"=""6p5.(2P*<3/2>).7s""","=""2[3/2]*""","=""1""","=""""","=""6.941755""","=""""","=""""","=""0.16969""","=""L3466"""
"=""6p5.(2P*<3/2>).7p""","=""2[1/2]""","=""1""","=""""","=""8.213330""","=""""","=""""","=""1.27157""","=""L3466"""
"=""6p5.(2P*<3/2>).7p""","=""2[1/2]""","=""0""","=""""","=""8.647151""","=""""","=""""","=""0.43382""","=""L3466"""
"=""6p5.(2P*<3/2>).7p""","=""2[5/2]""","=""2""","=""""","=""8.270680""","=""""","=""""","=""-0.37647""","=""L3466"""
"=""6p5.(2P*<3/2>).7p""","=""2[5/2]""","=""3""","=""""","=""8.435820""","=""""","=""""","=""0.16514""","=""L3466"""
"=""6p5.(2P*<3/2>).6d""","=""2[1/2]*""","=""0""","=""""","=""8.419335""","=""""","=""""","=""-0.01648""","=""L3466"""
"=""6p5.(2P*<3/2>).6d""","=""2[1/2]*""","=""1""","=""""","=""8.541438""","=""""","=""""","=""0.12210""","=""L3466"""
"=""6p5.(2P*<3/2>).7p""","=""2[3/2]""","=""1""","=""""","=""8.472101""","=""""","=""""","=""-0.06934""","=""L3466"""
"=""6p5.(2P*<3/2>).7p""","=""2[3/2]""","=""2""","=""""","=""8.528864""","=""""","=""""","=""0.05676""","=""L3466"""
"=""6p5.(2P*<3/2>).6d""","=""2[7/2]*""","=""4""","=""""","=""8.653849""","=""""","=""""","=""0.12498""","=""L3466"""
"=""6p5.(2P*<3/2>).6d""","=""2[7/2]*""","=""3""","=""""","=""8.733499""","=""""","=""""","=""0.07965""","=""L3466"""
"=""6p5.(2P*<3/2>).6d""","=""2[3/2]*""","=""1""","=""""","=""""","=""""","=""""","=""""","=""L3466"""
"=""6p5.(2P*<3/2>).6d""","=""2[3/2]*""","=""2""","=""""","=""8.706520""","=""""","=""""","=""""","=""L3466"""
"=""6p5.(2P*<3/2>).8p""","=""2[1/2]""","=""1""","=""""","=""9.551666""","=""""","=""""","=""0.84515""","=""L3466"""
"=""6p5.(2P*<3/2>).8p""","=""2[1/2]""","=""0""","=""""","=""9.691010""","=""""","=""""","=""0.13934""","=""L3466"""
"=""6p5.(2P*<3/2>).8p""","=""2[5/2]""","=""2""","=""""","=""9.566830""","=""""","=""""","=""-0.12418""","=""L3466"""
"=""6p5.(2P*<3/2>).8p""","=""2[5/2]""","=""3""","=""""","=""9.621735""","=""""","=""""","=""0.05490""","=""L3466"""
"=""6p5.(2P*<3/2>).7d""","=""2[1/2]*""","=""0""","=""""","=""9.620532""","=""""","=""""","=""-0.00120""","=""L3466"""
"=""6p5.(2P*<3/2>).7d""","=""2[1/2]*""","=""1""","=""""","=""9.647969""","=""""","=""""","=""0.02744""","=""L3466"""
"=""6p5.(2P*<3/2>).8p""","=""2[3/2]""","=""1""","=""""","=""9.630823""","=""""","=""""","=""-0.01715""","=""L3466"""
"=""6p5.(2P*<3/2>).8p""","=""2[3/2]""","=""2""","=""""","=""9.649420""","=""""","=""""","=""0.01860""","=""L3466"""
"=""6p5.(2P*<3/2>).7d""","=""2[7/2]*""","=""4""","=""""","=""9.681730""","=""""","=""""","=""0.03231""","=""L3466"""
"=""6p5.(2P*<3/2>).7d""","=""2[7/2]*""","=""3""","=""""","=""9.699367""","=""""","=""""","=""0.01764""","=""L3466"""
"=""6p5.(2P*<3/2>).7d""","=""2[3/2]*""","=""1""","=""""","=""""","=""""","=""""","=""""","=""L3466"""
"=""6p5.(2P*<3/2>).7d""","=""2[3/2]*""","=""2""","=""""","=""9.692254""","=""""","=""""","=""""","=""L3466"""
"=""6p5.(2P*<3/2>).7d""","=""2[5/2]*""","=""2""","=""""","=""9.729780""","=""""","=""""","=""0.03753""","=""L3466"""
"=""6p5.(2P*<3/2>).7d""","=""2[5/2]*""","=""3""","=""""","=""9.748664""","=""""","=""""","=""0.01888""","=""L3466"""
"=""6p5.(2P*<3/2>).9s""","=""2[3/2]*""","=""2""","=""""","=""9.872428""","=""""","=""""","=""0.12376""","=""L3466"""
"=""6p5.(2P*<3/2>).9s""","=""2[3/2]*""","=""1""","=""""","=""9.889336""","=""""","=""""","=""0.01691""","=""L3466"""
"=""6p5.(2P*<3/2>).5f""","=""2[3/2]""","=""1""","=""""","=""9.873981""","=""""","=""""","=""-0.01535""","=""L3466"""
"=""6p5.(2P*<3/2>).5f""","=""2[3/2]""","=""2""","=""""","=""9.874713""","=""""","=""""","=""0.00073""","=""L3466"""
"=""6p5.(2P*<3/2>).5f""","=""2[9/2]""","=""5""","=""""","=""""","=""""","=""""","=""""","=""L3466"""
"=""6p5.(2P*<3/2>).5f""","=""2[9/2]""","=""4""","=""""","=""9.88034""","=""""","=""""","=""""","=""L3466"""
