Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Leading percentages,Reference
"=""3s2.3p4""","=""3P""","=""2""","=""""","=""0.00000000""","=""""","=""0.00000000""","=""""","=""1.500541(24)""","=""  98                                                             ""","=""L7237,L23144"""
"=""3s2.3p4""","=""3P""","=""1""","=""""","=""0.04910475""","=""""","=""0.00000009""","=""0.04910475""","=""1.501029(42)""","=""  98                                                             ""","=""L23116,L5666,L23144"""
"=""3s2.3p4""","=""3P""","=""0""","=""""","=""0.07111681""","=""""","=""0.00000008""","=""0.0220121""","=""""","=""  98                                                             ""","=""L23116,L5666"""
"=""3s2.3p4""","=""1D""","=""2""","=""""","=""1.1454415""","=""""","=""0.0000003""","=""1.0743247""","=""""","=""  98                                                             ""","=""L23116,L5666"""
"=""3s2.3p4""","=""1S""","=""0""","=""""","=""2.7499638""","=""""","=""0.0000003""","=""1.6045223""","=""""","=""  98                                                             ""","=""L23116,L5666"""
"=""3s2.3p3.(4S*).4s""","=""5S*""","=""2""","=""""","=""6.5244955""","=""""","=""0.0000005""","=""3.7745317""","=""""","=""  99                                                             ""","=""L23116,L5666"""
"=""3s2.3p3.(4S*).4s""","=""3S*""","=""1""","=""""","=""6.8601418""","=""""","=""0.0000004""","=""0.3356463""","=""""","=""  99                                                             ""","=""L23116,L5666"""
"=""3s2.3p3.(4S*).4p""","=""5P""","=""1""","=""""","=""7.8663062""","=""""","=""0.0000005""","=""1.0061644""","=""""","=""  99                                                             ""","=""L23116,L5666"""
"=""3s2.3p3.(4S*).4p""","=""5P""","=""2""","=""""","=""7.8676797""","=""""","=""0.0000005""","=""0.0013735""","=""""","=""  99                                                             ""","=""L23116,L5666"""
"=""3s2.3p3.(4S*).4p""","=""5P""","=""3""","=""""","=""7.8699003""","=""""","=""0.0000005""","=""0.0022206""","=""""","=""  99                                                             ""","=""L23116,L5666"""
"=""3s2.3p3.(4S*).4p""","=""3P""","=""1""","=""""","=""8.04520228""","=""""","=""0.00000014""","=""0.1753020""","=""""","=""  97                                                             ""","=""L23116,L5666"""
"=""3s2.3p3.(4S*).4p""","=""3P""","=""0""","=""""","=""8.04550246""","=""""","=""0.00000014""","=""0.0003002""","=""""","=""  97                                                             ""","=""L23116,L5666"""
"=""3s2.3p3.(4S*).4p""","=""3P""","=""2""","=""""","=""8.04565097""","=""""","=""0.00000014""","=""0.0001485""","=""""","=""  97                                                             ""","=""L23116,L5666"""
"=""3s2.3p3.(2D*).4s""","=""3D*""","=""1""","=""""","=""8.4081522""","=""""","=""0.0000005""","=""0.3625012""","=""""","=""  95                                                             ""","=""L23116,L5666"""
"=""3s2.3p3.(2D*).4s""","=""3D*""","=""2""","=""""","=""8.4092488""","=""""","=""0.0000005""","=""0.0010966""","=""""","=""  89                             :     9  3s2.3p3.(4S*).3d  5D*  ""","=""L23116,L5666"""
"=""3s2.3p3.(2D*).4s""","=""3D*""","=""3""","=""""","=""8.4114409""","=""""","=""0.0000005""","=""0.0021921""","=""""","=""  75                             :    23  3s2.3p3.(4S*).3d  5D*  ""","=""L23116,L5666"""
"=""3s2.3p3.(4S*).3d""","=""5D*""","=""4""","=""""","=""8.4157523""","=""""","=""0.0000006""","=""0.0043114""","=""""","=""  98                                                             ""","=""L23116,L5666"""
"=""3s2.3p3.(4S*).3d""","=""5D*""","=""0""","=""""","=""8.4165589""","=""""","=""0.0000006""","=""0.0008066""","=""""","=""  98                                                             ""","=""L23116,L5666"""
"=""3s2.3p3.(4S*).3d""","=""5D*""","=""1""","=""""","=""8.4167303""","=""""","=""0.0000005""","=""0.0001714""","=""""","=""  95                                                             ""","=""L23116,L5666"""
"=""3s2.3p3.(4S*).3d""","=""5D*""","=""2""","=""""","=""8.4170122""","=""""","=""0.0000005""","=""0.0002819""","=""""","=""  89                             :     9  3s2.3p3.(2D*).4s  3D*  ""","=""L23116,L5666"""
"=""3s2.3p3.(4S*).3d""","=""5D*""","=""3""","=""""","=""8.4172870""","=""""","=""0.0000005""","=""0.0002748""","=""""","=""  75                             :    23  3s2.3p3.(2D*).4s  3D*  ""","=""L23116,L5666"""
"=""3s2.3p3.(2D*).4s""","=""1D*""","=""2""","=""""","=""8.5844021""","=""""","=""0.0000007""","=""0.1671151""","=""""","=""  99                                                             ""","=""L23116,L5666"""
"=""3s2.3p3.(4S*).3d""","=""3D*""","=""1""","=""""","=""8.6993029""","=""""","=""0.0000004""","=""0.1149008""","=""""","=""  95                                                             ""","=""L23116,L5666"""
"=""3s2.3p3.(4S*).3d""","=""3D*""","=""2""","=""""","=""8.6994942""","=""""","=""0.0000003""","=""0.0001913""","=""""","=""  95                                                             ""","=""L23116,L5666"""
"=""3s2.3p3.(4S*).3d""","=""3D*""","=""3""","=""""","=""8.7004589""","=""""","=""0.0000004""","=""0.0009647""","=""""","=""  95                                                             ""","=""L23116,L5666"""
"=""3s2.3p3.(4S*).5s""","=""5S*""","=""2""","=""""","=""8.7660257""","=""""","=""0.0000005""","=""0.0655668""","=""""","="" 100                                                             ""","=""L23116,L5666"""
"=""3s2.3p3.(4S*).5s""","=""3S*""","=""1""","=""""","=""8.84644161""","=""""","=""0.00000019""","=""0.0804159""","=""""","=""  99                                                             ""","=""L23116,L5666"""
"=""3s.3p5""","=""3P*""","=""2""","=""""","=""8.9297723""","=""""","=""0.0000006""","=""0.0833307""","=""""","=""  64                             :    17  3s2.3p3.(2D*).3d  3P*  ""","=""L23116,L5666"""
"=""3s.3p5""","=""3P*""","=""1""","=""""","=""8.9742621""","=""""","=""0.0000007""","=""0.0444898""","=""""","=""  64                             :    17  3s2.3p3.(2D*).3d  3P*  ""","=""L23116,L5666"""
"=""3s.3p5""","=""3P*""","=""0""","=""""","=""8.9977319""","=""""","=""0.0000017""","=""0.023470""","=""""","=""  64                             :    18  3s2.3p3.(2D*).3d  3P*  ""","=""L23116,L5666"""
"=""3s2.3p3.(4S*).5p""","=""5P""","=""1""","=""""","=""9.1638256""","=""""","=""0.0000005""","=""0.166094""","=""""","=""  99                                                             ""","=""L23116,L7237"""
"=""3s2.3p3.(4S*).5p""","=""5P""","=""2""","=""""","=""9.1642809""","=""""","=""0.0000005""","=""0.0004553""","=""""","=""  99                                                             ""","=""L23116,L7237"""
"=""3s2.3p3.(4S*).5p""","=""5P""","=""3""","=""""","=""9.1650291""","=""""","=""0.0000005""","=""0.0007482""","=""""","=""  99                                                             ""","=""L23116,L7237"""
"=""3s2.3p3.(4S*).5p""","=""3P""","=""2""","=""""","=""9.2081239""","=""""","=""0.0000004""","=""0.0430948""","=""""","=""  92                             :     6  3s2.3p3.(2D*).4p  3P   ""","=""L23116,L7237"""
"=""3s2.3p3.(4S*).5p""","=""3P""","=""1""","=""""","=""9.2082537""","=""""","=""0.0000005""","=""0.0001298""","=""""","=""  93                             :     6  3s2.3p3.(2D*).4p  3P   ""","=""L23116,L7237"""
"=""3s2.3p3.(4S*).5p""","=""3P""","=""0""","=""""","=""9.2085080""","=""""","=""0.0000006""","=""0.0002543""","=""""","=""  93                             :     6  3s2.3p3.(2D*).4p  3P   ""","=""L23116,L7237"""
"=""3s2.3p3.(4S*).4d""","=""5D*""","=""4""","=""""","=""9.2954938""","=""""","=""0.0000007""","=""0.0869858""","=""""","=""  95                                                             ""","=""L23116,L7237"""
"=""3s2.3p3.(4S*).4d""","=""5D*""","=""3""","=""""","=""9.2956056""","=""""","=""0.0000009""","=""0.000112""","=""""","=""  95                                                             ""","=""L23116,L7237"""
"=""3s2.3p3.(4S*).4d""","=""5D*""","=""2""","=""""","=""9.2957328""","=""""","=""0.0000010""","=""0.000127""","=""""","=""  95                                                             ""","=""L23116,L7237"""
"=""3s2.3p3.(4S*).4d""","=""5D*""","=""1""","=""""","=""9.2958468""","=""""","=""0.0000010""","=""0.000114""","=""""","=""  95                                                             ""","=""L23116,L7237"""
"=""3s2.3p3.(4S*).4d""","=""5D*""","=""0""","=""""","=""9.2959168""","=""""","=""0.0000016""","=""0.000070""","=""""","=""  95                                                             ""","=""L23116,L7237"""
"=""3s2.3p3.(4S*).4d""","=""3D*""","=""1""","=""""","=""9.4168206""","=""""","=""0.0000021""","=""0.120904""","=""""","=""  93                                                             ""","=""L23116,L7237"""
"=""3s2.3p3.(4S*).4d""","=""3D*""","=""2""","=""""","=""9.4168842""","=""""","=""0.0000016""","=""0.000064""","=""""","=""  93                                                             ""","=""L23116,L5666"""
"=""3s2.3p3.(4S*).4d""","=""3D*""","=""3""","=""""","=""9.4173947""","=""""","=""0.0000006""","=""0.000510""","=""""","=""  93                                                             ""","=""L23116,L5666"""
"=""3s2.3p3.(4S*).6s""","=""5S*""","=""2""","=""""","=""9.4803264""","=""""","=""0.0000006""","=""0.0629317""","=""""","="" 100                                                             ""","=""L23116,L7237"""
"=""3s2.3p3.(4S*).4f""","=""5F""","=""5""","=""""","=""9.5039792""","=""""","=""0.0000006""","=""0.0236528""","=""""","="" 100                                                             ""","=""L23116,L7237"""
"=""3s2.3p3.(4S*).4f""","=""5F""","=""4""","=""""","=""9.5039793""","=""""","=""0.0000006""","=""0.0000001""","=""""","="" 100                                                             ""","=""L23116,L7237"""
"=""3s2.3p3.(4S*).4f""","=""5F""","=""3""","=""""","=""9.5039808""","=""""","=""0.0000007""","=""0.0000015""","=""""","="" 100                                                             ""","=""L23116,L7237"""
"=""3s2.3p3.(4S*).4f""","=""5F""","=""2""","=""""","=""9.5039822""","=""""","=""0.0000007""","=""0.0000014""","=""""","="" 100                                                             ""","=""L23116,L7237"""
"=""3s2.3p3.(4S*).4f""","=""5F""","=""1""","=""""","=""9.5039849""","=""""","=""0.0000007""","=""0.0000027""","=""""","="" 100                                                             ""","=""L23116,L7237"""
"=""3s2.3p3.(4S*).4f""","=""3F""","=""3""","=""""","=""9.5041689""","=""""","=""0.0000004""","=""0.0001840""","=""""","="" 100                                                             ""","=""L23116,L7237"""
"=""3s2.3p3.(4S*).4f""","=""3F""","=""4""","=""""","=""9.5041690""","=""""","=""0.0000005""","=""0.0000001""","=""""","="" 100                                                             ""","=""L23116,L7237"""
"=""3s2.3p3.(4S*).4f""","=""3F""","=""2""","=""""","=""9.5041709""","=""""","=""0.0000004""","=""0.0000019""","=""""","="" 100                                                             ""","=""L23116,L7237"""
"=""3s2.3p3.(4S*).6s""","=""3S*""","=""1""","=""""","=""9.5121526""","=""""","=""0.0000006""","=""0.0079817""","=""""","=""  99                                                             ""","=""L23116,L5666"""
"=""3s2.3p3.(2P*).4s""","=""3P*""","=""0""","=""""","=""9.563589""","=""""","=""0.000006""","=""0.051436""","=""""","=""  97                                                             ""","=""L23116,L5666"""
"=""3s2.3p3.(2P*).4s""","=""3P*""","=""1""","=""""","=""9.565400""","=""""","=""0.000004""","=""0.001811""","=""""","=""  97                                                             ""","=""L23116,L5666"""
"=""3s2.3p3.(2P*).4s""","=""3P*""","=""2""","=""""","=""9.569241""","=""""","=""0.000004""","=""0.003841""","=""""","=""  97                                                             ""","=""L23116,L5666"""
"=""3s2.3p3.(4S*).6p""","=""5P""","=""1""","=""""","=""9.6522596""","=""""","=""0.0000007""","=""0.083019""","=""""","=""  95                                                             ""","=""L23116,L7237"""
"=""3s2.3p3.(4S*).6p""","=""5P""","=""2""","=""""","=""9.6525691""","=""""","=""0.0000007""","=""0.0003095""","=""""","=""  68                             :    24  3s2.3p3.(4S*).6p  3P   ""","=""L23116,L7237"""
