Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Leading percentages,Reference
"=""5p3""","=""4S*""","=""3/2""","=""""","=""0.0000000""","=""""","=""0.0000006""","=""""","=""1.967""","=""  95                              ""","=""L10083"""
"=""5p3""","=""2D*""","=""3/2""","=""""","=""1.0553690""","=""""","=""0.0000006""","=""1.0553690""","=""0.889""","=""  85                              ""","=""L10083"""
"=""5p3""","=""2D*""","=""5/2""","=""""","=""1.2217425""","=""""","=""0.0000006""","=""0.1663735""","=""1.205""","="" 100                              ""","=""L10083"""
"=""5p3""","=""2P*""","=""1/2""","=""""","=""2.0327654""","=""""","=""0.0000006""","=""0.8110229""","=""0.688""","="" 100                              ""","=""L10083"""
"=""5p3""","=""2P*""","=""3/2""","=""""","=""2.2892693""","=""""","=""0.0000006""","=""0.2565039""","=""1.277""","=""  83                              ""","=""L10083"""
"=""5p2.(3P).6s""","=""4P""","=""1/2""","=""""","=""5.3622344""","=""""","=""0.0000006""","=""3.0729651""","=""2.332""","=""  79                              ""","=""L10083"""
"=""5p2.(3P).6s""","=""4P""","=""3/2""","=""""","=""5.6964962""","=""""","=""0.0000006""","=""0.3342618""","=""1.713""","=""  92                              ""","=""L10083"""
"=""5p2.(3P).6s""","=""4P""","=""5/2""","=""""","=""5.9924568""","=""""","=""0.0000006""","=""0.2959606""","=""1.547""","=""  84                              ""","=""L10083"""
"=""5p2.(3P).6s""","=""2P""","=""1/2""","=""""","=""5.8261487""","=""""","=""0.0000006""","=""-0.1663081""","=""1.004""","=""  81                              ""","=""L10083"""
"=""5p2.(3P).6s""","=""2P""","=""3/2""","=""""","=""6.1237200""","=""""","=""0.0000006""","=""0.2975713""","=""1.277""","=""  72                              ""","=""L10083"""
"=""5p2.(3P<0>).6p""","=""(0,1/2)*""","=""1/2""","=""""","=""6.4070616""","=""""","=""0.0000006""","=""0.2833416""","=""""","=""  91                              ""","=""L10083"""
"=""5p2.(3P<0>).6p""","=""(0,3/2)*""","=""3/2""","=""""","=""6.5231165""","=""""","=""0.0000006""","=""0.1160549""","=""""","=""  90                              ""","=""L10083"""
"=""5p2.(3P).5d""","=""4P""","=""5/2""","=""""","=""6.6260834""","=""""","=""0.0000006""","=""0.1029669""","=""""","=""  36             :    21  5s.5p4  ""","=""L10083"""
"=""5p2.(3P).5d""","=""4P""","=""3/2""","=""""","=""6.9619362""","=""""","=""0.0000006""","=""0.3358528""","=""1.302""","=""  26             :    25  5p2.6s  ""","=""L10083"""
"=""5p2.(3P).5d""","=""4P""","=""1/2""","=""""","=""7.0297315""","=""""","=""0.0000006""","=""0.0677953""","=""""","=""  34             :    18  5s.5p4  ""","=""L10083"""
"=""5p2.(3P).5d""","=""4F""","=""3/2""","=""""","=""6.6366207""","=""""","=""0.0000006""","=""-0.3931108""","=""""","=""  58                              ""","=""L10083"""
"=""5p2.(3P).5d""","=""4F""","=""5/2""","=""""","=""6.8341259""","=""""","=""0.0000006""","=""0.1975052""","=""""","=""  40             :    46  5p2.6s  ""","=""L10083"""
"=""5p2.(3P).5d""","=""4F""","=""7/2""","=""""","=""7.0085951""","=""""","=""0.0000006""","=""0.1744692""","=""""","=""  73                              ""","=""L10083"""
"=""5p2.(3P<1>).6p""","=""(1,1/2)*""","=""1/2""","=""""","=""6.7195242""","=""""","=""0.0000006""","=""-0.2890709""","=""""","=""  76                              ""","=""L10083"""
"=""5p2.(3P<1>).6p""","=""(1,1/2)*""","=""3/2""","=""""","=""6.8357764""","=""""","=""0.0000006""","=""0.1162522""","=""""","=""  84                              ""","=""L10083"""
"=""""","=""55135""","=""5/2""","=""""","=""6.83588""","=""""","=""0.00006""","=""0.00010""","=""""","=""                                  ""","=""L4893,L3466"""
"=""""","=""55168*""","=""""","=""""","=""6.84000""","=""?""","=""0.00005""","=""0.00412""","=""""","=""                                  ""","=""L3466"""
"=""5p2.(1D).6s""","=""2D""","=""3/2""","=""""","=""6.8480146""","=""""","=""0.0000006""","=""0.00801""","=""0.991""","=""  60             :    23  5p2.5d  ""","=""L10083"""
"=""5p2.(1D).6s""","=""2D""","=""5/2""","=""""","=""6.9094241""","=""""","=""0.0000006""","=""0.0614095""","=""1.277""","=""  42             :    37  5p2.5d  ""","=""L10083"""
"=""5p2.(3P<1>).6p""","=""(1,3/2)*""","=""5/2""","=""""","=""6.8503913""","=""""","=""0.0000006""","=""-0.0590328""","=""""","=""  97                              ""","=""L10083"""
"=""5p2.(3P<1>).6p""","=""(1,3/2)*""","=""3/2""","=""""","=""6.9263559""","=""""","=""0.0000006""","=""0.0759646""","=""""","=""  92                              ""","=""L10083"""
"=""5p2.(3P<1>).6p""","=""(1,3/2)*""","=""1/2""","=""""","=""6.9423536""","=""""","=""0.0000006""","=""0.0159977""","=""""","=""  68                              ""","=""L10083"""
"=""5p2.(3P).5d""","=""2P""","=""3/2""","=""""","=""7.0340156""","=""""","=""0.0000006""","=""0.0916620""","=""1.311""","=""  51             :    12  5s.5p4  ""","=""L10083"""
