Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""4s2.4p4""","=""3P""","=""2""","=""""","=""0.0000000""","=""""","=""0""","=""""","=""L3465"""
"=""4s2.4p4""","=""3P""","=""1""","=""""","=""0.2466662""","=""""","=""""","=""0.2466662""","="""""
"=""4s2.4p4""","=""3P""","=""0""","=""""","=""0.314221""","=""""","=""""","=""0.067555""","="""""
"=""4s2.4p4""","=""1D""","=""2""","=""""","=""1.1872912""","=""""","=""""","=""0.873070""","="""""
"=""4s2.4p4""","=""1S""","=""0""","=""""","=""2.7829744""","=""""","=""""","=""1.595683""","="""""
"=""4s2.4p3.(4S*).5s""","=""5S*""","=""2""","=""""","=""5.9738302""","=""""","=""""","=""3.190856""","="""""
"=""4s2.4p3.(4S*).5s""","=""3S*""","=""1""","=""""","=""6.3228136""","=""""","=""""","=""0.348983""","="""""
"=""4s2.4p3.(4S*).5p""","=""5P""","=""1""","=""""","=""7.3451708""","=""""","=""""","=""1.022357""","="""""
"=""4s2.4p3.(4S*).5p""","=""5P""","=""2""","=""""","=""7.3507526""","=""""","=""""","=""0.005582""","="""""
"=""4s2.4p3.(4S*).5p""","=""5P""","=""3""","=""""","=""7.3635835""","=""""","=""""","=""0.012831""","="""""
"=""4s2.4p3.(4S*).5p""","=""3P""","=""1""","=""""","=""7.5162075""","=""""","=""""","=""0.152624""","="""""
"=""4s2.4p3.(4S*).5p""","=""3P""","=""2""","=""""","=""7.5230373""","=""""","=""""","=""0.006830""","="""""
"=""4s2.4p3.(4S*).5p""","=""3P""","=""0""","=""""","=""7.5253435""","=""""","=""""","=""0.002306""","=""L2647"""
"=""4s2.4p3.(2D*).5s""","=""3D*""","=""1""","=""""","=""7.6475020""","=""""","=""""","=""0.122159""","="""""
"=""4s2.4p3.(2D*).5s""","=""3D*""","=""2""","=""""","=""7.6657561""","=""""","=""""","=""0.018254""","="""""
"=""4s2.4p3.(2D*).5s""","=""3D*""","=""3""","=""""","=""7.7177190""","=""""","=""""","=""0.051963""","="""""
"=""4s2.4p3.(4S*).4d""","=""5D*""","=""4""","=""""","=""7.8568706""","=""""","=""""","=""0.139152""","="""""
"=""4s2.4p3.(4S*).4d""","=""5D*""","=""2""","=""""","=""7.8572685""","=""""","=""""","=""0.000398""","="""""
"=""4s2.4p3.(4S*).4d""","=""5D*""","=""0""","=""""","=""7.8582269""","=""""","=""""","=""0.000958""","="""""
"=""4s2.4p3.(4S*).4d""","=""5D*""","=""1""","=""""","=""7.8584614""","=""""","=""""","=""0.000235""","="""""
