Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Leading percentages,Reference
"=""4f6.6s2""","=""7F""","=""0""","=""""","=""0.000000""","=""""","=""0""","=""""","=""""","=""  94             :     3                       5D1           ""","=""L3974"""
"=""4f6.6s2""","=""7F""","=""1""","=""""","=""0.036275""","=""""","=""""","=""0.036275""","=""1.49839""","=""  95             :     2                       5D1           ""","="""""
"=""4f6.6s2""","=""7F""","=""2""","=""""","=""0.100665""","=""""","=""""","=""0.06439""","=""1.49779""","=""  97             :     2                       5D1           ""","="""""
"=""4f6.6s2""","=""7F""","=""3""","=""""","=""0.184681""","=""""","=""""","=""0.08402""","=""1.49707""","=""  98             :     1                       5D1           ""","="""""
"=""4f6.6s2""","=""7F""","=""4""","=""""","=""0.281827""","=""""","=""""","=""0.09715""","=""1.49625""","=""  98             :     1                       5F2           ""","="""""
"=""4f6.6s2""","=""7F""","=""5""","=""""","=""0.387508""","=""""","=""""","=""0.10568""","=""1.49532""","=""  98             :     1                       5G1           ""","="""""
"=""4f6.6s2""","=""7F""","=""6""","=""""","=""0.498498""","=""""","=""""","=""0.11099""","=""1.49417""","=""  97             :     1                       5G1           ""","="""""
"=""4f6.(7F).5d (8H).6s""","=""9H""","=""1""","=""""","=""1.339166""","=""""","=""""","=""0.84067""","=""-0.98""","=""  99                                                         ""","="""""
"=""4f6.(7F).5d (8H).6s""","=""9H""","=""2""","=""""","=""1.369393""","=""""","=""""","=""0.03023""","=""0.67""","=""  98                                                         ""","="""""
"=""4f6.(7F).5d (8H).6s""","=""9H""","=""3""","=""""","=""1.414226""","=""""","=""""","=""0.04483""","=""1.08""","=""  98                                                         ""","="""""
"=""4f6.(7F).5d (8H).6s""","=""9H""","=""4""","=""""","=""1.472622""","=""""","=""""","=""0.05840""","=""1.25""","=""  97                                                         ""","="""""
"=""4f6.(7F).5d (8H).6s""","=""9H""","=""5""","=""""","=""1.543027""","=""""","=""""","=""0.07040""","=""1.33""","=""  97                                                         ""","="""""
"=""4f6.(7F).5d (8H).6s""","=""9H""","=""6""","=""""","=""1.623666""","=""""","=""""","=""0.08064""","=""1.385""","=""  98                                                         ""","="""""
"=""4f6.(7F).5d (8H).6s""","=""9H""","=""7""","=""""","=""1.712829""","=""""","=""""","=""0.08916""","=""1.410""","=""  99                                                         ""","="""""
"=""4f6.(7F).5d (8H).6s""","=""9H""","=""8""","=""""","=""1.809140""","=""""","=""""","=""0.09631""","=""1.430""","=""  99                                                         ""","="""""
"=""4f6.(7F).5d (8H).6s""","=""9H""","=""9""","=""""","=""1.911669""","=""""","=""""","=""0.10253""","=""1.445""","="" 100                                                         ""","="""""
"=""4f6.(7F).5d (8D).6s""","=""9D""","=""2""","=""""","=""1.526631""","=""""","=""""","=""-0.38504""","=""2.56""","=""  83             :    11                       (7F)(6P) 7P   ""","="""""
"=""4f6.(7F).5d (8D).6s""","=""9D""","=""3""","=""""","=""1.592780""","=""""","=""""","=""0.06615""","=""2.05""","=""  86                                                         ""","="""""
"=""4f6.(7F).5d (8D).6s""","=""9D""","=""4""","=""""","=""1.668636""","=""""","=""""","=""0.07586""","=""1.830""","=""  85                                                         ""","="""""
"=""4f6.(7F).5d (8D).6s""","=""9D""","=""5""","=""""","=""1.760929""","=""""","=""""","=""0.09229""","=""1.715""","=""  85             :    10                       (7F)(8F) 9F   ""","="""""
"=""4f6.(7F).5d (8D).6s""","=""9D""","=""6""","=""""","=""1.870046""","=""""","=""""","=""0.10912""","=""1.66""","=""  89                                                         ""","="""""
"=""4f6.(7F).5d (8H).6s""","=""7H""","=""2""","=""""","=""1.618000""","=""""","=""""","=""-0.25205""","=""0.02""","=""  88             :    10                       (7F)(6H) 7H   ""","="""""
"=""4f6.(7F).5d (8H).6s""","=""7H""","=""3""","=""""","=""1.679093""","=""""","=""""","=""0.06109""","=""0.77""","=""  86             :    11                       (7F)(6H) 7H   ""","="""""
"=""4f6.(7F).5d (8H).6s""","=""7H""","=""4""","=""""","=""1.754910""","=""""","=""""","=""0.07582""","=""1.075""","=""  82             :    11                       (7F)(6H) 7H   ""","="""""
"=""4f6.(7F).5d (8H).6s""","=""7H""","=""5""","=""""","=""1.841934""","=""""","=""""","=""0.08702""","=""1.240""","=""  76             :    12                       (7F)(6H) 7H   ""","="""""
"=""4f6.(7F).5d (8H).6s""","=""7H""","=""6""","=""""","=""1.936317""","=""""","=""""","=""0.09438""","=""1.36""","=""  65             :    14                       (7F)(8G) 9G   ""","="""""
"=""4f6.(7F).5d (8H).6s""","=""7H""","=""7""","=""""","=""2.032464""","=""""","=""""","=""0.09615""","=""1.430""","=""  53             :    26                       (7F)(8G) 9G   ""","="""""
"=""4f6.(7F).5d (8H).6s""","=""7H""","=""8""","=""""","=""2.141326""","=""""","=""""","=""0.10886""","=""1.435""","=""  50             :    34                       (7F)(8G) 9G   ""","="""""
"=""4f6.(7F).5d (8F).6s""","=""""","=""1""","=""""","=""1.657588""","=""""","=""""","=""-0.48374""","=""2.65""","=""  38  9F         :    31                       (7F)(8G) 9G   ""","="""""
"=""4f6.(7F).5d (8G).6s""","=""9G""","=""5""","=""""","=""""","=""""","=""""","=""""","=""""","=""  57             :    26                       (7F)(8F) 9F   ""","="""""
"=""4f6.(7F).5d (8G).6s""","=""9G""","=""6""","=""""","=""""","=""""","=""""","=""""","=""""","=""  51             :    25                       (7F)(8F) 9F   ""","="""""
"=""4f6.(7F).5d (8G).6s""","=""9G""","=""7""","=""""","=""""","=""""","=""""","=""""","=""""","=""  39             :    29                       (7F)(8H) 7H   ""","="""""
"=""4f6.(7F).5d (8G).6s""","=""9G""","=""8""","=""""","=""""","=""""","=""""","=""""","=""""","=""  65             :    32                       (7F)(8H) 7H   ""","="""""
"=""4f6.(7F).5d (8G).6s""","=""9G""","=""0""","=""""","=""1.680135""","=""""","=""""","=""""","=""""","=""  96                                                         ""","="""""
"=""4f6.(7F).5d (8G).6s""","=""9G""","=""2""","=""""","=""1.697065""","=""""","=""""","=""0.01693""","=""1.780""","=""  54             :    35                       (7F)(8F) 9F   ""","="""""
"=""4f6.(7F).5d (8G).6s""","=""9G""","=""1""","=""""","=""1.702617""","=""""","=""""","=""0.00555""","=""2.01""","=""  59             :    20                       (7F)(6P) 5P   ""","="""""
"=""4f6.(7F).5d (8G).6s""","=""9G""","=""3""","=""""","=""1.742809""","=""""","=""""","=""0.04019""","=""1.63""","=""  54             :    31                       (7F)(8F) 9F   ""","="""""
"=""4f6.(7F).5d (8G).6s""","=""9G""","=""4""","=""""","=""1.805703""","=""""","=""""","=""0.06289""","=""1.575""","=""  57             :    29                       (7F)(8F) 9F   ""","="""""
"=""4f6.(7F).6s.6p.(3P*)""","=""9G*""","=""0""","=""""","=""1.710531""","=""""","=""""","=""-0.09517""","=""""","=""  94             :     5                       (7F)(3P*) 7F* ""","="""""
"=""4f6.(7F).6s.6p.(3P*)""","=""9G*""","=""1""","=""""","=""1.735717""","=""""","=""""","=""0.02519""","=""1.50""","=""  95             :     4                       (7F)(3P*) 7F* ""","="""""
"=""4f6.(7F).6s.6p.(3P*)""","=""9G*""","=""2""","=""""","=""1.782955""","=""""","=""""","=""0.04724""","=""1.50""","=""  95             :     4                       (7F)(3P*) 7F* ""","="""""
"=""4f6.(7F).6s.6p.(3P*)""","=""9G*""","=""3""","=""""","=""1.849327""","=""""","=""""","=""0.06637""","=""1.49""","=""  94             :     3                       (7F)(3P*) 7F* ""","="""""
"=""4f6.(7F).6s.6p.(3P*)""","=""9G*""","=""4""","=""""","=""1.931565""","=""""","=""""","=""0.08224""","=""1.500""","=""  94             :     3                       (7F)(3P*) 7F* ""","="""""
"=""4f6.(7F).6s.6p.(3P*)""","=""9G*""","=""5""","=""""","=""2.026493""","=""""","=""""","=""0.09493""","=""1.505""","=""  94             :     2                       (7F)(3P*) 7F* ""","="""""
"=""4f6.(7F).6s.6p.(3P*)""","=""9G*""","=""6""","=""""","=""2.131751""","=""""","=""""","=""0.10526""","=""1.50""","=""  96             :     1                       (7F)(3P*) 7F* ""","="""""
"=""4f6.(7F).6s.6p.(3P*)""","=""9G*""","=""7""","=""""","=""2.246452""","=""""","=""""","=""0.11470""","=""1.49""","=""  98             :     1                       (7F)(1P*) 7G* ""","="""""
"=""4f6.(7F).6s.6p.(3P*)""","=""9G*""","=""8""","=""""","=""2.372909""","=""""","=""""","=""0.12646""","=""1.50""","="" 100                                                         ""","="""""
"=""4f6.(7F).5d (8F).6s""","=""9F""","=""4""","=""""","=""""","=""""","=""""","=""""","=""""","=""  43             :    33                       (7F)(8G) 9G   ""","="""""
"=""4f6.(7F).5d (8F).6s""","=""9F""","=""5""","=""""","=""""","=""""","=""""","=""""","=""""","=""  60             :    33                       (7F)(8G) 9G   ""","="""""
"=""4f6.(7F).5d (8F).6s""","=""9F""","=""6""","=""""","=""""","=""""","=""""","=""""","=""""","=""  63             :    32                       (7F)(8G) 9G   ""","="""""
"=""4f6.(7F).5d (8F).6s""","=""9F""","=""7""","=""""","=""""","=""""","=""""","=""""","=""""","=""  64             :    34                       (7F)(8G) 9G   ""","="""""
"=""4f6.(7F).5d (8F).6s""","=""9F""","=""1""","=""""","=""1.739058""","=""""","=""""","=""""","=""2.92""","=""  52             :    31                       (7F)(6P) 5P   ""","="""""
"=""4f6.(7F).5d (8F).6s""","=""9F""","=""2""","=""""","=""1.781095""","=""""","=""""","=""0.04204""","=""1.845""","=""  43             :    42                       (7F)(8G) 9G   ""","="""""
"=""4f6.(7F).5d (8F).6s""","=""9F""","=""3""","=""""","=""1.849900""","=""""","=""""","=""0.06881""","=""1.74""","=""  55             :    31                       (7F)(8G) 9G   ""","="""""
"=""4f6.(7F).5d (6P).6s""","=""7P""","=""2""","=""""","=""1.804032""","=""""","=""""","=""-0.04587""","=""2.340""","=""  56             :    14                       (7F)(8P) 7P   ""","="""""
"=""4f6.(7F).5d (8P).6s""","=""9P""","=""4""","=""""","=""""","=""""","=""""","=""""","=""""","=""  43             :    16  4f6.(7F).5d (6P).6s  7P            ""","="""""
"=""4f6.(7F).5d (8P).6s""","=""9P""","=""5""","=""""","=""""","=""""","=""""","=""""","=""""","=""  57             :    25  4f6.(7F).5d (8D).6s  7D            ""","="""""
"=""4f6.(7F).5d (8P).6s""","=""9P""","=""3""","=""""","=""1.811712""","=""""","=""""","=""""","=""2.14""","=""  48             :    25  4f6.(7F).5d (6P).6s  7P            ""","="""""
"=""4f6.(7F).5d (8D).6s""","=""7D""","=""1""","=""""","=""""","=""""","=""""","=""""","=""""","=""  56             :    31                       (7F)(6P) 5P   ""","="""""
"=""4f6.(7F).5d (8D).6s""","=""7D""","=""5""","=""""","=""""","=""""","=""""","=""""","=""""","=""  43             :    37                       (7F)(8P) 9P   ""","="""""
"=""4f6.(7F).5d (8D).6s""","=""7D""","=""2""","=""""","=""1.832922""","=""""","=""""","=""""","=""1.93""","=""  43             :    27                       (7F)(6P) 5P   ""","="""""
"=""4f6.(7F).5d (8D).6s""","=""7D""","=""3""","=""""","=""1.924800""","=""""","=""""","=""0.09188""","=""1.84""","=""  53             :    20                       (7F)(8P) 9P   ""","="""""
"=""4f6.(7F).5d (8D).6s""","=""7D""","=""4""","=""""","=""2.027712""","=""""","=""""","=""0.10291""","=""1.640""","=""  53             :    24                       (7F)(8P) 9P   ""","="""""
"=""4f6.(7F).6s.6p.(3P*)""","=""9F*""","=""1""","=""""","=""1.842883""","=""""","=""""","=""-0.18483""","=""3.10""","=""  57             :    37                       (7F)(3P*) 7D* ""","="""""
