Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Leading percentages,Reference
"=""5s2.5p2""","=""3P""","=""0""","=""""","=""0.0000000""","=""""","=""0.0000012""","=""""","=""""","=""  90                                  ""","=""L3149,L14156"""
"=""5s2.5p2""","=""3P""","=""1""","=""""","=""0.2097572""","=""""","=""0.0000006""","=""0.209757""","=""1.502""","=""  92                                  ""","=""L3149,L14156"""
"=""5s2.5p2""","=""3P""","=""2""","=""""","=""0.4249773""","=""""","=""0.0000005""","=""0.2152201""","=""1.452""","=""  86                                  ""","=""L3149,L14156"""
"=""5s2.5p2""","=""1D""","=""2""","=""""","=""1.0678703""","=""""","=""0.0000004""","=""0.6428930""","=""1.052""","=""  84                                  ""","=""L3149,L14156"""
"=""5s2.5p2""","=""1S""","=""0""","=""""","=""2.1278787""","=""""","=""0.0000005""","=""1.0600084""","=""""","=""  87                                  ""","=""L3149,L14156"""
"=""5s2.5p.6s""","=""3P*""","=""0""","=""""","=""4.2949066""","=""""","=""0.0000004""","=""2.1670279""","=""""","="" 100                                  ""","=""L3149,L6407"""
"=""5s2.5p.6s""","=""3P*""","=""1""","=""""","=""4.32881927""","=""""","=""0.00000025""","=""0.0339127""","=""1.380""","=""  75         :    25  5s2.5p.6s  1P*  ""","=""L3149,L6407"""
"=""5s2.5p.6s""","=""3P*""","=""2""","=""""","=""4.78937023""","=""""","=""0.00000025""","=""0.4605510""","=""1.501""","=""  97         :     3  5s.5p3     5S*  ""","=""L3149,L6407"""
"=""5s2.5p.6s""","=""1P*""","=""1""","=""""","=""4.86725425""","=""""","=""0.00000025""","=""0.0778840""","=""1.121""","=""  74         :    25  5s2.5p.6s  3P*  ""","=""L3149,L6407"""
"=""5s.5p3""","=""5S*""","=""2""","=""""","=""4.9129366""","=""""","=""0.0000005""","=""0.0456823""","=""""","=""  94         :     3  5s2.5p.6s  3P*  ""","=""L3149,L6407"""
"=""5s2.5p.6p""","=""3D""","=""1""","=""""","=""5.24976571""","=""""","=""0.00000025""","=""0.3368291""","=""""","=""  53         :    31             1P   ""","=""L3149,L14156"""
"=""5s2.5p.6p""","=""3D""","=""2""","=""""","=""5.38465048""","=""""","=""0.00000025""","=""0.1348848""","=""""","=""  59         :    16             1D   ""","=""L3149,L14156"""
"=""5s2.5p.6p""","=""3D""","=""3""","=""""","=""5.8281041""","=""""","=""0.0000006""","=""0.4434536""","=""""","=""  87                                  ""","=""L3149,L14156"""
"=""5s2.5p.6p""","=""3P""","=""1""","=""""","=""5.37702532""","=""""","=""0.00000025""","=""-0.4510788""","=""""","=""  37         :    18             3D   ""","=""L3149,L14156"""
"=""5s2.5p.6p""","=""3P""","=""0""","=""""","=""5.4303944""","=""""","=""0.0000005""","=""0.0533691""","=""""","=""  75         :    12             1S   ""","=""L3149,L14156"""
"=""5s2.5p.6p""","=""3P""","=""2""","=""""","=""5.8564210""","=""""","=""0.0000004""","=""0.4260266""","=""""","=""  53         :    24             3D   ""","=""L3149,L14156"""
"=""5s2.5p.5d""","=""3F*""","=""2""","=""""","=""5.41596913""","=""""","=""0.00000025""","=""-0.4404519""","=""0.865""","=""  55         :    39  5s2.5p.5d  1D*  ""","=""L3149,L6407"""
"=""5s2.5p.5d""","=""3F*""","=""3""","=""""","=""5.5267204""","=""""","=""0.0000004""","=""0.1107513""","=""1.167""","=""  51         :    33  5s2.5p.5d  3D*  ""","=""L3149,L6407"""
"=""5s2.5p.5d""","=""3F*""","=""4""","=""""","=""5.964541""","=""""","=""0.000014""","=""0.43782""","=""""","=""  99                                  ""","=""L3149,L6407"""
"=""5s2.5p.5d""","=""3D*""","=""2""","=""""","=""5.47320408""","=""""","=""0.00000025""","=""-0.491337""","=""1.131""","=""  46         :    20  5s2.5p.5d  3P*  ""","=""L3149,L6407"""
"=""5s2.5p.5d""","=""3D*""","=""1""","=""""","=""5.5183726""","=""""","=""0.0000004""","=""0.0451685""","=""0.635""","=""  69         :    11  5s.5p3     3D*  ""","=""L3149,L6407"""
"=""5s2.5p.5d""","=""3D*""","=""3""","=""""","=""5.8877239""","=""""","=""0.0000004""","=""0.3693513""","=""1.246""","=""  45         :    38  5s2.5p.5d  3F*  ""","=""L3149,L6407"""
"=""5s2.5p.6p""","=""1P""","=""1""","=""""","=""5.7780997""","=""""","=""0.0000004""","=""-0.1096242""","=""""","=""  38         :    28             3P   ""","=""L3149,L14156"""
"=""5s2.5p.5d""","=""1D*""","=""2""","=""""","=""5.8453198""","=""""","=""0.0000005""","=""0.0672201""","=""0.941""","=""  37         :    33  5s2.5p.5d  3F*  ""","=""L3149,L6407"""
"=""5s2.5p.6p""","=""3S""","=""1""","=""""","=""5.9271688""","=""""","=""0.0000004""","=""0.0818490""","=""""","=""  63         :    23             3P   ""","=""L3149,L14156"""
"=""5s2.5p.6p""","=""1D""","=""2""","=""""","=""5.9747726""","=""""","=""0.0000004""","=""0.0476038""","=""""","=""  61         :    23             3P   ""","=""L3149,L14156"""
"=""5s2.5p.7s""","=""3P*""","=""0""","=""""","=""5.9780663""","=""""","=""0.0000019""","=""0.003294""","=""""","=""  97                                  ""","=""L3149,L6407"""
"=""5s2.5p.7s""","=""3P*""","=""1""","=""""","=""5.9787857""","=""""","=""0.0000006""","=""0.000719""","=""1.316""","=""  65         :    31  5s2.5p.7s  1P*  ""","=""L3149,L6407"""
"=""5s2.5p.7s""","=""3P*""","=""2""","=""""","=""6.4987405""","=""""","=""0.0000014""","=""0.519955""","=""""","=""  98                                  ""","=""L3149,L6407"""
"=""5s2.5p.5d""","=""3P*""","=""2""","=""""","=""6.0342377""","=""""","=""0.0000009""","=""-0.464503""","=""1.406""","=""  72         :    13  5s2.5p.5d  3D*  ""","=""L3149,L6407"""
"=""5s2.5p.5d""","=""3P*""","=""1""","=""""","=""6.0729858""","=""""","=""0.0000007""","=""0.038748""","=""1.229""","=""  59         :    16  5s2.5p.5d  1P*  ""","=""L3149,L6407"""
"=""5s2.5p.5d""","=""3P*""","=""0""","=""""","=""6.135622""","=""""","=""0.000003""","=""0.062636""","=""""","=""  93         :     5  5s.5p3     3P*  ""","=""L3149,L6407"""
"=""5s2.5p.6p ""","=""1S""","=""0""","=""""","=""6.1255834""","=""""","=""0.0000004""","=""-0.010039""","=""""","=""  68         :    12             3P   ""","=""L3149,L14156"""
"=""5s2.5p.5d""","=""1F*""","=""3""","=""""","=""6.1860457""","=""""","=""0.0000011""","=""0.060462""","=""1.043""","=""  69         :     8  5s2.5p.6d  1F*  ""","=""L3149,L6407"""
"=""5s2.5p.5d""","=""1P*""","=""1""","=""""","=""6.2148283""","=""""","=""0.0000006""","=""0.028783""","=""1.066""","=""  42         :    25  5s2.5p.5d  3P*  ""","=""L3149,L6407"""
"=""5s2.5p.7p""","=""3D""","=""1""","=""""","=""6.2929683""","=""""","=""0.0000005""","=""0.0781400""","=""0.665(3)""","=""                                      ""","=""L3149"""
"=""5s2.5p.7p""","=""3D""","=""2""","=""""","=""6.3443946""","=""""","=""0.0000004""","=""0.0514263""","=""1.181(3)""","=""                                      ""","=""L3149"""
"=""5s2.5p.7p""","=""3D""","=""3""","=""""","=""6.8365472""","=""""","=""0.0000005""","=""0.4921526""","=""""","=""                                      ""","=""L3149"""
"=""5s2.5p.6d""","=""3D*""","=""2""","=""""","=""6.3245501""","=""""","=""0.0000009""","=""-0.511997""","=""""","=""  36         :    23  5s2.5p.6d  3P*  ""","=""L3149,L6407"""
"=""5s2.5p.6d""","=""3D*""","=""1""","=""""","=""6.3820517""","=""""","=""0.0000009""","=""0.057502""","=""0.863""","=""  36         :    18  5s2.5p.5d  1P*  ""","=""L3149,L6407"""
"=""5s2.5p.6d""","=""3D*""","=""3""","=""""","=""7.089628""","=""""","=""0.000006""","=""0.707576""","=""""","=""  17         :    13  5s.5p3     3D*  ""","=""L3149,L6407"""
"=""5s2.5p.7p""","=""3P""","=""1""","=""""","=""6.3372116""","=""""","=""0.0000005""","=""-0.752416""","=""1.463(4)""","=""                                      ""","=""L3149"""
"=""5s2.5p.7p""","=""3P""","=""0""","=""""","=""6.3697294""","=""""","=""0.0000006""","=""0.0325178""","=""""","=""                                      ""","=""L3149"""
"=""5s2.5p.7p""","=""3P""","=""2""","=""""","=""6.8423347""","=""""","=""0.0000005""","=""0.4726053""","=""1.307(3)""","=""                                      ""","=""L3149"""
"=""5s2.5p.6d""","=""3F*""","=""2""","=""""","=""6.3430961""","=""""","=""0.0000005""","=""-0.4992386""","=""""","=""  55         :    33  5s2.5p.6d  1D*  ""","=""L3149,L6407"""
"=""5s2.5p.6d""","=""3F*""","=""3""","=""""","=""6.4167614""","=""""","=""0.0000006""","=""0.0736653""","=""""","=""  38         :    24  5s2.5p.6d  3D*  ""","=""L3149,L6407"""
"=""5s2.5p.6d""","=""3F*""","=""4""","=""""","=""6.8742557""","=""""","=""0.0000011""","=""0.457494""","=""""","=""  98                                  ""","=""L3149,L6407"""
"=""5s2.5p.4f""","=""3G""","=""3""","=""""","=""6.4780283""","=""""","=""0.0000005""","=""-0.396227""","=""""","=""  34         :    33             1F   ""","=""L3149,L14156"""
"=""5s2.5p.4f""","=""3G""","=""5""","=""""","=""7.010197""","=""""","=""0.000014""","=""0.53217""","=""""","=""  89                                  ""","=""L3149,L14156"""
"=""5s2.5p.4f""","=""3G""","=""4""","=""""","=""7.0112627""","=""""","=""0.0000004""","=""0.00107""","=""""","=""  48         :    40             1G   ""","=""L3149,L14156"""
"=""5s2.5p.4f""","=""1G""","=""4""","=""""","=""6.478705""","=""""","=""0.000016""","=""-0.53256""","=""""","=""  30         :    36             3G   ""","=""L3149,L14156"""
"=""5s2.5p.4f""","=""3F""","=""3""","=""""","=""6.4798592""","=""""","=""0.0000005""","=""0.00115""","=""""","=""  34         :    30             3G   ""","=""L3149,L14156"""
"=""5s2.5p.4f""","=""3F""","=""4""","=""""","=""6.9927745""","=""""","=""0.0000006""","=""0.5129153""","=""""","=""  63         :    20             1G   ""","=""L3149,L14156"""
"=""5s2.5p.4f""","=""3F""","=""2""","=""""","=""7.0036599""","=""""","=""0.0000004""","=""0.0108854""","=""""","=""  45         :    38             1D   ""","=""L3149,L14156"""
"=""5s2.5p.4f""","=""1D""","=""2""","=""""","=""6.4800804""","=""""","=""0.0000005""","=""-0.5235795""","=""0.876(3)""","=""  28         :    42             3F   ""","=""L3149,L14156"""
"=""5s2.5p.7s""","=""1P*""","=""1""","=""""","=""6.5348143""","=""""","=""0.0000007""","=""0.0547339""","=""""","=""  48         :    18  5s2.5p.7s  3P*  ""","=""L3149,L6407"""
"=""5s2.5p.8s""","=""3P*""","=""0""","=""""","=""6.5612149""","=""""","=""0.0000005""","=""0.0264006""","=""""","=""  99                                  ""","=""L3149,L6407"""
"=""5s2.5p.8s""","=""3P*""","=""1""","=""""","=""6.5737602""","=""""","=""0.0000004""","=""0.0125453""","=""""","=""  52         :    25  5s2.5p.8s  1P*  ""","=""L3149,L6407"""
"=""5s2.5p.8s""","=""3P*""","=""2""","=""""","=""7.0857189""","=""""","=""0.0000005""","=""0.5119587""","=""""","=""  89                                  ""","=""L3149,L6407"""
"=""5s2.5p.7d""","=""a 3D*""","=""1""","=""""","=""6.6446571""","=""""","=""0.0000005""","=""-0.4410618""","=""""","=""  25         :    21  5s.5p3     3D*  ""","=""L3149,L6407"""
"=""5s.5p3""","=""3D*""","=""2""","=""""","=""6.6494965""","=""""","=""0.0000004""","=""0.0048394""","=""""","=""  22         :    19  5s2.5p.7d  3D*  ""","=""L3149,L6407"""
"=""5s.5p3""","=""3D*""","=""3""","=""""","=""6.6736484""","=""""","=""0.0000006""","=""0.0241519""","=""""","=""  23         :    15  5s2.5p.7d  3D*  ""","=""L3149,L6407"""
"=""5s2.5p.8p""","=""3D""","=""1""","=""""","=""6.7039265""","=""""","=""0.0000007""","=""0.0302781""","=""""","=""                                      ""","=""L3149"""
"=""5s2.5p.8p""","=""3D""","=""2""","=""""","=""6.7241984""","=""""","=""0.0000009""","=""0.020272""","=""""","=""                                      ""","=""L3149"""
"=""5s2.5p.7d""","=""3F*""","=""2""","=""""","=""6.7213996""","=""""","=""0.0000006""","=""-0.002799""","=""""","=""  60         :    29  5s2.5p.7d  1D*  ""","=""L3149,L6407"""
"=""5s2.5p.7d""","=""3F*""","=""3""","=""""","=""6.7762113""","=""""","=""0.0000005""","=""0.0548117""","=""""","=""  33         :    18  5s2.5p.7d  1F*  ""","=""L3149,L6407"""
"=""5s2.5p.7d""","=""3F*""","=""4""","=""""","=""7.2557917""","=""""","=""0.0000007""","=""0.4795804""","=""""","=""  98                                  ""","=""L3149,L6407"""
"=""5s2.5p.8p""","=""3P""","=""1""","=""""","=""6.7231210""","=""""","=""0.0000006""","=""-0.5326707""","=""""","=""                                      ""","=""L3149"""
"=""5s2.5p.8p""","=""3P""","=""0""","=""""","=""6.7308730""","=""""","=""0.0000011""","=""0.007752""","=""""","=""                                      ""","=""L3149"""
"=""5s2.5p.6d""","=""1D*""","=""2""","=""""","=""6.7835859""","=""""","=""0.0000005""","=""0.052713""","=""""","=""  22         :    17  5s2.5p.7d  3P*  ""","=""L3149,L6407"""
"=""5s2.5p.5f""","=""3F""","=""3""","=""""","=""6.7897295""","=""""","=""0.0000004""","=""0.0061436""","=""""","=""                                      ""","=""L3149"""
"=""5s2.5p.5f""","=""3F""","=""2""","=""""","=""6.7906379""","=""""","=""0.0000005""","=""0.0009084""","=""0.8844(19)""","=""                                      ""","=""L3149"""
"=""5s2.5p.5f""","=""3F""","=""4""","=""""","=""6.7908499""","=""""","=""0.0000007""","=""0.0002120""","=""""","=""                                      ""","=""L3149"""
"=""5s2.5p.5f""","=""1F""","=""3""","=""""","=""6.7903332""","=""""","=""0.0000004""","=""-0.0005167""","=""""","=""                                      ""","=""L3149"""
"=""5s2.5p.(2P*<1/2>).5g""","=""(1/2,7/2)*""","=""3""","=""""","=""6.7980779""","=""""","=""0.0000015""","=""0.007745""","=""""","=""  99     or  :        5s2.5p.5g  3G*  ""","=""L3149,L3936"""
"=""5s2.5p.7p""","=""1P""","=""1""","=""""","=""6.8179445""","=""""","=""0.0000005""","=""0.019867""","=""1.0723(21)""","=""                                      ""","=""L3149"""
"=""5s2.5p.7d""","=""b 3D*""","=""1""","=""""","=""6.8282058""","=""""","=""0.0000005""","=""0.0102613""","=""""","=""  20         :    20  5s2.5p.9s  3P*  ""","=""L3149,L6407"""
"=""5s2.5p.9s""","=""3P*""","=""0""","=""""","=""6.8354386""","=""""","=""0.0000006""","=""0.0072328""","=""""","=""  96                                  ""","=""L3149,L6407"""
"=""5s2.5p.9s""","=""3P*""","=""1""","=""""","=""6.8385631""","=""""","=""0.0000005""","=""0.0031245""","=""""","=""  43         :    19  5s2.5p.9s  1P*  ""","=""L3149,L6407"""
"=""5s2.5p.9s""","=""3P*""","=""2""","=""""","=""7.3615""","=""""","=""0.0003""","=""0.5229""","=""""","=""  98                                  ""","=""L3149,L6407"""
"=""5s2.5p.6d""","=""3P*""","=""2""","=""""","=""6.8558615""","=""""","=""0.0000005""","=""-0.5056""","=""""","=""  44         :    24  5s2.5p.6d  1D*  ""","=""L3149,L6407"""
"=""5s2.5p.6d""","=""3P*""","=""0""","=""""","=""6.896237""","=""""","=""0.000009""","=""0.040376""","=""""","=""  87         :     7  5s.5p3     3P*  ""","=""L3149,L6407"""
"=""5s2.5p.6d""","=""3P*""","=""1""","=""""","=""6.9044788""","=""""","=""0.0000006""","=""0.008242""","=""""","=""  57         :    15  5s2.5p.6d  3D*  ""","=""L3149,L6407"""
