Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""5s2""","=""1S""","=""0""","=""""","=""0.0000000""","=""""","=""0""","=""""","=""L15350"""
"=""5s.5p""","=""3P*""","=""0""","=""""","=""1.77514463""","=""""","=""0.00000012""","=""1.77514463""","=""L15350"""
"=""5s.5p""","=""3P*""","=""1""","=""""","=""1.7983082""","=""""","=""0.0000004""","=""0.0231636""","=""L15350"""
"=""5s.5p""","=""3P*""","=""2""","=""""","=""1.8471842""","=""""","=""0.0000005""","=""0.0488760""","=""L15350"""
"=""5s.4d""","=""3D""","=""1""","=""""","=""2.2514340""","=""""","=""0.0000004""","=""0.4042498""","=""L15350"""
"=""5s.4d""","=""3D""","=""2""","=""""","=""2.2588413""","=""""","=""0.0000004""","=""0.0074073""","=""L15350"""
"=""5s.4d""","=""3D""","=""3""","=""""","=""2.2712989""","=""""","=""0.0000005""","=""0.0124576""","=""L15350"""
"=""5s.4d""","=""1D""","=""2""","=""""","=""2.4982425""","=""""","=""0.0000004""","=""0.2269436""","=""L15350"""
"=""5s.5p""","=""1P*""","=""1""","=""""","=""2.6902652""","=""""","=""0.0000005""","=""0.1920227""","=""L15350"""
"=""5s.6s""","=""3S""","=""1""","=""""","=""3.6003490""","=""""","=""0.0000005""","=""0.9100838""","=""L15350"""
"=""5s.6s""","=""1S""","=""0""","=""""","=""3.7929029""","=""""","=""0.0000020""","=""0.192554""","=""L15350"""
"=""4d.5p""","=""3F*""","=""2""","=""""","=""4.1245639""","=""""","=""0.0000004""","=""0.331661""","=""L15350"""
"=""4d.5p""","=""3F*""","=""3""","=""""","=""4.1645931""","=""""","=""0.0000009""","=""0.0400292""","=""L15350"""
"=""4d.5p""","=""3F*""","=""4""","=""""","=""4.2054591""","=""""","=""0.0000007""","=""0.040866""","=""L15350"""
"=""4d.5p""","=""1D*""","=""2""","=""""","=""4.1940010""","=""""","=""0.0000004""","=""-0.0114581""","=""L15350"""
"=""5s.6p""","=""3P*""","=""0""","=""""","=""4.1972978""","=""""","=""0.0000007""","=""0.0032968""","=""L15350"""
"=""5s.6p""","=""3P*""","=""1""","=""""","=""4.1991361""","=""""","=""0.0000007""","=""0.0018383""","=""L15350"""
"=""5s.6p""","=""3P*""","=""2""","=""""","=""4.2121232""","=""""","=""0.0000005""","=""0.0129871""","=""L15350"""
"=""5s.6p""","=""1P*""","=""1""","=""""","=""4.2276633""","=""""","=""0.0000007""","=""0.0155401""","=""L15350"""
"=""5s.5d""","=""1D""","=""2""","=""""","=""4.3056547""","=""""","=""0.0000006""","=""0.0779914""","=""L15350"""
"=""5s.5d""","=""3D""","=""1""","=""""","=""4.3403034""","=""""","=""0.0000009""","=""0.034649""","=""L15350"""
