Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Leading percentages,Reference
"=""4f9.6s2""","=""6H*""","=""15/2""","=""""","=""0.0000000""","=""""","=""0""","=""""","=""1.32513""","=""  95             :     4   4I3*     ""","=""L3974"""
"=""4f9.6s2""","=""6H*""","=""7/2""","=""""","=""""","=""""","=""""","=""""","=""""","=""  94             :     3   4G4*     ""","="""""
"=""4f9.6s2""","=""6H*""","=""5/2""","=""""","=""""","=""""","=""""","=""""","=""""","=""  93             :     4   4G4*     ""","="""""
"=""4f9.6s2""","=""6H*""","=""13/2""","=""""","=""0.3436439""","=""""","=""""","=""""","=""1.27625""","=""  97             :     2   4I3*     ""","="""""
"=""4f9.6s2""","=""6H*""","=""11/2""","=""""","=""0.5790626""","=""""","=""""","=""0.235419""","=""1.20610""","=""  93             :     2   6F*      ""","="""""
"=""4f9.6s2""","=""6H*""","=""9/2""","=""""","=""0.7655931""","=""""","=""""","=""0.186531""","=""""","=""  95             :     2   4G4*     ""","="""""
"=""4f8.(7F).5d.6s2""","=""8G""","=""13/2""","=""""","=""0.0353975""","=""""","=""""","=""-0.730196""","=""1.46448""","=""  65             :    24   (7F) 8F  ""","="""""
"=""4f8.(7F).5d.6s2""","=""8G""","=""15/2""","=""""","=""0.0572906""","=""""","=""""","=""0.021893""","=""1.45624""","=""  91             :     4   (7F) 8H  ""","="""""
"=""4f8.(7F).5d.6s2""","=""8G""","=""11/2""","=""""","=""0.0632127""","=""""","=""""","=""0.005922""","=""1.51654""","=""  35             :    30   (7F) 8F  ""","="""""
"=""4f8.(7F).5d.6s2""","=""8G""","=""7/2""","=""""","=""0.2999773""","=""""","=""""","=""0.236765""","=""1.47678""","=""  56             :    25   (7F) 8F  ""","="""""
"=""4f8.(7F).5d.6s2""","=""8G""","=""9/2""","=""""","=""0.3521362""","=""""","=""""","=""0.052159""","=""1.54375""","=""  47             :    38   (7F) 8D  ""","="""""
"=""4f8.(7F).5d.6s2""","=""8G""","=""5/2""","=""""","=""0.3935971""","=""""","=""""","=""0.041461""","=""1.35525""","=""  73             :    16   (7F) 8F  ""","="""""
"=""4f8.(7F).5d.6s2""","=""8G""","=""3/2""","=""""","=""0.4594631""","=""""","=""""","=""0.065866""","=""1.02220""","=""  86             :     7   (7F) 8F  ""","="""""
"=""4f8.(7F).5d.6s2""","=""8G""","=""1/2""","=""""","=""0.4981945""","=""""","=""""","=""0.038731""","=""-1.19125""","=""  92             :     3   (5D1) 6F ""","="""""
"=""4f8.(7F).5d.6s2""","=""""","=""9/2""","=""""","=""0.1699879""","=""""","=""""","=""-0.328207""","=""1.54110""","=""  33  8G         :    29   (7F) 8F  ""","="""""
"=""4f8.(7F).5d.6s2""","=""8D""","=""11/2""","=""""","=""0.2864147""","=""""","=""""","=""0.116427""","=""1.53020""","=""  48             :    43   (7F) 8G  ""","="""""
"=""4f8.(7F).5d.6s2""","=""8D""","=""7/2""","=""""","=""0.4736010""","=""""","=""""","=""0.187186""","=""1.64184""","=""  52             :    29   (7F) 8G  ""","="""""
"=""4f8.(7F).5d.6s2""","=""8D""","=""5/2""","=""""","=""0.5821684""","=""""","=""""","=""0.108567""","=""1.83129""","=""  56             :    21   (7F) 8F  ""","="""""
"=""4f8.(7F).5d.6s2""","=""8D""","=""3/2""","=""""","=""0.6799269""","=""""","=""""","=""0.097758""","=""2.32""","=""  51             :    37   (7F) 8F  ""","="""""
"=""4f8.(7F).5d.6s2""","=""8F""","=""13/2""","=""""","=""0.4611846""","=""""","=""""","=""-0.218742""","=""1.50473""","=""  71             :    22   (7F) 8G  ""","="""""
"=""4f8.(7F).5d.6s2""","=""8F""","=""11/2""","=""""","=""0.6637333""","=""""","=""""","=""0.202549""","=""1.545""","=""  54             :    21   (7F) 8D  ""","="""""
"=""4f8.(7F).5d.6s2""","=""8F""","=""9/2""","=""""","=""0.7228105""","=""""","=""""","=""0.059077""","=""1.58""","=""  56             :    13   (7F) 8P  ""","="""""
"=""4f8.(7F).5d.6s2""","=""8F""","=""1/2""","=""""","=""0.7760283""","=""""","=""""","=""0.053218""","=""3.84""","=""  91             :     3   (5D1) 6D ""","="""""
"=""4f8.(7F).5d.6s2""","=""8F""","=""7/2""","=""""","=""0.8044442""","=""""","=""""","=""0.028416""","=""1.635""","=""  58             :    21   (7F) 8D  ""","="""""
"=""4f8.(7F).5d.6s2""","=""8F""","=""5/2""","=""""","=""0.8432401""","=""""","=""""","=""0.038796""","=""1.80""","=""  55             :    31   (7F) 8D  ""","="""""
"=""4f8.(7F).5d.6s2""","=""8F""","=""3/2""","=""""","=""0.8492570""","=""""","=""""","=""0.006017""","=""2.335""","=""  48             :    42   (7F) 8D  ""","="""""
"=""4f8.(7F).5d.6s2""","=""8H""","=""17/2""","=""""","=""0.5761335""","=""""","=""""","=""-0.273124""","=""1.40626""","=""  95             :     2   (5G1) 6I ""","="""""
"=""4f8.(7F).5d.6s2""","=""8H""","=""15/2""","=""""","=""0.6726217""","=""""","=""""","=""0.096488""","=""1.370""","=""  64             :    27   (7F) 6H  ""","="""""
"=""4f8.(7F).5d.6s2""","=""8H""","=""13/2""","=""""","=""0.7875166""","=""""","=""""","=""0.114895""","=""1.350""","=""  74             :    10   (7F) 6H  ""","="""""
"=""4f8.(7F).5d.6s2""","=""8H""","=""11/2""","=""""","=""0.8665032""","=""""","=""""","=""0.078987""","=""1.315""","=""  74             :     7   (7F) 6H  ""","="""""
"=""4f8.(7F).5d.6s2""","=""8H""","=""9/2""","=""""","=""0.9225701""","=""""","=""""","=""0.056067""","=""1.240""","=""  74             :     8   (7F) 6G  ""","="""""
"=""4f8.(7F).5d.6s2""","=""8H""","=""7/2""","=""""","=""0.9720175""","=""""","=""""","=""0.049447""","=""1.05""","=""  82             :     5   (7F) 6G  ""","="""""
"=""4f8.(7F).5d.6s2""","=""8H""","=""5/2""","=""""","=""1.0080758""","=""""","=""""","=""0.036058""","=""0.705""","=""  87             :     5   (7F) 6G  ""","="""""
"=""4f8.(7F).5d.6s2""","=""8H""","=""3/2""","=""""","=""1.0335707""","=""""","=""""","=""0.025495""","=""-0.36""","=""  89             :     4   (7F) 6G  ""","="""""
"=""4f8.(7F).5d.6s2""","=""6F""","=""3/2""","=""""","=""""","=""""","=""""","=""""","=""""","=""  85             :     4   (7F) 6G  ""","="""""
"=""4f8.(7F).5d.6s2""","=""6F""","=""1/2""","=""""","=""""","=""""","=""""","=""""","=""""","=""  91             :     3   (5D1) 4D ""","="""""
"=""4f8.(7F).5d.6s2""","=""6F""","=""11/2""","=""""","=""0.8274898""","=""""","=""""","=""""","=""1.32""","=""  71             :    12   (7F) 6G  ""","="""""
"=""4f8.(7F).5d.6s2""","=""6F""","=""9/2""","=""""","=""0.9700759""","=""""","=""""","=""0.142586""","=""1.433""","=""  66             :    12   (7F) 6D  ""","="""""
"=""4f8.(7F).5d.6s2""","=""6F""","=""7/2""","=""""","=""1.1151957""","=""""","=""""","=""0.145120""","=""1.414""","=""  71             :    12   (7F) 6D  ""","="""""
"=""4f8.(7F).5d.6s2""","=""6F""","=""5/2""","=""""","=""1.2436049""","=""""","=""""","=""0.128409""","=""1.305""","=""  79             :     6   (7F) 6D  ""","="""""
"=""4f8.(7F).5d.6s2""","=""6G""","=""5/2""","=""""","=""""","=""""","=""""","=""""","=""""","=""  73             :     6   (7F) 6D  ""","="""""
"=""4f8.(7F).5d.6s2""","=""6G""","=""3/2""","=""""","=""""","=""""","=""""","=""""","=""""","=""  82             :     4   (7F) 8H  ""","="""""
"=""4f8.(7F).5d.6s2""","=""6G""","=""13/2""","=""""","=""0.8753160""","=""""","=""""","=""""","=""1.38""","=""  75             :    11   (7F) 6H  ""","="""""
"=""4f8.(7F).5d.6s2""","=""6G""","=""11/2""","=""""","=""1.1074417""","=""""","=""""","=""0.232126""","=""1.47""","=""  64             :    11   (7F) 6F  ""","="""""
"=""4f8.(7F).5d.6s2""","=""6G""","=""9/2""","=""""","=""1.238197""","=""""","=""""","=""0.130755""","=""""","=""  60             :    17   (7F) 6D  ""","="""""
"=""4f8.(7F).5d.6s2""","=""6G""","=""7/2""","=""""","=""1.377101""","=""""","=""""","=""0.13890""","=""""","=""  53             :    14   (7F) 6F  ""","="""""
"=""4f8.(7F).5d.6s2""","=""6H""","=""5/2""","=""""","=""""","=""""","=""""","=""""","=""""","=""  89             :     3   (5D1) 4G ""","="""""
"=""4f8.(7F).5d.6s2""","=""6H""","=""15/2""","=""""","=""0.9629871""","=""""","=""""","=""""","=""1.342""","=""  67             :    28   (7F) 8H  ""","="""""
"=""4f8.(7F).5d.6s2""","=""6H""","=""13/2""","=""""","=""1.2104602""","=""""","=""""","=""0.247473""","=""1.30""","=""  73             :    15   (7F) 8H  ""","="""""
"=""4f8.(7F).5d.6s2""","=""6H""","=""11/2""","=""""","=""1.3635596""","=""""","=""""","=""0.153099""","=""1.21""","=""  75             :    11   (7F) 8H  ""","="""""
"=""4f8.(7F).5d.6s2""","=""6H""","=""9/2""","=""""","=""1.4823867""","=""""","=""""","=""0.118827""","=""""","=""  78             :     8   (7F) 8H  ""","="""""
"=""4f8.(7F).5d.6s2""","=""6H""","=""7/2""","=""""","=""1.5763413""","=""?""","=""""","=""0.093955""","=""""","=""  70             :     7   (7F) 6D  ""","="""""
"=""4f8.(7F).5d.6s2""","=""8P""","=""5/2""","=""""","=""""","=""""","=""""","=""""","=""""","=""  83             :     6   (7F)2 6P ""","="""""
"=""4f8.(7F).5d.6s2""","=""8P""","=""9/2""","=""""","=""1.0040085""","=""""","=""""","=""""","=""1.75""","=""  64             :    17   (7F) 8D  ""","="""""
"=""4f8.(7F).5d.6s2""","=""8P""","=""7/2""","=""""","=""1.2801046""","=""""","=""""","=""0.276096""","=""1.916""","=""  68             :    16   (7F) 6P  ""","="""""
"=""4f8.(7F).5d2.(3F) (9G).6s""","=""10G""","=""1/2""","=""""","=""""","=""""","=""""","=""""","=""""","=""                                    ""","="""""
"=""4f8.(7F).5d2.(3F) (9G).6s""","=""10G""","=""15/2""","=""""","=""1.0154882""","=""""","=""""","=""""","=""1.54""","=""                                    ""","="""""
"=""4f8.(7F).5d2.(3F) (9G).6s""","=""10G""","=""13/2""","=""""","=""1.0262222""","=""""","=""""","=""0.010734""","=""1.57""","=""                                    ""","="""""
"=""4f8.(7F).5d2.(3F) (9G).6s""","=""10G""","=""17/2""","=""""","=""1.0546976""","=""""","=""""","=""0.028475""","=""1.53""","=""                                    ""","="""""
"=""4f8.(7F).5d2.(3F) (9G).6s""","=""10G""","=""11/2""","=""""","=""1.0719934""","=""""","=""""","=""0.017296""","=""1.60""","=""                                    ""","="""""
"=""4f8.(7F).5d2.(3F) (9G).6s""","=""10G""","=""9/2""","=""""","=""1.1338640""","=""""","=""""","=""0.061871""","=""1.67""","=""                                    ""","="""""
"=""4f8.(7F).5d2.(3F) (9G).6s""","=""10G""","=""7/2""","=""""","=""1.2234327""","=""""","=""""","=""0.089569""","=""1.68""","=""                                    ""","="""""
"=""4f8.(7F).5d2.(3F) (9G).6s""","=""10G""","=""5/2""","=""""","=""1.2964618""","=""""","=""""","=""0.073029""","=""1.80""","=""                                    ""","="""""
"=""4f8.(7F).5d2.(3F) (9G).6s""","=""10G""","=""3/2""","=""""","=""1.3539298""","=""""","=""""","=""0.057468""","=""2.145""","=""                                    ""","="""""
"=""4f8.(7F).5d2.(3F) (9D).6s?""","=""10D?""","=""9/2""","=""""","=""1.2271621""","=""""","=""""","=""-0.126768""","=""1.81""","=""                                    ""","="""""
"=""4f8.(7F).5d.6s2""","=""6D""","=""9/2""","=""""","=""1.324172""","=""""","=""""","=""0.097010""","=""""","=""  59             :    16   (7F) 6F  ""","="""""
"=""4f8.(7F).5d2.(3F) (9F).6s?""","=""10F?""","=""11/2""","=""""","=""1.396113""","=""""","=""""","=""0.07194""","=""1.68""","=""                                    ""","="""""
"=""4f8.(7F).5d2.(3F) (9H).6s?""","=""10H?""","=""19/2""","=""""","=""1.404882""","=""""","=""""","=""0.00877""","=""1.46""","=""                                    ""","="""""
"=""4f8.(7F).5d2.(3F) (9F).6s?""","=""10F?""","=""13/2""","=""""","=""1.416636""","=""""","=""""","=""0.01175""","=""""","=""                                    ""","="""""
"=""4f8.(7F).5d2.(3F) (9F).6s?""","=""10F?""","=""15/2""","=""""","=""1.435821""","=""""","=""""","=""0.01919""","=""""","=""                                    ""","="""""
"=""4f8.(7F).5d2.(3F) (9H).6s?""","=""10H?""","=""17/2""","=""""","=""1.472833""","=""""","=""""","=""0.03701""","=""1.43""","=""                                    ""","="""""
"=""""","=""""","=""9/2""","=""""","=""1.516113""","=""""","=""""","=""0.04328""","=""""","=""                                    ""","="""""
"=""""","=""""","=""7/2""","=""""","=""1.518929""","=""""","=""""","=""0.00282""","=""""","=""                                    ""","="""""
"=""4f8.(7F).5d2.(3F) (9I).6s""","=""10I""","=""21/2""","=""""","=""1.522935""","=""""","=""""","=""0.00401""","=""""","=""                                    ""","="""""
"=""4f8.(7F).5d.6s2?""","=""6D?""","=""5/2""","=""""","=""1.524565""","=""?""","=""""","=""0.00163""","=""""","=""  60             :    17   (7F) 6P  ""","="""""
"=""4f8.(7F).5d2.6s?""","=""8G?""","=""11/2""","=""""","=""1.543993""","=""""","=""""","=""0.01943""","=""""","=""                                    ""","="""""
"=""4f8.(7F).5d2.6s?""","=""8G?""","=""13/2""","=""""","=""1.546795""","=""""","=""""","=""0.00280""","=""""","=""                                    ""","="""""
"=""4f8.(7F).5d2.(3F) (9H).6s?""","=""10H?""","=""15/2""","=""""","=""1.565756""","=""""","=""""","=""0.01896""","=""""","=""                                    ""","="""""
"=""4f8.(7F).5d.6s2?""","=""""","=""7/2""","=""""","=""1.567820""","=""""","=""""","=""0.00206""","=""""","=""  38  6D         :    31   (7F) 6P  ""","="""""
"=""4f8.(7F).5d2.6s?""","=""8G?""","=""9/2""","=""""","=""1.584061""","=""""","=""""","=""0.01624""","=""""","=""                                    ""","="""""
"=""""","=""""","=""13/2""","=""""","=""1.600214""","=""""","=""""","=""0.01615""","=""""","=""                                    ""","="""""
"=""4f8.(7F).5d2.6s?""","=""8G?""","=""15/2""","=""""","=""1.603445""","=""""","=""""","=""0.00323""","=""""","=""                                    ""","="""""
"=""""","=""""","=""11/2""","=""""","=""1.620635""","=""""","=""""","=""0.01719""","=""""","=""                                    ""","="""""
"=""""","=""""","=""13/2""","=""""","=""1.626236""","=""""","=""""","=""0.00560""","=""""","=""                                    ""","="""""
"=""4f8.(7F).5d2.6s?""","=""8G?""","=""7/2""","=""""","=""1.646167""","=""""","=""""","=""0.01993""","=""""","=""                                    ""","="""""
"=""4f8.(7F).5d2.(3F) (9I).6s?""","=""10I?""","=""19/2""","=""""","=""1.661190""","=""""","=""""","=""0.01502""","=""""","=""                                    ""","="""""
"=""4f8.(7F<6>).6s2.6p<1/2>""","=""(6,1/2)*""","=""11/2""","=""""","=""1.688202""","=""""","=""""","=""0.02701""","=""1.555""","=""                                    ""","="""""
"=""4f8.(7F<6>).6s2.6p<1/2>""","=""(6,1/2)*""","=""13/2""","=""""","=""1.688998""","=""""","=""""","=""0.00080""","=""1.45""","=""                                    ""","="""""
"=""""","=""""","=""11/2""","=""""","=""1.694425""","=""""","=""""","=""0.00543""","=""""","=""                                    ""","="""""
"=""""","=""""","=""7/2""","=""""","=""1.702194""","=""""","=""""","=""0.00777""","=""""","=""                                    ""","="""""
"=""""","=""""","=""9/2""","=""""","=""1.704958""","=""""","=""""","=""0.00276""","=""""","=""                                    ""","="""""
"=""4f8.5d2.6s?""","=""""","=""17/2""","=""""","=""1.737875""","=""""","=""""","=""0.03292""","=""""","=""                                    ""","="""""
"=""4f8.5d2.6s?""","=""""","=""15/2""","=""""","=""1.806409""","=""?""","=""""","=""0.06853""","=""""","=""                                    ""","="""""
"=""4f8.5d2.6s?""","=""""","=""17/2""","=""""","=""1.824813""","=""""","=""""","=""0.01840""","=""1.400""","=""                                    ""","="""""
"=""4f9.(6H*<15/2>).6s.6p.(3P*<0>)?""","=""(15/2,0)?""","=""15/2""","=""""","=""1.845890""","=""""","=""""","=""0.02108""","=""1.391""","=""                                    ""","="""""
"=""4f8.(7F).5d.6s.6p?""","=""10H*?""","=""13/2""","=""""","=""1.859627""","=""""","=""""","=""0.01374""","=""""","=""                                    ""","="""""
"=""4f9.(6H*).5d.6s?""","=""*""","=""15/2""","=""""","=""1.872031""","=""""","=""""","=""0.01240""","=""""","=""                                    ""","="""""
"=""4f8.(7F).5d.6s.6p?""","=""*""","=""11/2""","=""""","=""1.883225""","=""""","=""""","=""0.01119""","=""1.590""","=""                                    ""","="""""
"=""4f8.5d2.6s?""","=""8H?""","=""17/2""","=""""","=""1.883228""","=""""","=""""","=""0.00000""","=""1.409""","=""                                    ""","="""""
"=""4f8.(7F).5d.6s.6p?""","=""10H*?""","=""15/2""","=""""","=""1.884686""","=""""","=""""","=""0.00146""","=""1.48?""","=""                                    ""","="""""
"=""4f8.(7F<5>).6s2.6p<1/2>?""","=""(5,1/2)*?""","=""9/2""","=""""","=""1.901884""","=""""","=""""","=""0.01720""","=""1.57""","=""                                    ""","="""""
"=""4f8.(7F<5>).6s2.6p<1/2>?""","=""(5,1/2)*?""","=""11/2""","=""""","=""1.978002""","=""""","=""""","=""0.07612""","=""1.47""","=""                                    ""","="""""
"=""""","=""""","=""15/2""","=""""","=""1.907843""","=""""","=""""","=""-0.07016""","=""1.367""","=""                                    ""","="""""
"=""4f8.(7F).5d.6s.6p?""","=""10H*?""","=""17/2""","=""""","=""1.958782""","=""""","=""""","=""0.05094""","=""""","=""                                    ""","="""""
"=""4f8.(7F).5d.6s.6p?""","=""*""","=""9/2""","=""""","=""1.962071""","=""""","=""""","=""0.00329""","=""1.62""","=""                                    ""","="""""
"=""""","=""*""","=""13/2""","=""""","=""1.989148""","=""""","=""""","=""0.02708""","=""1.370""","=""                                    ""","="""""
"=""4f8.(7F).5d.6s.6p?""","=""*""","=""15/2""","=""""","=""1.990150""","=""""","=""""","=""0.00100""","=""1.475""","=""                                    ""","="""""
"=""4f8.(7F<6>).6s2.6p<3/2>?""","=""(6,3/2)*?""","=""13/2""","=""""","=""2.019235""","=""""","=""""","=""0.02909""","=""1.430""","=""                                    ""","="""""
"=""""","=""""","=""15/2""","=""""","=""2.026311""","=""""","=""""","=""0.00708""","=""1.397""","=""                                    ""","="""""
"=""4f9.6s.6p?""","=""""","=""15/2""","=""""","=""2.037200""","=""""","=""""","=""0.01089""","=""1.46?""","=""                                    ""","="""""
"=""""","=""*""","=""7/2""","=""""","=""2.039974""","=""""","=""""","=""0.00277""","=""1.63""","=""                                    ""","="""""
"=""""","=""*""","=""11/2""","=""""","=""2.051187""","=""""","=""""","=""0.01121""","=""1.535""","=""                                    ""","="""""
"=""4f8.(7F<6>).6s2.6p<3/2>?""","=""(6,3/2)*?""","=""15/2""","=""""","=""2.072893""","=""""","=""""","=""0.02171""","=""1.35""","=""                                    ""","="""""
"=""""","=""*""","=""7/2""","=""""","=""2.073333""","=""""","=""""","=""0.00044""","=""1.590""","=""                                    ""","="""""
"=""4f8.5d.6s.6p?""","=""*""","=""13/2""","=""""","=""2.114206""","=""""","=""""","=""0.04087""","=""1.52""","=""                                    ""","="""""
"=""""","=""*""","=""11/2""","=""""","=""2.122451""","=""""","=""""","=""0.00825""","=""1.50""","=""                                    ""","="""""
"=""""","=""*""","=""9/2""","=""""","=""2.127883""","=""""","=""""","=""0.00543""","=""1.44""","=""                                    ""","="""""
"=""4f9.(6H*<15/2>).6s.6p.(3P*<2>)?""","=""(15/2,2)?""","=""17/2""","=""""","=""2.138677""","=""""","=""""","=""0.01079""","=""""","=""                                    ""","="""""
"=""4f9.(6H*<15/2>).6s.6p.(3P*<2>)?""","=""(15/2,2)?""","=""13/2""","=""""","=""2.216339""","=""""","=""""","=""0.07766""","=""""","=""                                    ""","="""""
"=""""","=""*""","=""5/2""","=""""","=""2.144100""","=""""","=""""","=""-0.07224""","=""1.69""","=""                                    ""","="""""
"=""""","=""*""","=""13/2""","=""""","=""2.150124""","=""""","=""""","=""0.00602""","=""""","=""                                    ""","="""""
"=""""","=""*""","=""11/2""","=""""","=""2.151247""","=""""","=""""","=""0.00112""","=""1.340""","=""                                    ""","="""""
"=""4f8.(7F).5d.6s.6p?""","=""10H*?""","=""19/2""","=""""","=""2.157476""","=""""","=""""","=""0.00623""","=""""","=""                                    ""","="""""
"=""4f8.5d.6s.6p?""","=""*""","=""15/2""","=""""","=""2.158518""","=""""","=""""","=""0.00104""","=""1.55""","=""                                    ""","="""""
"=""""","=""*""","=""9/2""","=""""","=""2.159434""","=""""","=""""","=""0.00092""","=""1.660""","=""                                    ""","="""""
"=""""","=""*""","=""13/2""","=""""","=""2.162417""","=""""","=""""","=""0.00298""","=""""","=""                                    ""","="""""
"=""""","=""*""","=""5/2""","=""""","=""2.177264""","=""""","=""""","=""0.01485""","=""1.56""","=""                                    ""","="""""
"=""4f8.5d.6s.6p?""","=""*""","=""11/2""","=""""","=""2.199554""","=""""","=""""","=""0.02229""","=""1.64""","=""                                    ""","="""""
"=""""","=""*""","=""9/2""","=""""","=""2.201139""","=""""","=""""","=""0.00158""","=""1.520""","=""                                    ""","="""""
"=""4f8.5d.6s.6p?""","=""*""","=""17/2""","=""""","=""2.223337""","=""""","=""""","=""0.02220""","=""1.51""","=""                                    ""","="""""
"=""4f8.(7F<2>).6s2.6p<1/2>?""","=""(2,1/2)*?""","=""3/2""","=""""","=""2.223849""","=""""","=""""","=""0.00051""","=""1.78""","=""                                    ""","="""""
"=""4f8.5d.6s.6p?""","=""*""","=""15/2""","=""""","=""2.237058""","=""""","=""""","=""0.01321""","=""1.48""","=""                                    ""","="""""
"=""""","=""*""","=""7/2""","=""""","=""2.246689""","=""""","=""""","=""0.00963""","=""1.56""","=""                                    ""","="""""
"=""4f8.5d.6s.6p?""","=""*""","=""13/2""","=""""","=""2.248563""","=""""","=""""","=""0.00187""","=""1.46""","=""                                    ""","="""""
"=""""","=""*""","=""11/2""","=""""","=""2.254402""","=""""","=""""","=""0.00584""","=""1.47""","=""                                    ""","="""""
"=""""","=""*""","=""3/2""","=""""","=""2.255633""","=""""","=""""","=""0.00123""","=""1.480""","=""                                    ""","="""""
"=""""","=""*""","=""7/2""","=""""","=""2.263999""","=""""","=""""","=""0.00837""","=""1.48""","=""                                    ""","="""""
"=""""","=""*""","=""11/2""","=""""","=""2.274326""","=""""","=""""","=""0.01033""","=""1.45""","=""                                    ""","="""""
"=""4f8.(7F<1>).6s2.6p<1/2>?""","=""(1,1/2)*?""","=""1/2""","=""""","=""2.281007""","=""""","=""""","=""0.00668""","=""2.35""","=""                                    ""","="""""
"=""4f9.5d.6s?""","=""*""","=""15/2""","=""""","=""2.282617""","=""""","=""""","=""0.00161""","=""""","=""                                    ""","="""""
"=""4f8.5d.6s.6p?""","=""*""","=""11/2""","=""""","=""2.288980""","=""""","=""""","=""0.00636""","=""1.555""","=""                                    ""","="""""
"=""""","=""*""","=""9/2""","=""""","=""2.293361""","=""""","=""""","=""0.00438""","=""1.465""","=""                                    ""","="""""
"=""""","=""*""","=""1/2""","=""""","=""2.302749""","=""""","=""""","=""0.00939""","=""0.51""","=""                                    ""","="""""
"=""4f8.5d.6s.6p?""","=""*""","=""13/2""","=""""","=""2.307004""","=""""","=""""","=""0.00426""","=""1.48""","=""                                    ""","="""""
"=""""","=""*""","=""9/2""","=""""","=""2.307528""","=""""","=""""","=""0.00052""","=""1.38""","=""                                    ""","="""""
"=""""","=""*""","=""9/2""","=""""","=""2.311747""","=""""","=""""","=""0.00422""","=""1.54""","=""                                    ""","="""""
"=""""","=""*""","=""5/2""","=""""","=""2.319743""","=""""","=""""","=""0.00800""","=""1.596""","=""                                    ""","="""""
"=""""","=""*""","=""13/2""","=""""","=""2.331525""","=""""","=""""","=""0.01178""","=""1.435""","=""                                    ""","="""""
"=""""","=""*""","=""9/2""","=""""","=""2.337214""","=""""","=""""","=""0.00569""","=""1.310""","=""                                    ""","="""""
"=""""","=""*""","=""15/2""","=""""","=""2.341037""","=""""","=""""","=""0.00382""","=""1.46""","=""                                    ""","="""""
"=""""","=""*""","=""11/2""","=""""","=""2.341103""","=""""","=""""","=""0.00007""","=""1.44""","=""                                    ""","="""""
"=""""","=""*""","=""5/2""","=""""","=""2.345214""","=""""","=""""","=""0.00411""","=""1.385""","=""                                    ""","="""""
"=""""","=""*""","=""7/2""","=""""","=""2.358807""","=""""","=""""","=""0.01359""","=""1.54""","=""                                    ""","="""""
"=""4f8.5d.6s.6p?""","=""*""","=""15/2""","=""""","=""2.365635""","=""""","=""""","=""0.00683""","=""1.48""","=""                                    ""","="""""
"=""""","=""*""","=""3/2""","=""""","=""2.369195""","=""""","=""""","=""0.00356""","=""1.75""","=""                                    ""","="""""
"=""4f8.5d.6s.6p?""","=""*""","=""17/2""","=""""","=""2.371997""","=""""","=""""","=""0.00280""","=""1.41""","=""                                    ""","="""""
"=""""","=""*""","=""9/2""","=""""","=""2.374925""","=""""","=""""","=""0.00293""","=""1.600""","=""                                    ""","="""""
"=""4f8.5d.6s.6p?""","=""*""","=""17/2""","=""""","=""2.375824""","=""""","=""""","=""0.00090""","=""1.30""","=""                                    ""","="""""
"=""""","=""*""","=""13/2""","=""""","=""2.389173""","=""""","=""""","=""0.01335""","=""1.35""","=""                                    ""","="""""
"=""""","=""*""","=""3/2""","=""""","=""2.389981""","=""""","=""""","=""0.00081""","=""1.065""","=""                                    ""","="""""
"=""""","=""*""","=""7/2""","=""""","=""2.394176""","=""""","=""""","=""0.00419""","=""1.584""","=""                                    ""","="""""
"=""""","=""*""","=""1/2""","=""""","=""2.394532""","=""""","=""""","=""0.00036""","=""3.50""","=""                                    ""","="""""
"=""""","=""*""","=""11/2""","=""""","=""2.395037""","=""""","=""""","=""0.00050""","=""1.36""","=""                                    ""","="""""
