Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Leading percentages,Reference
"=""4d5.5s2""","=""6S""","=""5/2""","=""""","=""0.000000""","=""""","=""0""","=""""","=""1.99""","=""  99                                            ""","=""L149,L14280"""
"=""4d6.(5D).5s""","=""6D""","=""9/2""","=""""","=""0.318998""","=""""","=""""","=""0.318998""","=""1.60""","=""  99                                            ""","=""L149,L14280"""
"=""4d6.(5D).5s""","=""6D""","=""7/2""","=""""","=""0.403061""","=""""","=""""","=""0.08406""","=""1.59""","=""  99                                            ""","=""L149,L14280"""
"=""4d6.(5D).5s""","=""6D""","=""5/2""","=""""","=""0.458808""","=""""","=""""","=""0.05575""","=""1.65""","=""  99                                            ""","=""L149,L14280"""
"=""4d6.(5D).5s""","=""6D""","=""3/2""","=""""","=""0.496255""","=""""","=""""","=""0.03745""","=""1.86""","=""  99                                            ""","=""L149,L14280"""
"=""4d6.(5D).5s""","=""6D""","=""1/2""","=""""","=""0.518099""","=""""","=""""","=""0.02184""","=""3.32""","=""  99                                            ""","=""L149,L14280"""
"=""4d6.(5D).5s""","=""4D""","=""7/2""","=""""","=""1.303884""","=""""","=""""","=""0.78579""","=""1.44""","=""  89         :     8  4d5.5s2              4D   ""","=""L149,L14280"""
"=""4d6.(5D).5s""","=""4D""","=""5/2""","=""""","=""1.371646""","=""""","=""""","=""0.06776""","=""1.37""","=""  82         :     9  4d5.5s2              4D   ""","=""L149,L14280"""
"=""4d6.(5D).5s""","=""4D""","=""3/2""","=""""","=""1.435563""","=""""","=""""","=""0.06392""","=""1.21""","=""  86         :    10  4d5.5s2              4D   ""","=""L149,L14280"""
"=""4d6.(5D).5s""","=""4D""","=""1/2""","=""""","=""1.474259""","=""""","=""""","=""0.03870""","=""0.02""","=""  88         :    10  4d5.5s2              4D   ""","=""L149,L14280"""
"=""4d6.(3P2).5s""","=""4P""","=""5/2""","=""""","=""1.643130""","=""""","=""""","=""0.16887""","=""1.62""","=""  43         :    19  4d5.5s2              4P   ""","=""L149,L14280"""
"=""4d6.(3P2).5s""","=""4P""","=""3/2""","=""""","=""1.756825""","=""""","=""""","=""0.11370""","=""1.70""","=""  41         :    25  4d5.5s2              4P   ""","=""L149,L14280"""
"=""4d6.(3P2).5s""","=""4P""","=""1/2""","=""""","=""1.820076""","=""""","=""""","=""0.06325""","=""2.63""","=""  40         :    30  4d5.5s2              4P   ""","=""L149,L14280"""
"=""4d7""","=""4F""","=""9/2""","=""""","=""1.826677""","=""""","=""""","=""0.00660""","=""1.31""","=""  46         :    36  4d6.(3F2).5s         4F   ""","=""L149,L14280"""
"=""4d7""","=""4F""","=""7/2""","=""""","=""2.576867""","=""""","=""""","=""0.75019""","=""""","=""  30         :    21  4d6.(3F2).5s         4F   ""","=""L149,L14280"""
"=""4d7""","=""4F""","=""5/2""","=""""","=""2.629251""","=""""","=""""","=""0.05238""","=""""","=""  41         :    18  4d6.(3F2).5s         4F   ""","=""L149,L14280"""
"=""4d7""","=""4F""","=""3/2""","=""""","=""2.659147""","=""""","=""""","=""0.02990""","=""""","=""  39         :    22  4d6.(3F2).5s         4F   ""","=""L149,L14280"""
"=""4d6.(3F2).5s""","=""4F""","=""7/2""","=""""","=""1.896767""","=""""","=""""","=""-0.76238""","=""1.20""","=""  41         :    38  4d7                  4F   ""","=""L149,L14280"""
"=""4d6.(3F2).5s""","=""4F""","=""5/2""","=""""","=""1.937160""","=""""","=""""","=""0.04039""","=""1.02""","=""  45         :    36  4d7                  4F   ""","=""L149,L14280"""
"=""4d6.(3F2).5s""","=""4F""","=""3/2""","=""""","=""1.955283""","=""""","=""""","=""0.01812""","=""0.42""","=""  49         :    35  4d7                  4F   ""","=""L149,L14280"""
"=""4d6.(3F2).5s""","=""4F""","=""9/2""","=""""","=""2.453888""","=""""","=""""","=""0.49860""","=""""","=""  26         :    37  4d7                  4F   ""","=""L149,L14280"""
"=""4d5.5s2""","=""4G""","=""11/2""","=""""","=""1.986865""","=""""","=""""","=""-0.46702""","=""1.23""","=""  40         :    39  4d6.(3G).5s          4G   ""","=""L149,L14280"""
"=""4d5.5s2""","=""4G""","=""9/2""","=""""","=""2.000359""","=""""","=""""","=""0.01349""","=""1.17""","=""  41         :    34  4d6.(3G).5s          4G   ""","=""L149,L14280"""
"=""4d5.5s2""","=""4G""","=""7/2""","=""""","=""2.019429""","=""""","=""""","=""0.01907""","=""0.95""","=""  47         :    30  4d6.(3G).5s          4G   ""","=""L149,L14280"""
"=""4d5.5s2""","=""4G""","=""5/2""","=""""","=""2.035280""","=""""","=""""","=""0.01585""","=""0.58""","=""  64         :    31  4d6.(3G).5s          4G   ""","=""L149,L14280"""
"=""4d5.(6S).5s.(7S).5p""","=""8P*""","=""5/2""","=""""","=""2.036900""","=""""","=""""","=""0.00162""","=""2.30""","=""  98                                            ""","=""L149,L14280"""
"=""4d5.(6S).5s.(7S).5p""","=""8P*""","=""7/2""","=""""","=""2.092173""","=""""","=""""","=""0.05527""","=""1.94""","=""  98                                            ""","=""L149,L14280"""
"=""4d5.(6S).5s.(7S).5p""","=""8P*""","=""9/2""","=""""","=""2.172565""","=""""","=""""","=""0.08039""","=""1.80""","=""  99                                            ""","=""L149,L14280"""
"=""4d6.(3H).5s""","=""4H""","=""13/2""","=""""","=""2.052359""","=""""","=""""","=""-0.12021""","=""""","=""  99                                            ""","=""L149,L14280"""
"=""4d6.(3H).5s""","=""4H""","=""11/2""","=""""","=""2.125932""","=""""","=""""","=""0.07357""","=""""","=""  77         :    18  4d5.5s2              4G   ""","=""L149,L14280"""
"=""4d6.(3H).5s""","=""4H""","=""7/2""","=""""","=""2.142773""","=""""","=""""","=""0.01684""","=""""","=""  79         :    15  4d5.5s2              4G   ""","=""L149,L14280"""
"=""4d6.(3H).5s""","=""4H""","=""9/2""","=""""","=""2.148401""","=""""","=""""","=""0.00563""","=""""","=""  76         :    19  4d5.5s2              4G   ""","=""L149,L14280"""
"=""4d6.(3D).5s""","=""4D""","=""3/2""","=""""","=""2.442832""","=""""","=""""","=""0.29443""","=""""","=""  32         :    26  4d5.5s2              4D   ""","=""L149,L14280"""
"=""4d6.(3D).5s""","=""4D""","=""1/2""","=""""","=""2.458297""","=""""","=""""","=""0.01546""","=""""","=""  50         :    40  4d5.5s2              4D   ""","=""L149,L14280"""
"=""4d6.(3D).5s""","=""4D""","=""7/2""","=""""","=""3.106865""","=""""","=""""","=""0.64857""","=""""","=""  48         :    39  4d5.5s2              4D   ""","=""L149,L14280"""
"=""4d6.(3D).5s""","=""4D""","=""5/2""","=""""","=""3.121194""","=""""","=""""","=""0.01433""","=""""","=""  32         :    38  4d5.5s2              4D   ""","=""L149,L14280"""
"=""4d5.5s2""","=""4D""","=""5/2""","=""""","=""2.466716""","=""""","=""""","=""-0.65448""","=""""","=""  42         :    42  4d6.(3D).5s          4D   ""","=""L149,L14280"""
"=""4d5.5s2""","=""4D""","=""7/2""","=""""","=""2.467728""","=""""","=""""","=""0.00101""","=""""","=""  27         :    27  4d6.(3D).5s          4D   ""","=""L149,L14280"""
"=""4d5.5s2""","=""4D""","=""3/2""","=""""","=""3.149904""","=""""","=""""","=""0.68218""","=""""","=""  41         :    39  4d6.(3D).5s          4D   ""","=""L149,L14280"""
"=""4d6.(3D).5s""","=""2P""","=""3/2""","=""""","=""2.508352""","=""""","=""""","=""-0.64155""","=""""","=""  11         :    17  4d5.5s2              4D   ""","=""L149,L14280"""
"=""4d6.(3F2).5s""","=""2F""","=""7/2""","=""""","=""2.527386""","=""""","=""""","=""0.01903""","=""""","=""  13         :    18  4d6.(3D).5s          4D   ""","=""L149,L14280"""
"=""4d6.(3F2).5s""","=""2F""","=""5/2""","=""""","=""2.544570""","=""""","=""""","=""0.01718""","=""""","=""  26         :     9  4d6.(3D).5s          2D   ""","=""L149,L14280"""
"=""4d6.(3G).5s""","=""4G""","=""11/2""","=""""","=""2.558955""","=""""","=""""","=""0.01438""","=""""","=""  28         :    41  4d6.(3H).5s          2H   ""","=""L149,L14280"""
"=""4d6.(3G).5s""","=""4G""","=""9/2""","=""""","=""2.659521""","=""""","=""""","=""0.10057""","=""""","=""  48         :    28  4d5.5s2              4G   ""","=""L149,L14280"""
"=""4d6.(3G).5s""","=""4G""","=""7/2""","=""""","=""2.696922""","=""""","=""""","=""0.03740""","=""""","=""  55         :    26  4d5.5s2              4G   ""","=""L149,L14280"""
"=""4d6.(3G).5s""","=""4G""","=""5/2""","=""""","=""2.717752""","=""""","=""""","=""0.02083""","=""""","=""  44         :    19  4d5.5s2              4G   ""","=""L149,L14280"""
"=""4d6.(3D).5s""","=""2D""","=""5/2""","=""""","=""2.564769""","=""""","=""""","=""-0.15298""","=""""","=""  13         :    22  4d6.(3F2).5s         2F   ""","=""L149,L14280"""
"=""4d6.(3D).5s""","=""2D""","=""3/2""","=""""","=""2.718575""","=""""","=""""","=""0.15381""","=""""","=""  21         :    20  4d7                  4F   ""","=""L149,L14280"""
"=""4d6.(3H).5s""","=""2H""","=""9/2""","=""""","=""2.629080""","=""""","=""""","=""-0.08949""","=""""","=""  51         :    27  4d6.(3G).5s          2G   ""","=""L149,L14280"""
"=""4d6.(3H).5s""","=""2H""","=""11/2""","=""""","=""2.692916""","=""""","=""""","=""0.06384""","=""""","=""  45         :    29  4d6.(3G).5s          4G   ""","=""L149,L14280"""
"=""4d6.(3G).5s""","=""2G""","=""9/2""","=""""","=""2.749982""","=""""","=""""","=""0.05707""","=""""","=""  30         :    21  4d7                  2G   ""","=""L149,L14280"""
"=""4d6.(3G).5s""","=""2G""","=""7/2""","=""""","=""2.804019""","=""""","=""""","=""0.05404""","=""""","=""  55         :    21  4d7                  2G   ""","=""L149,L14280"""
"=""4d5.5s2""","=""4P""","=""5/2""","=""""","=""2.760565""","=""""","=""""","=""-0.04345""","=""""","=""  32         :    18  4d6.(3D).5s          2D   ""","=""L149,L14280"""
"=""4d5.5s2""","=""4P""","=""3/2""","=""""","=""2.790029""","=""""","=""""","=""0.02946""","=""""","=""  47         :    22  4d6.(3P1).5s         4P   ""","=""L149,L14280"""
"=""4d5.(6S).5s.(7S).5p""","=""6P*""","=""7/2""","=""""","=""2.884532""","=""""","=""""","=""0.09450""","=""1.70""","=""  70         :    17  4d6.(5D).5p          6P*  ""","=""L149,L14280"""
"=""4d5.(6S).5s.(7S).5p""","=""6P*""","=""5/2""","=""""","=""2.908075""","=""""","=""""","=""0.02354""","=""1.90""","=""  70         :    14  4d6.(5D).5p          6P*  ""","=""L149,L14280"""
"=""4d5.(6S).5s.(7S).5p""","=""6P*""","=""3/2""","=""""","=""2.924589""","=""""","=""""","=""0.01651""","=""2.42""","=""  71         :    12  4d6.(5D).5p          6P*  ""","=""L149,L14280"""
"=""""","=""3""","=""7/2""","=""""","=""2.908673""","=""?""","=""""","=""-0.01592""","=""""","=""                                                ""","=""L149"""
"=""4d6.(1G2).5s""","=""2G""","=""7/2""","=""""","=""2.970384""","=""""","=""""","=""0.06171""","=""""","=""  53         :    12  4d5.5s2              2G2  ""","=""L149,L14280"""
"=""4d6.(1G2).5s""","=""2G""","=""9/2""","=""""","=""2.993863""","=""""","=""""","=""0.02348""","=""""","=""  45         :    12  4d5.5s2              2G2  ""","=""L149,L14280"""
"=""4d6.(1I).5s""","=""2I""","=""13/2""","=""""","=""3.041189""","=""""","=""""","=""0.04733""","=""""","=""  90         :     9  4d5.5s2              2I   ""","=""L149,L14280"""
"=""4d6.(1I).5s""","=""2I""","=""11/2""","=""""","=""3.045642""","=""""","=""""","=""0.00445""","=""""","=""  83         :    12  4d5.5s2              2I   ""","=""L149,L14280"""
"=""4d6.(1D2).5s""","=""2D""","=""5/2""","=""""","=""3.173785""","=""""","=""""","=""0.12814""","=""""","=""  15         :    32  4d7                  4P   ""","=""L149,L14280"""
"=""4d7""","=""4P""","=""3/2""","=""""","=""3.321362""","=""""","=""""","=""0.14758""","=""""","=""  42         :    13  4d6.(1D2).5s         2D   ""","=""L149,L14280"""
"=""4d7""","=""4P""","=""5/2""","=""""","=""3.333139""","=""""","=""""","=""0.01178""","=""""","=""  34         :    12  4d5.5s2              4P   ""","=""L149,L14280"""
