Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Leading percentages,Reference
"=""5p4""","=""3P""","=""2""","=""""","=""0.0000000""","=""""","=""0.0000004""","=""""","=""1.460(4)""","=""  93                         :     8  5p4               1D   ""","=""L3680"""
"=""5p4""","=""3P""","=""0""","=""""","=""0.5835310""","=""""","=""0.0000004""","=""0.5835310""","=""""","=""  90                         :    10  5p4               1S   ""","=""L3682"""
"=""5p4""","=""3P""","=""1""","=""""","=""0.5890132""","=""""","=""0.0000004""","=""0.0054822""","=""1.514(10)""","="" 100                                                         ""","=""L3682"""
"=""5p4""","=""1D""","=""2""","=""""","=""1.3090099""","=""""","=""0.0000004""","=""0.7199967""","=""1.037(3)""","=""  93                         :     8  5p4               3P   ""","=""L3682"""
"=""5p4""","=""1S""","=""0""","=""""","=""2.8762340""","=""""","=""0.0000004""","=""1.5672241""","=""""","=""  90                         :    10  5p4               3P   ""","=""L2104"""
"=""5p3.(4S*).6s""","=""5S*""","=""2""","=""""","=""5.4866727""","=""""","=""0.0000006""","=""2.6104387""","=""1.960(3)""","=""  92                         :     5  5p3.(2P*).6s      3P*  ""","=""L3682"""
"=""5p3.(4S*).6s""","=""3S*""","=""1""","=""""","=""5.7842023""","=""""","=""0.0000006""","=""0.2975296""","=""1.909(3)""","=""  91                         :     4  5p3.(2P*).6s      1P*  ""","=""L3682"""
"=""5p3.(4S*).6p""","=""5P""","=""1""","=""""","=""6.7149958""","=""""","=""0.0000006""","=""0.9307935""","=""2.388(2)""","=""  89                         :     4  5p3.(4S*).6p      3P   ""","=""L3682"""
"=""5p3.(4S*).6p""","=""5P""","=""2""","=""""","=""6.7198347""","=""""","=""0.0000006""","=""0.0048389""","=""1.762(1)""","=""  84                         :     7  5p3.(4S*).6p      3P   ""","=""L3682"""
"=""5p3.(4S*).6p""","=""5P""","=""3""","=""""","=""6.7615210""","=""""","=""0.0000006""","=""0.0416863""","=""1.636(3)""","=""  93                         :     6  5p3.(2P*).6p      3D   ""","=""L3682"""
