Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Leading percentages,Reference
"=""6d2.7s2""","=""3F""","=""2""","=""""","=""0.0000000000""","=""""","=""0.0000000012""","=""""","=""0.735""","=""  79                         :    14  6d2.7s2      1D   ""","=""L18702,L17451"""
"=""6d2.7s2""","=""3F""","=""3""","=""""","=""0.3557427977""","=""""","=""0.0000000021""","=""0.355742798""","=""1.085""","=""  95                         :     4  6d3.(2F).7s  3F   ""","=""L18702,L17451"""
"=""6d2.7s2""","=""3F""","=""4""","=""""","=""0.6151672932""","=""""","=""0.0000000024""","=""0.259424495""","=""1.210""","=""  79                         :    14  6d2.7s2      1G   ""","=""L18702,L17451"""
"=""6d2.7s2""","=""3P""","=""0""","=""""","=""0.3171586159""","=""""","=""0.0000000022""","=""-0.298008677""","=""0.0""","=""  70                         :    20  6d3.(2P).7s  3P   ""","=""L18702,L17451"""
"=""6d2.7s2""","=""3P""","=""1""","=""""","=""0.4792576672""","=""""","=""0.0000000020""","=""0.162099051""","=""1.480""","=""  68                         :    25  6d3.(2P).7s  3P   ""","=""L18702,L17451"""
"=""6d2.7s2""","=""""","=""2""","=""""","=""0.4572521355""","=""""","=""0.0000000016""","=""-0.022005532""","=""1.255""","=""  40  6d2.7s2 3P             :    22  6d2.7s2      1D   ""","=""L18702,L17451"""
"=""6d3.(4F).7s""","=""5F""","=""1""","=""""","=""0.6897416420""","=""""","=""0.0000000020""","=""0.232489506""","=""0.065""","=""  89                         :     5  6d3.(2D2).7s 3D   ""","=""L18702,L17451"""
"=""6d3.(4F).7s""","=""5F""","=""2""","=""""","=""0.7888365657""","=""""","=""0.0000000020""","=""0.099094924""","=""1.010""","=""  90                         :     4  6d3.(2D2).7s 3D   ""","=""L18702,L17451"""
"=""6d3.(4F).7s""","=""5F""","=""3""","=""""","=""0.9301651190""","=""""","=""0.0000000020""","=""0.141328553""","=""1.250""","=""  95                         :     2  6d3.(2D2).7s 3D   ""","=""L18702,L17451"""
"=""6d3.(4F).7s""","=""5F""","=""4""","=""""","=""1.0910919079""","=""""","=""0.0000000025""","=""0.160926789""","=""1.310""","=""  88                         :     5  6d3.(2G).7s  3G   ""","=""L18702,L17451"""
"=""6d3.(4F).7s""","=""5F""","=""5""","=""""","=""1.215641081""","=""""","=""0.000000003""","=""0.124549173""","=""1.365""","=""  82                         :    16  6d3.(2G).7s  3G   ""","=""L18702,L17451"""
