Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Reference
"=""5p6""","=""1S""","=""0""","=""""","=""0.0000000""","=""""","=""0""","=""""","=""""","=""L9794"""
"=""5p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""2""","=""""","=""8.3153161""","=""""","=""""","=""8.3153161""","=""1.50095""","=""L763"""
"=""5p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""1""","=""""","=""8.4365241""","=""""","=""""","=""0.121208""","=""1.2055""","=""L763"""
"=""5p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""0""","=""""","=""9.4471951""","=""""","=""""","=""1.010671""","=""""","=""L9794"""
"=""5p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""1""","=""""","=""9.5697254""","=""""","=""""","=""0.122530""","=""1.321""","=""L763"""
"=""5p5.(2P*<3/2>).6p""","=""2[1/2]""","=""1""","=""""","=""9.5801530""","=""""","=""""","=""0.010428""","=""1.852""","=""L763"""
"=""5p5.(2P*<3/2>).6p""","=""2[1/2]""","=""0""","=""""","=""9.9334853""","=""""","=""""","=""0.353332""","=""""","=""L763"""
"=""5p5.(2P*<3/2>).6p""","=""2[5/2]""","=""2""","=""""","=""9.6856205""","=""""","=""""","=""-0.247865""","=""1.11103""","=""L763"""
"=""5p5.(2P*<3/2>).6p""","=""2[5/2]""","=""3""","=""""","=""9.7207407""","=""""","=""""","=""0.035120""","=""1.336""","=""L763"""
"=""5p5.(2P*<3/2>).6p""","=""2[3/2]""","=""1""","=""""","=""9.7893002""","=""""","=""""","=""0.068559""","=""1.02348""","=""L763"""
"=""5p5.(2P*<3/2>).6p""","=""2[3/2]""","=""2""","=""""","=""9.8210940""","=""""","=""""","=""0.031794""","=""1.3836""","=""L763"""
"=""5p5.(2P*<3/2>).5d""","=""2[1/2]*""","=""0""","=""""","=""9.8903766""","=""""","=""""","=""0.069283""","=""""","=""L763"""
"=""5p5.(2P*<3/2>).5d""","=""2[1/2]*""","=""1""","=""""","=""9.9170767""","=""""","=""""","=""0.026700""","=""1.395""","=""L763"""
"=""5p5.(2P*<3/2>).5d""","=""2[7/2]*""","=""4""","=""""","=""9.9431148""","=""""","=""""","=""0.026038""","=""1.2506""","=""L763"""
"=""5p5.(2P*<3/2>).5d""","=""2[7/2]*""","=""3""","=""""","=""10.0390549""","=""""","=""""","=""0.095940""","=""1.0749""","=""L763"""
"=""5p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""2""","=""""","=""9.9587513""","=""""","=""""","=""-0.080304""","=""1.3750""","=""L763"""
"=""5p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""1""","=""""","=""10.4010308""","=""""","=""""","=""0.442279""","=""""","=""L763"""
"=""5p5.(2P*<3/2>).5d""","=""2[5/2]*""","=""2""","=""""","=""10.1574692""","=""""","=""""","=""-0.243562""","=""""","=""L763"""
"=""5p5.(2P*<3/2>).5d""","=""2[5/2]*""","=""3""","=""""","=""10.2200428""","=""""","=""""","=""0.062574""","=""""","=""L763"""
"=""5p5.(2P*<3/2>).7s""","=""2[3/2]*""","=""2""","=""""","=""10.5620622""","=""""","=""""","=""0.342019""","=""""","=""L763"""
"=""5p5.(2P*<3/2>).7s""","=""2[3/2]*""","=""1""","=""""","=""10.5932120""","=""""","=""""","=""0.031150""","=""""","=""L763"""
"=""5p5.(2P*<3/2>).7p""","=""2[1/2]""","=""1""","=""""","=""10.9015749""","=""""","=""""","=""0.308363""","=""1.7272""","=""L763"""
"=""5p5.(2P*<3/2>).7p""","=""2[1/2]""","=""0""","=""""","=""11.0150359""","=""""","=""""","=""0.113461""","=""""","=""L763"""
"=""5p5.(2P*<3/2>).7p""","=""2[5/2]""","=""2""","=""""","=""10.9542123""","=""""","=""""","=""-0.060824""","=""1.1276""","=""L763"""
"=""5p5.(2P*<3/2>).7p""","=""2[5/2]""","=""3""","=""""","=""10.9687845""","=""""","=""""","=""0.014572""","=""1.330""","=""L763"""
"=""5p5.(2P*<1/2>).6p""","=""2[3/2]""","=""1""","=""""","=""10.9576151""","=""""","=""""","=""-0.011169""","=""0.7925""","=""L763"""
"=""5p5.(2P*<1/2>).6p""","=""2[3/2]""","=""2""","=""""","=""11.0547232""","=""""","=""""","=""0.097108""","=""1.190""","=""L763"""
"=""5p5.(2P*<3/2>).6d""","=""2[1/2]*""","=""0""","=""""","=""10.9714882""","=""""","=""""","=""-0.083235""","=""""","=""L763"""
"=""5p5.(2P*<3/2>).6d""","=""2[1/2]*""","=""1""","=""""","=""10.9787729""","=""""","=""""","=""0.007285""","=""""","=""L763"""
"=""5p5.(2P*<3/2>).7p""","=""2[3/2]""","=""2""","=""""","=""10.9957246""","=""""","=""""","=""0.016952""","=""1.3520""","=""L763"""
"=""5p5.(2P*<3/2>).7p""","=""2[3/2]""","=""1""","=""""","=""11.0029230""","=""""","=""""","=""0.007198""","=""0.9039""","=""L763"""
"=""5p5.(2P*<3/2>).6d""","=""2[3/2]*""","=""2""","=""""","=""10.9984481""","=""""","=""""","=""-0.004475""","=""""","=""L763"""
"=""5p5.(2P*<3/2>).6d""","=""2[3/2]*""","=""1""","=""""","=""11.1625646""","=""""","=""""","=""0.164117""","=""""","=""L763"""
"=""5p5.(2P*<3/2>).6d""","=""2[7/2]*""","=""4""","=""""","=""11.0236449""","=""""","=""""","=""-0.138920""","=""""","=""L763"""
"=""5p5.(2P*<3/2>).6d""","=""2[7/2]*""","=""3""","=""""","=""11.0376796""","=""""","=""""","=""0.014035""","=""""","=""L763"""
"=""5p5.(2P*<3/2>).6d""","=""2[5/2]*""","=""2""","=""""","=""11.0647538""","=""""","=""""","=""0.027074""","=""""","=""L763"""
"=""5p5.(2P*<3/2>).6d""","=""2[5/2]*""","=""3""","=""""","=""11.1008716""","=""""","=""""","=""0.036118""","=""""","=""L763"""
"=""5p5.(2P*<1/2>).6p""","=""2[1/2]""","=""1""","=""""","=""11.0691488""","=""""","=""""","=""-0.031723""","=""1.551""","=""L763"""
"=""5p5.(2P*<1/2>).6p""","=""2[1/2]""","=""0""","=""""","=""11.1412219""","=""""","=""""","=""0.072073""","=""""","=""L763"""
"=""5p5.(2P*<3/2>).8s""","=""2[3/2]*""","=""2""","=""""","=""11.2583279""","=""""","=""""","=""0.117106""","=""1.465""","=""L763"""
"=""5p5.(2P*<3/2>).8s""","=""2[3/2]*""","=""1""","=""""","=""11.2741847""","=""""","=""""","=""0.015857""","=""1.182""","=""L763"""
"=""5p5.(2P*<3/2>).4f""","=""2[3/2]""","=""1""","=""""","=""11.2626969""","=""""","=""""","=""-0.011488""","=""0.4997""","=""L763"""
"=""5p5.(2P*<3/2>).4f""","=""2[3/2]""","=""2""","=""""","=""11.2638950""","=""""","=""""","=""0.001198""","=""1.11""","=""L763"""
"=""5p5.(2P*<3/2>).4f""","=""2[9/2]""","=""5""","=""""","=""11.2652855""","=""""","=""""","=""0.001390""","=""""","=""L763"""
"=""5p5.(2P*<3/2>).4f""","=""2[9/2]""","=""4""","=""""","=""11.2653910""","=""""","=""""","=""0.000106""","=""""","=""L763"""
"=""5p5.(2P*<3/2>).4f""","=""2[5/2]""","=""3""","=""""","=""11.2710427""","=""""","=""""","=""0.005652""","=""1.18""","=""L763"""
"=""5p5.(2P*<3/2>).4f""","=""2[5/2]""","=""2""","=""""","=""11.2714099""","=""""","=""""","=""0.000367""","=""0.86""","=""L763"""
"=""5p5.(2P*<3/2>).4f""","=""2[7/2]""","=""3""","=""""","=""11.2756251""","=""""","=""""","=""0.004215""","=""""","=""L763"""
"=""5p5.(2P*<3/2>).4f""","=""2[7/2]""","=""4""","=""""","=""11.2756354""","=""""","=""""","=""0.000010""","=""""","=""L763"""
"=""5p5.(2P*<1/2>).5d""","=""2[5/2]*""","=""2""","=""""","=""11.3014907""","=""""","=""""","=""0.025855""","=""""","=""L763"""
"=""5p5.(2P*<1/2>).5d""","=""2[5/2]*""","=""3""","=""""","=""11.3751242""","=""""","=""""","=""0.073633""","=""1.126""","=""L763"""
"=""5p5.(2P*<1/2>).5d""","=""2[3/2]*""","=""2""","=""""","=""11.3380418""","=""""","=""""","=""-0.037082""","=""1.274""","=""L763"""
"=""5p5.(2P*<1/2>).5d""","=""2[3/2]*""","=""1""","=""""","=""11.607182""","=""""","=""""","=""0.269140""","=""""","=""L3466"""
"=""5p5.(2P*<3/2>).7d""","=""2[1/2]*""","=""1""","=""""","=""11.4224518""","=""""","=""""","=""-0.184730""","=""1.273""","=""L763"""
"=""5p5.(2P*<3/2>).7d""","=""2[1/2]*""","=""0""","=""""","=""11.4387736""","=""""","=""""","=""0.016322""","=""""","=""L763"""
"=""5p5.(2P*<3/2>).8p""","=""2[1/2]""","=""1""","=""""","=""11.4255504""","=""""","=""""","=""-0.013223""","=""1.801""","=""L763"""
"=""5p5.(2P*<3/2>).8p""","=""2[1/2]""","=""0""","=""""","=""11.4753742""","=""""","=""""","=""0.049824""","=""""","=""L763"""
