Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Leading percentages,Reference
"=""4d2.5s2""","=""a 3F""","=""2""","=""""","=""0.000000""","=""""","=""0""","=""""","=""0.66""","=""  96  3F                                                              ""","=""L3465"""
"=""4d2.5s2""","=""a 3F""","=""3""","=""""","=""0.070722""","=""""","=""""","=""0.070722""","=""1.06""","=""  97  3F                                                              ""","="""""
"=""4d2.5s2""","=""a 3F""","=""4""","=""""","=""0.153845""","=""""","=""""","=""0.08312""","=""1.24""","=""  97  3F                                                              ""","="""""
"=""4d2.5s2""","=""a 3P""","=""2""","=""""","=""0.519011""","=""""","=""""","=""0.36517""","=""1.25""","=""  49  1D                            :    32  4d2.5s2             3P   ""","="""""
"=""4d2.5s2""","=""a 3P""","=""0""","=""""","=""0.520343""","=""""","=""""","=""0.00133""","=""0.00""","=""  74  3P                            :    23  4d3.(2P).5s         3P   ""","="""""
"=""4d2.5s2""","=""a 3P""","=""1""","=""""","=""0.542590""","=""""","=""""","=""0.02225""","=""1.48""","=""  74  3P                            :    24  4d3.(2P).5s         3P   ""","="""""
"=""4d3.(4F).5s""","=""a 5F""","=""1""","=""""","=""0.603869""","=""""","=""""","=""0.06128""","=""0.00""","="" 100  5F                                                              ""","="""""
"=""4d3.(4F).5s""","=""a 5F""","=""2""","=""""","=""0.622823""","=""""","=""""","=""0.01895""","=""0.98""","=""  98  5F                                                              ""","="""""
"=""4d3.(4F).5s""","=""a 5F""","=""3""","=""""","=""0.650802""","=""""","=""""","=""0.02798""","=""1.28""","=""  99  5F                                                              ""","="""""
"=""4d3.(4F).5s""","=""a 5F""","=""4""","=""""","=""0.686939""","=""""","=""""","=""0.03614""","=""1.31""","="" 100  5F                                                              ""","="""""
"=""4d3.(4F).5s""","=""a 5F""","=""5""","=""""","=""0.730134""","=""""","=""""","=""0.04319""","=""1.37""","="" 100  5F                                                              ""","="""""
"=""4d2.5s2""","=""a 1D""","=""2""","=""""","=""0.632528""","=""""","=""""","=""-0.09761""","=""1.25""","=""  42  3P                            :    36  4d2.5s2             1D   ""","="""""
"=""4d2.5s2""","=""a 1G""","=""4""","=""""","=""0.998978""","=""""","=""""","=""0.36645""","=""1.00""","=""  82  1G                            :    16  4d3.(2G).5s         1G   ""","="""""
"=""4d3.(4P).5s""","=""a 5P""","=""1""","=""""","=""1.349613""","=""""","=""""","=""0.35063""","=""2.58""","="" 100  5P                                                              ""","="""""
"=""4d3.(4P).5s""","=""a 5P""","=""2""","=""""","=""1.365891""","=""""","=""""","=""0.01628""","=""1.85""","=""  99  5P                                                              ""","="""""
"=""4d3.(4P).5s""","=""a 5P""","=""3""","=""""","=""1.395861""","=""""","=""""","=""0.02997""","=""1.66""","=""                                                                      ""","="""""
"=""4d3.(4F).5s""","=""b 3F""","=""2""","=""""","=""1.443265""","=""""","=""""","=""0.04740""","=""0.75""","=""  96  3F                                                              ""","="""""
"=""4d3.(4F).5s""","=""b 3F""","=""3""","=""""","=""1.482396""","=""""","=""""","=""0.03913""","=""1.05""","=""                                                                      ""","="""""
"=""4d3.(4F).5s""","=""b 3F""","=""4""","=""""","=""1.530259""","=""""","=""""","=""0.04786""","=""1.15""","=""  51  3F                            :    46  4d3.(2G).5s         3G   ""","="""""
"=""4d3.(2G).5s""","=""a 3G""","=""3""","=""""","=""1.550229""","=""""","=""""","=""0.01997""","=""0.78""","=""                                                                      ""","="""""
"=""4d3.(2G).5s""","=""a 3G""","=""4""","=""""","=""1.582120""","=""""","=""""","=""0.03189""","=""1.15""","=""  51  3G                            :    46  4d3.(4F).5s         3F   ""","="""""
"=""4d3.(2G).5s""","=""a 3G""","=""5""","=""""","=""1.583623""","=""""","=""""","=""0.00150""","=""1.21""","=""  95  3G                                                              ""","="""""
"=""4d3.(b 2D).5s""","=""a 3D""","=""1""","=""""","=""1.751030""","=""""","=""""","=""0.16741""","=""0.61""","=""  68  3D                            :    23  4d3.(2D1).5s        3D   ""","="""""
"=""4d3.(b 2D).5s""","=""a 3D""","=""2""","=""""","=""1.779022""","=""""","=""""","=""0.02799""","=""1.17""","=""  71  3D                            :    23  4d3.(2D1).5s        3D   ""","="""""
"=""4d3.(b 2D).5s""","=""a 3D""","=""3""","=""""","=""1.822199""","=""""","=""""","=""0.04318""","=""1.35""","=""                                                                      ""","="""""
"=""4d2.5s.5p""","=""z 5G*""","=""2""","=""""","=""1.832925""","=""""","=""""","=""0.01073""","=""0.36""","=""  81  4d2.(3F).5s.5p.(3P) 5G*       :     5  4d.5(1D)5s2.5p.(3P) 3F*  ""","="""""
"=""4d2.5s.5p""","=""z 5G*""","=""3""","=""""","=""1.884716""","=""""","=""""","=""0.05179""","=""1.09""","=""  87  4d2.(3P).5s.5p.(3P) 5G*                                         ""","="""""
"=""4d2.5s.5p""","=""z 5G*""","=""4""","=""""","=""1.949076""","=""""","=""""","=""0.06436""","=""1.12""","=""  93  4d2.(3F).5s.5p.(3P) 5G*                                         ""","="""""
"=""4d2.5s.5p""","=""z 5G*""","=""5""","=""""","=""2.023045""","=""""","=""""","=""0.07397""","=""1.28""","=""  96  4d2.(3F).5s.5p.(3P) 5G*                                         ""","="""""
"=""4d2.5s.5p""","=""z 5G*""","=""6""","=""""","=""2.105040""","=""""","=""""","=""0.08199""","=""1.36""","=""  96  4d2.(3F).5s.5p.(3P) 5G*                                         ""","="""""
"=""4d3.(2H).5s""","=""a 3H""","=""4""","=""""","=""1.833885""","=""""","=""""","=""-0.27115""","=""0.77""","=""  96  3H                                                              ""","="""""
"=""4d3.(2H).5s""","=""a 3H""","=""5""","=""""","=""1.858338""","=""""","=""""","=""0.02445""","=""1.03""","=""  96  3H                                                              ""","="""""
"=""4d3.(2H).5s""","=""a 3H""","=""6""","=""""","=""1.874599""","=""""","=""""","=""0.01626""","=""1.15""","=""  99  3H                                                              ""","="""""
"=""4d3.(4P).5s""","=""b 3P""","=""0""","=""""","=""1.937171""","=""""","=""""","=""0.06257""","=""0""","=""  65  3P                            :    17  4d3.(2P).5s         3P   ""","="""""
"=""4d3.(4P).5s""","=""b 3P""","=""1""","=""""","=""1.975329""","=""""","=""""","=""0.03816""","=""1.504""","=""  69  3P                            :    11  4d3.(2P).5s         3P   ""","="""""
"=""4d3.(4P).5s""","=""b 3P""","=""2""","=""""","=""2.048495""","=""""","=""""","=""0.07317""","=""""","=""  79  3P                            :     9  4d4                 3P2  ""","="""""
"=""4d2.5s.5p""","=""z 3F*""","=""2""","=""""","=""2.020510""","=""""","=""""","=""-0.02799""","=""0.67""","=""  20  4d2.(1D).5s.5p.(3P) 3F*       :    19  4d.5s2.5p           3F*  ""","="""""
"=""4d2.5s.5p""","=""z 3F*""","=""3""","=""""","=""2.088381""","=""""","=""""","=""0.06787""","=""1.08""","=""  24  4d2.(1D).5s.5p.(3P) 3F*       :    22  4d.5s2.5p           3F*  ""","="""""
"=""4d2.5s.5p""","=""z 5F*""","=""1""","=""""","=""2.081314""","=""""","=""""","=""-0.00707""","=""0.30""","=""  70  4d2.(3F).5s.5p.(3P) 5F*       :     9  4d.5(3F)5s2.5p.(3P) 3D*  ""","="""""
